組別,科目名稱                                                                                            ,分數區間均數,人數,百分比,累計人數,累計百分比
01,數甲、物理、化學                                                                                            ,298.5,0,0,0         ,0.0
01,數甲、物理、化學                                                                                            ,295.5,0,0,0         ,0.0
01,數甲、物理、化學                                                                                            ,292.5,2,0.01,2         ,0.01
01,數甲、物理、化學                                                                                            ,289.5,4,0.02,6         ,0.02
01,數甲、物理、化學                                                                                            ,286.5,9,0.04,15        ,0.06
01,數甲、物理、化學                                                                                            ,283.5,18,0.07,33        ,0.13
01,數甲、物理、化學                                                                                            ,280.5,21,0.08,54        ,0.22
01,數甲、物理、化學                                                                                            ,277.5,32,0.13,86        ,0.35
01,數甲、物理、化學                                                                                            ,274.5,38,0.15,124       ,0.50
01,數甲、物理、化學                                                                                            ,271.5,56,0.23,180       ,0.73
01,數甲、物理、化學                                                                                            ,268.5,72,0.29,252       ,1.02
01,數甲、物理、化學                                                                                            ,265.5,101,0.41,353       ,1.43
01,數甲、物理、化學                                                                                            ,262.5,99,0.4,452       ,1.83
01,數甲、物理、化學                                                                                            ,259.5,105,0.42,557       ,2.25
01,數甲、物理、化學                                                                                            ,256.5,128,0.52,685       ,2.77
01,數甲、物理、化學                                                                                            ,253.5,153,0.62,838       ,3.39
01,數甲、物理、化學                                                                                            ,250.5,163,0.66,1001      ,4.05
01,數甲、物理、化學                                                                                            ,247.5,192,0.78,1193      ,4.82
01,數甲、物理、化學                                                                                            ,244.5,185,0.75,1378      ,5.57
01,數甲、物理、化學                                                                                            ,241.5,223,0.9,1601      ,6.47
01,數甲、物理、化學                                                                                            ,238.5,253,1.02,1854      ,7.50
01,數甲、物理、化學                                                                                            ,235.5,253,1.02,2107      ,8.52
01,數甲、物理、化學                                                                                            ,232.5,265,1.07,2372      ,9.59
01,數甲、物理、化學                                                                                            ,229.5,277,1.12,2649      ,10.71
01,數甲、物理、化學                                                                                            ,226.5,253,1.02,2902      ,11.73
01,數甲、物理、化學                                                                                            ,223.5,291,1.18,3193      ,12.91
01,數甲、物理、化學                                                                                            ,220.5,328,1.33,3521      ,14.24
01,數甲、物理、化學                                                                                            ,217.5,297,1.2,3818      ,15.44
01,數甲、物理、化學                                                                                            ,214.5,328,1.33,4146      ,16.76
01,數甲、物理、化學                                                                                            ,211.5,321,1.3,4467      ,18.06
01,數甲、物理、化學                                                                                            ,208.5,337,1.36,4804      ,19.42
01,數甲、物理、化學                                                                                            ,205.5,353,1.43,5157      ,20.85
01,數甲、物理、化學                                                                                            ,202.5,370,1.5,5527      ,22.35
01,數甲、物理、化學                                                                                            ,199.5,364,1.47,5891      ,23.82
01,數甲、物理、化學                                                                                            ,196.5,391,1.58,6282      ,25.40
01,數甲、物理、化學                                                                                            ,193.5,413,1.67,6695      ,27.07
01,數甲、物理、化學                                                                                            ,190.5,375,1.52,7070      ,28.58
01,數甲、物理、化學                                                                                            ,187.5,412,1.67,7482      ,30.25
01,數甲、物理、化學                                                                                            ,184.5,409,1.65,7891      ,31.90
01,數甲、物理、化學                                                                                            ,181.5,429,1.73,8320      ,33.64
01,數甲、物理、化學                                                                                            ,178.5,427,1.73,8747      ,35.36
01,數甲、物理、化學                                                                                            ,175.5,405,1.64,9152      ,37.0
01,數甲、物理、化學                                                                                            ,172.5,403,1.63,9555      ,38.63
01,數甲、物理、化學                                                                                            ,169.5,406,1.64,9961      ,40.27
01,數甲、物理、化學                                                                                            ,166.5,397,1.61,10358     ,41.88
01,數甲、物理、化學                                                                                            ,163.5,411,1.66,10769     ,43.54
01,數甲、物理、化學                                                                                            ,160.5,402,1.63,11171     ,45.16
01,數甲、物理、化學                                                                                            ,157.5,408,1.65,11579     ,46.81
01,數甲、物理、化學                                                                                            ,154.5,426,1.72,12005     ,48.54
01,數甲、物理、化學                                                                                            ,151.5,416,1.68,12421     ,50.22
01,數甲、物理、化學                                                                                            ,148.5,447,1.81,12868     ,52.03
01,數甲、物理、化學                                                                                            ,145.5,437,1.77,13305     ,53.79
01,數甲、物理、化學                                                                                            ,142.5,424,1.71,13729     ,55.51
01,數甲、物理、化學                                                                                            ,139.5,412,1.67,14141     ,57.17
01,數甲、物理、化學                                                                                            ,136.5,385,1.56,14526     ,58.73
01,數甲、物理、化學                                                                                            ,133.5,406,1.64,14932     ,60.37
01,數甲、物理、化學                                                                                            ,130.5,386,1.56,15318     ,61.93
01,數甲、物理、化學                                                                                            ,127.5,426,1.72,15744     ,63.65
01,數甲、物理、化學                                                                                            ,124.5,376,1.52,16120     ,65.17
01,數甲、物理、化學                                                                                            ,121.5,389,1.57,16509     ,66.75
01,數甲、物理、化學                                                                                            ,118.5,399,1.61,16908     ,68.36
01,數甲、物理、化學                                                                                            ,115.5,393,1.59,17301     ,69.95
01,數甲、物理、化學                                                                                            ,112.5,371,1.5,17672     ,71.45
01,數甲、物理、化學                                                                                            ,109.5,324,1.31,17996     ,72.76
01,數甲、物理、化學                                                                                            ,106.5,382,1.54,18378     ,74.30
01,數甲、物理、化學                                                                                            ,103.5,362,1.46,18740     ,75.77
01,數甲、物理、化學                                                                                            ,100.5,333,1.35,19073     ,77.11
01,數甲、物理、化學                                                                                            ,97.5,337,1.36,19410     ,78.47
01,數甲、物理、化學                                                                                            ,94.5,322,1.3,19732     ,79.78
01,數甲、物理、化學                                                                                            ,91.5,320,1.29,20052     ,81.07
01,數甲、物理、化學                                                                                            ,88.5,289,1.17,20341     ,82.24
01,數甲、物理、化學                                                                                            ,85.5,336,1.36,20677     ,83.60
01,數甲、物理、化學                                                                                            ,82.5,288,1.16,20965     ,84.76
01,數甲、物理、化學                                                                                            ,79.5,263,1.06,21228     ,85.83
01,數甲、物理、化學                                                                                            ,76.5,284,1.15,21512     ,86.97
01,數甲、物理、化學                                                                                            ,73.5,266,1.08,21778     ,88.05
01,數甲、物理、化學                                                                                            ,70.5,230,0.93,22008     ,88.98
01,數甲、物理、化學                                                                                            ,67.5,237,0.96,22245     ,89.94
01,數甲、物理、化學                                                                                            ,64.5,210,0.85,22455     ,90.79
01,數甲、物理、化學                                                                                            ,61.5,210,0.85,22665     ,91.63
01,數甲、物理、化學                                                                                            ,58.5,182,0.74,22847     ,92.37
01,數甲、物理、化學                                                                                            ,55.5,140,0.57,22987     ,92.94
01,數甲、物理、化學                                                                                            ,52.5,130,0.53,23117     ,93.46
01,數甲、物理、化學                                                                                            ,49.5,130,0.53,23247     ,93.99
01,數甲、物理、化學                                                                                            ,46.5,100,0.4,23347     ,94.39
01,數甲、物理、化學                                                                                            ,43.5,74,0.3,23421     ,94.69
01,數甲、物理、化學                                                                                            ,40.5,63,0.25,23484     ,94.95
01,數甲、物理、化學                                                                                            ,37.5,49,0.2,23533     ,95.14
01,數甲、物理、化學                                                                                            ,34.5,29,0.12,23562     ,95.26
01,數甲、物理、化學                                                                                            ,31.5,17,0.07,23579     ,95.33
01,數甲、物理、化學                                                                                            ,28.5,12,0.05,23591     ,95.38
01,數甲、物理、化學                                                                                            ,25.5,14,0.06,23605     ,95.44
01,數甲、物理、化學                                                                                            ,22.5,12,0.05,23617     ,95.48
01,數甲、物理、化學                                                                                            ,19.5,7,0.03,23624     ,95.51
01,數甲、物理、化學                                                                                            ,16.5,10,0.04,23634     ,95.55
01,數甲、物理、化學                                                                                            ,13.5,4,0.02,23638     ,95.57
01,數甲、物理、化學                                                                                            ,10.5,3,0.01,23641     ,95.58
01,數甲、物理、化學                                                                                            ,7.5,2,0.01,23643     ,95.59
01,數甲、物理、化學                                                                                            ,4.5,1,0,23644     ,95.59
