組別,分數區間均數,人數,百分比,累計人數,累計百分比
2,148.5,327,1.53,10752,50.21
2,145.5,368,1.72,11120,51.93
2,142.5,375,1.75,11495,53.68
2,139.5,323,1.51,11818,55.19
2,136.5,371,1.73,12189,56.92
2,133.5,355,1.66,12544,58.58
2,130.5,359,1.68,12903,60.25
2,127.5,313,1.46,13216,61.72
2,124.5,336,1.57,13552,63.29
2,121.5,287,1.34,13839,64.63
2,118.5,335,1.56,14174,66.19
2,115.5,336,1.57,14510,67.76
2,112.5,331,1.55,14841,69.31
2,109.5,336,1.57,15177,70.87
2,106.5,328,1.53,15505,72.41
2,103.5,343,1.6,15848,74.01
2,100.5,333,1.56,16181,75.56
2,97.5,318,1.49,16499,77.05
2,94.5,330,1.54,16829,78.59
2,91.5,277,1.29,17106,79.88
2,88.5,293,1.37,17399,81.25
2,85.5,281,1.31,17680,82.56
2,82.5,257,1.2,17937,83.76
2,79.5,261,1.22,18198,84.98
2,76.5,273,1.27,18471,86.26
2,73.5,267,1.25,18738,87.5
2,70.5,258,1.2,18996,88.71
2,67.5,225,1.05,19221,89.76
2,64.5,178,0.83,19399,90.59
2,61.5,203,0.95,19602,91.54
2,58.5,165,0.77,19767,92.31
2,55.5,162,0.76,19929,93.07
2,52.5,139,0.65,20068,93.71
2,49.5,114,0.53,20182,94.25
2,46.5,85,0.4,20267,94.64
2,43.5,84,0.39,20351,95.04
2,40.5,47,0.22,20398,95.26
2,37.5,37,0.17,20435,95.43
2,34.5,22,0.1,20457,95.53
2,31.5,23,0.11,20480,95.64
2,28.5,12,0.06,20492,95.69
2,25.5,8,0.04,20500,95.73
2,22.5,11,0.05,20511,95.78
2,19.5,6,0.03,20517,95.81
2,16.5,3,0.01,20520,95.83
2,13.5,6,0.03,20526,95.85
2,10.5,7,0.03,20533,95.89
2,7.5,0,0,20533,95.89
2,4.5,1,0,20534,95.89
2,1.5,880,4.11,21414,100
3,298.5,0,0,0,0
3,295.5,0,0,0,0
3,292.5,0,0,0,0
3,289.5,0,0,0,0
3,286.5,2,0.01,2,0.01
3,283.5,10,0.06,12,0.08
3,280.5,16,0.1,28,0.18
3,277.5,22,0.14,50,0.32
3,274.5,44,0.28,94,0.61
3,271.5,71,0.46,165,1.07
3,268.5,100,0.65,265,1.71
3,265.5,133,0.86,398,2.57
3,262.5,175,1.13,573,3.7
3,259.5,209,1.35,782,5.05
