組別,分數區間均數,人數,百分比,累計人數,累計百分比
8,194,421,1.95,14119,65.53
8,190,440,2.04,14559,67.57
8,186,430,2,14989,69.57
8,182,422,1.96,15411,71.53
8,178,450,2.09,15861,73.61
8,174,391,1.81,16252,75.43
8,170,369,1.71,16621,77.14
8,166,405,1.88,17026,79.02
8,162,379,1.76,17405,80.78
8,158,308,1.43,17713,82.21
8,154,296,1.37,18009,83.58
8,150,302,1.4,18311,84.99
8,146,300,1.39,18611,86.38
8,142,252,1.17,18863,87.55
8,138,207,0.96,19070,88.51
8,134,172,0.8,19242,89.31
8,130,183,0.85,19425,90.16
8,126,150,0.7,19575,90.85
8,122,144,0.67,19719,91.52
8,118,114,0.53,19833,92.05
8,114,111,0.52,19944,92.56
8,110,87,0.4,20031,92.97
8,106,86,0.4,20117,93.37
8,102,71,0.33,20188,93.7
8,98,84,0.39,20272,94.09
8,94,57,0.26,20329,94.35
8,90,48,0.22,20377,94.57
8,86,56,0.26,20433,94.83
8,82,36,0.17,20469,95
8,78,51,0.24,20520,95.24
8,74,27,0.13,20547,95.36
8,70,20,0.09,20567,95.46
8,66,6,0.03,20573,95.48
8,62,15,0.07,20588,95.55
8,58,17,0.08,20605,95.63
8,54,9,0.04,20614,95.67
8,50,14,0.06,20628,95.74
8,46,6,0.03,20634,95.77
8,42,9,0.04,20643,95.81
8,38,4,0.02,20647,95.83
8,34,8,0.04,20655,95.86
8,30,7,0.03,20662,95.9
8,26,14,0.06,20676,95.96
8,22,10,0.05,20686,96.01
8,18,19,0.09,20705,96.1
8,14,16,0.07,20721,96.17
8,10,7,0.03,20728,96.2
8,6,3,0.01,20731,96.22
8,2,815,3.78,21546,100
9,298.5,0,0,0,0
9,295.5,0,0,0,0
9,292.5,0,0,0,0
9,289.5,0,0,0,0
9,286.5,0,0,0,0
9,283.5,4,0.02,4,0.02
9,280.5,11,0.05,15,0.07
9,277.5,24,0.11,39,0.17
9,274.5,22,0.1,61,0.27
9,271.5,43,0.19,104,0.47
9,268.5,59,0.26,163,0.73
9,265.5,69,0.31,232,1.04
9,262.5,100,0.45,332,1.49
9,259.5,115,0.52,447,2
9,256.5,131,0.59,578,2.59
9,253.5,177,0.79,755,3.39
9,250.5,204,0.92,959,4.3
9,247.5,205,0.92,1164,5.22
9,244.5,229,1.03,1393,6.25
9,241.5,268,1.2,1661,7.45
9,238.5,282,1.26,1943,8.71
9,235.5,268,1.2,2211,9.92
9,232.5,297,1.33,2508,11.25
9,229.5,309,1.39,2817,12.64
9,226.5,306,1.37,3123,14.01
9,223.5,321,1.44,3444,15.45
9,220.5,305,1.37,3749,16.82
9,217.5,312,1.4,4061,18.21
9,214.5,333,1.49,4394,19.71
9,211.5,325,1.46,4719,21.17
9,208.5,314,1.41,5033,22.57
9,205.5,326,1.46,5359,24.04
9,202.5,321,1.44,5680,25.48
9,199.5,361,1.62,6041,27.1
9,196.5,319,1.43,6360,28.53
9,193.5,327,1.47,6687,29.99
9,190.5,340,1.53,7027,31.52
9,187.5,307,1.38,7334,32.9
9,184.5,342,1.53,7676,34.43
9,181.5,321,1.44,7997,35.87
9,178.5,314,1.41,8311,37.28
9,175.5,333,1.49,8644,38.77
9,172.5,315,1.41,8959,40.18
9,169.5,352,1.58,9311,41.76
9,166.5,370,1.66,9681,43.42
9,163.5,334,1.5,10015,44.92
9,160.5,341,1.53,10356,46.45
9,157.5,357,1.6,10713,48.05
9,154.5,359,1.61,11072,49.66
9,151.5,375,1.68,11447,51.34
9,148.5,329,1.48,11776,52.82
9,145.5,415,1.86,12191,54.68
9,142.5,424,1.9,12615,56.58
9,139.5,375,1.68,12990,58.26
9,136.5,387,1.74,13377,60
9,133.5,387,1.74,13764,61.74
9,130.5,406,1.82,14170,63.56
9,127.5,403,1.81,14573,65.36
9,124.5,417,1.87,14990,67.23
9,121.5,421,1.89,15411,69.12
9,118.5,390,1.75,15801,70.87
9,115.5,375,1.68,16176,72.55
9,112.5,402,1.8,16578,74.36
9,109.5,388,1.74,16966,76.1
9,106.5,377,1.69,17343,77.79
9,103.5,373,1.67,17716,79.46
9,100.5,345,1.55,18061,81.01
9,97.5,353,1.58,18414,82.59
9,94.5,334,1.5,18748,84.09
9,91.5,333,1.49,19081,85.58
9,88.5,302,1.35,19383,86.94
9,85.5,294,1.32,19677,88.26
9,82.5,263,1.18,19940,89.44
9,79.5,225,1.01,20165,90.45
9,76.5,217,0.97,20382,91.42
9,73.5,180,0.81,20562,92.23
9,70.5,170,0.76,20732,92.99
9,67.5,125,0.56,20857,93.55
9,64.5,116,0.52,20973,94.07
9,61.5,95,0.43,21068,94.5
9,58.5,69,0.31,21137,94.81
9,55.5,65,0.29,21202,95.1
9,52.5,45,0.2,21247,95.3
9,49.5,37,0.17,21284,95.47
9,46.5,31,0.14,21315,95.6
9,43.5,30,0.13,21345,95.74
9,40.5,13,0.06,21358,95.8
9,37.5,18,0.08,21376,95.88
9,34.5,14,0.06,21390,95.94
9,31.5,14,0.06,21404,96
9,28.5,7,0.03,21411,96.03
9,25.5,9,0.04,21420,96.08
9,22.5,13,0.06,21433,96.13
9,19.5,13,0.06,21446,96.19
9,16.5,9,0.04,21455,96.23
9,13.5,7,0.03,21462,96.26
9,10.5,5,0.02,21467,96.29
9,7.5,6,0.03,21473,96.31
9,4.5,1,0,21474,96.32
9,1.5,821,3.68,22295,100
10,298.5,0,0,0,0
10,295.5,0,0,0,0
10,292.5,0,0,0,0
10,289.5,1,0,1,0
10,286.5,2,0.01,3,0.01
10,283.5,4,0.02,7,0.03
10,280.5,9,0.04,16,0.07
10,277.5,12,0.05,28,0.12
10,274.5,21,0.09,49,0.21
10,271.5,22,0.1,71,0.31
10,268.5,34,0.15,105,0.46
10,265.5,49,0.21,154,0.67
10,262.5,67,0.29,221,0.96
10,259.5,100,0.43,321,1.39
10,256.5,129,0.56,450,1.95
10,253.5,134,0.58,584,2.53
10,250.5,163,0.71,747,3.24
10,247.5,183,0.79,930,4.03
10,244.5,197,0.85,1127,4.89
10,241.5,217,0.94,1344,5.83
10,238.5,237,1.03,1581,6.86
10,235.5,243,1.05,1824,7.91
10,232.5,285,1.24,2109,9.15
10,229.5,305,1.32,2414,10.47
10,226.5,311,1.35,2725,11.82
10,223.5,331,1.44,3056,13.26
10,220.5,332,1.44,3388,14.7
10,217.5,366,1.59,3754,16.29
10,214.5,373,1.62,4127,17.91
10,211.5,352,1.53,4479,19.43
10,208.5,319,1.38,4798,20.82
10,205.5,363,1.57,5161,22.39
10,202.5,366,1.59,5527,23.98
10,199.5,412,1.79,5939,25.77
10,196.5,368,1.6,6307,27.36
10,193.5,409,1.77,6716,29.14
10,190.5,391,1.7,7107,30.83
10,187.5,387,1.68,7494,32.51
10,184.5,387,1.68,7881,34.19
10,181.5,412,1.79,8293,35.98
10,178.5,406,1.76,8699,37.74
10,175.5,399,1.73,9098,39.47
10,172.5,400,1.74,9498,41.21
10,169.5,393,1.71,9891,42.91
10,166.5,391,1.7,10282,44.61
10,163.5,367,1.59,10649,46.2
10,160.5,410,1.78,11059,47.98
10,157.5,377,1.64,11436,49.62
10,154.5,374,1.62,11810,51.24
10,151.5,365,1.58,12175,52.82
10,148.5,347,1.51,12522,54.33
10,145.5,348,1.51,12870,55.84
10,142.5,325,1.41,13195,57.25
10,139.5,338,1.47,13533,58.71
10,136.5,296,1.28,13829,60
10,133.5,325,1.41,14154,61.41
10,130.5,336,1.46,14490,62.87
10,127.5,316,1.37,14806,64.24
10,124.5,325,1.41,15131,65.65
10,121.5,304,1.32,15435,66.97
10,118.5,314,1.36,15749,68.33
10,115.5,313,1.36,16062,69.69
10,112.5,303,1.31,16365,71
10,109.5,297,1.29,16662,72.29
10,106.5,289,1.25,16951,73.54
10,103.5,307,1.33,17258,74.88
10,100.5,307,1.33,17565,76.21
10,97.5,295,1.28,17860,77.49
10,94.5,281,1.22,18141,78.71
10,91.5,270,1.17,18411,79.88
10,88.5,285,1.24,18696,81.11
10,85.5,281,1.22,18977,82.33
10,82.5,282,1.22,19259,83.56
10,79.5,251,1.09,19510,84.65
10,76.5,270,1.17,19780,85.82
10,73.5,222,0.96,20002,86.78
10,70.5,238,1.03,20240,87.81
10,67.5,236,1.02,20476,88.84
10,64.5,237,1.03,20713,89.87
10,61.5,232,1.01,20945,90.87
10,58.5,181,0.79,21126,91.66
10,55.5,169,0.73,21295,92.39
10,52.5,156,0.68,21451,93.07
10,49.5,146,0.63,21597,93.7
10,46.5,138,0.6,21735,94.3
10,43.5,94,0.41,21829,94.71
10,40.5,80,0.35,21909,95.05
10,37.5,44,0.19,21953,95.24
10,34.5,58,0.25,22011,95.5
10,31.5,36,0.16,22047,95.65
10,28.5,26,0.11,22073,95.77
10,25.5,11,0.05,22084,95.81
10,22.5,11,0.05,22095,95.86
10,19.5,12,0.05,22107,95.91
10,16.5,9,0.04,22116,95.95
10,13.5,4,0.02,22120,95.97
10,10.5,5,0.02,22125,95.99
10,7.5,1,0,22126,96
10,4.5,0,0,22126,96
10,1.5,923,4,23049,100
11,398,0,0,0,0
11,394,0,0,0,0
11,390,0,0,0,0
11,386,0,0,0,0
11,382,1,0.01,1,0.01
11,378,1,0.01,2,0.01
11,374,8,0.05,10,0.07
11,370,7,0.05,17,0.11
11,366,11,0.07,28,0.18
11,362,29,0.19,57,0.37
11,358,34,0.22,91,0.6
11,354,40,0.26,131,0.86
11,350,62,0.41,193,1.26
11,346,90,0.59,283,1.85
11,342,124,0.81,407,2.66
11,338,142,0.93,549,3.59
11,334,155,1.01,704,4.6
11,330,187,1.22,891,5.83
11,326,194,1.27,1085,7.1
11,322,219,1.43,1304,8.53
11,318,222,1.45,1526,9.98
11,314,230,1.5,1756,11.48
11,310,277,1.81,2033,13.29
11,306,260,1.7,2293,14.99
11,302,275,1.8,2568,16.79
11,298,225,1.47,2793,18.26
11,294,241,1.58,3034,19.84
11,290,268,1.75,3302,21.59
11,286,289,1.89,3591,23.48
11,282,238,1.56,3829,25.04
11,278,250,1.63,4079,26.67
11,274,255,1.67,4334,28.34
11,270,237,1.55,4571,29.89
11,266,219,1.43,4790,31.32
11,262,274,1.79,5064,33.12
11,258,275,1.8,5339,34.91
11,254,247,1.62,5586,36.53
11,250,215,1.41,5801,37.93
11,246,235,1.54,6036,39.47
11,242,277,1.81,6313,41.28
11,238,259,1.69,6572,42.98
11,234,267,1.75,6839,44.72
11,230,245,1.6,7084,46.32
11,226,238,1.56,7322,47.88
11,222,234,1.53,7556,49.41
11,218,257,1.68,7813,51.09
11,214,239,1.56,8052,52.65
11,210,243,1.59,8295,54.24
11,206,234,1.53,8529,55.77
11,202,242,1.58,8771,57.36
11,198,186,1.22,8957,58.57
11,194,220,1.44,9177,60.01
11,190,224,1.46,9401,61.48
11,186,214,1.4,9615,62.88
11,182,223,1.46,9838,64.33
11,178,215,1.41,10053,65.74
11,174,214,1.4,10267,67.14
11,170,181,1.18,10448,68.32
11,166,190,1.24,10638,69.57
11,162,214,1.4,10852,70.97
11,158,207,1.35,11059,72.32
11,154,197,1.29,11256,73.61
11,150,211,1.38,11467,74.99
11,146,179,1.17,11646,76.16
11,142,169,1.11,11815,77.26
11,138,176,1.15,11991,78.41
11,134,186,1.22,12177,79.63
11,130,159,1.04,12336,80.67
11,126,175,1.14,12511,81.81
11,122,163,1.07,12674,82.88
11,118,177,1.16,12851,84.04
11,114,153,1,13004,85.04
11,110,155,1.01,13159,86.05
11,106,143,0.94,13302,86.99
11,102,150,0.98,13452,87.97
11,98,141,0.92,13593,88.89
11,94,112,0.73,13705,89.62
11,90,120,0.78,13825,90.41
11,86,127,0.83,13952,91.24
11,82,103,0.67,14055,91.91
11,78,89,0.58,14144,92.49
11,74,91,0.6,14235,93.09
11,70,83,0.54,14318,93.63
11,66,70,0.46,14388,94.09
11,62,49,0.32,14437,94.41
11,58,42,0.27,14479,94.68
11,54,25,0.16,14504,94.85
11,50,21,0.14,14525,94.98
11,46,19,0.12,14544,95.11
11,42,10,0.07,14554,95.17
11,38,14,0.09,14568,95.27
11,34,12,0.08,14580,95.34
11,30,5,0.03,14585,95.38
11,26,9,0.06,14594,95.44
11,22,4,0.03,14598,95.46
11,18,7,0.05,14605,95.51
11,14,2,0.01,14607,95.52
11,10,3,0.02,14610,95.54
11,6,0,0,14610,95.54
11,2,682,4.46,15292,100
12,298.5,0,0,0,0
12,295.5,0,0,0,0
12,292.5,0,0,0,0
12,289.5,0,0,0,0
12,286.5,2,0.01,2,0.01
12,283.5,1,0,3,0.01
12,280.5,5,0.02,8,0.04
12,277.5,9,0.04,17,0.08
12,274.5,12,0.06,29,0.13
12,271.5,18,0.08,47,0.22
12,268.5,27,0.12,74,0.34
12,265.5,32,0.15,106,0.49
12,262.5,34,0.16,140,0.64
12,259.5,53,0.24,193,0.89
12,256.5,91,0.42,284,1.3
12,253.5,98,0.45,382,1.75
12,250.5,109,0.5,491,2.25
12,247.5,112,0.51,603,2.77
12,244.5,142,0.65,745,3.42
12,241.5,174,0.8,919,4.22
12,238.5,187,0.86,1106,5.07
12,235.5,192,0.88,1298,5.95
12,232.5,236,1.08,1534,7.04
12,229.5,233,1.07,1767,8.1
12,226.5,248,1.14,2015,9.24
12,223.5,285,1.31,2300,10.55
12,220.5,304,1.39,2604,11.94
12,217.5,307,1.41,2911,13.35
12,214.5,278,1.28,3189,14.63
12,211.5,301,1.38,3490,16.01
12,208.5,347,1.59,3837,17.6
12,205.5,327,1.5,4164,19.1
12,202.5,356,1.63,4520,20.73
12,199.5,341,1.56,4861,22.3
12,196.5,368,1.69,5229,23.98
12,193.5,344,1.58,5573,25.56
12,190.5,346,1.59,5919,27.15
12,187.5,374,1.72,6293,28.86
12,184.5,379,1.74,6672,30.6
12,181.5,369,1.69,7041,32.29
12,178.5,375,1.72,7416,34.01
12,175.5,411,1.89,7827,35.9
12,172.5,398,1.83,8225,37.72
12,169.5,428,1.96,8653,39.69
12,166.5,365,1.67,9018,41.36
12,163.5,412,1.89,9430,43.25
12,160.5,355,1.63,9785,44.88
12,157.5,407,1.87,10192,46.75
12,154.5,394,1.81,10586,48.55
12,151.5,377,1.73,10963,50.28
12,148.5,390,1.79,11353,52.07
12,145.5,375,1.72,11728,53.79
12,142.5,346,1.59,12074,55.38
12,139.5,351,1.61,12425,56.99
12,136.5,357,1.64,12782,58.62
12,133.5,367,1.68,13149,60.31
12,130.5,344,1.58,13493,61.89
12,127.5,309,1.42,13802,63.3
12,124.5,314,1.44,14116,64.74
12,121.5,308,1.41,14424,66.16
12,118.5,322,1.48,14746,67.63
12,115.5,286,1.31,15032,68.94
12,112.5,294,1.35,15326,70.29
12,109.5,305,1.4,15631,71.69
12,106.5,324,1.49,15955,73.18
12,103.5,306,1.4,16261,74.58
12,100.5,292,1.34,16553,75.92
12,97.5,336,1.54,16889,77.46
12,94.5,271,1.24,17160,78.7
12,91.5,280,1.28,17440,79.99
12,88.5,301,1.38,17741,81.37
12,85.5,284,1.3,18025,82.67
12,82.5,328,1.5,18353,84.18
12,79.5,274,1.26,18627,85.43
12,76.5,238,1.09,18865,86.52
12,73.5,234,1.07,19099,87.6
12,70.5,230,1.05,19329,88.65
12,67.5,217,1,19546,89.65
12,64.5,224,1.03,19770,90.68
12,61.5,215,0.99,19985,91.66
12,58.5,187,0.86,20172,92.52
12,55.5,172,0.79,20344,93.31
12,52.5,124,0.57,20468,93.88
12,49.5,124,0.57,20592,94.45
12,46.5,84,0.39,20676,94.83
12,43.5,72,0.33,20748,95.16
12,40.5,48,0.22,20796,95.38
12,37.5,35,0.16,20831,95.54
12,34.5,30,0.14,20861,95.68
12,31.5,24,0.11,20885,95.79
12,28.5,18,0.08,20903,95.87
12,25.5,25,0.11,20928,95.99
12,22.5,12,0.06,20940,96.04
12,19.5,17,0.08,20957,96.12
12,16.5,4,0.02,20961,96.14
12,13.5,1,0,20962,96.14
12,10.5,4,0.02,20966,96.16
12,7.5,0,0,20966,96.16
12,4.5,0,0,20966,96.16
12,1.5,837,3.84,21803,100
13,398,0,0,0,0
13,394,0,0,0,0
13,390,0,0,0,0
13,386,0,0,0,0
13,382,0,0,0,0
13,378,0,0,0,0
13,374,2,0.01,2,0.01
13,370,9,0.07,11,0.08
13,366,11,0.08,22,0.16
13,362,14,0.1,36,0.26
13,358,23,0.17,59,0.43
13,354,25,0.18,84,0.61
13,350,45,0.33,129,0.94
13,346,43,0.31,172,1.25
13,342,100,0.73,272,1.98
13,338,97,0.71,369,2.68
13,334,102,0.74,471,3.42
13,330,150,1.09,621,4.51
13,326,136,0.99,757,5.5
13,322,172,1.25,929,6.75
13,318,190,1.38,1119,8.14
13,314,209,1.52,1328,9.65
13,310,210,1.53,1538,11.18
13,306,223,1.62,1761,12.8
13,302,206,1.5,1967,14.3
13,298,228,1.66,2195,15.96
13,294,217,1.58,2412,17.54
13,290,223,1.62,2635,19.16
13,286,255,1.85,2890,21.01
13,282,228,1.66,3118,22.67
13,278,241,1.75,3359,24.42
13,274,215,1.56,3574,25.98
13,270,232,1.69,3806,27.67
13,266,246,1.79,4052,29.46
13,262,222,1.61,4274,31.07
13,258,237,1.72,4511,32.8
13,254,198,1.44,4709,34.23
13,250,222,1.61,4931,35.85
13,246,225,1.64,5156,37.48
13,242,234,1.7,5390,39.19
13,238,227,1.65,5617,40.84
13,234,266,1.93,5883,42.77
13,230,238,1.73,6121,44.5
13,226,234,1.7,6355,46.2
13,222,240,1.74,6595,47.95
13,218,254,1.85,6849,49.79
13,214,230,1.67,7079,51.46
13,210,242,1.76,7321,53.22
13,206,214,1.56,7535,54.78
13,202,200,1.45,7735,56.23
13,198,237,1.72,7972,57.96
13,194,211,1.53,8183,59.49
13,190,205,1.49,8388,60.98
13,186,190,1.38,8578,62.36
13,182,221,1.61,8799,63.97
13,178,190,1.38,8989,65.35
13,174,225,1.64,9214,66.99
13,170,182,1.32,9396,68.31
13,166,187,1.36,9583,69.67
13,162,193,1.4,9776,71.07
13,158,166,1.21,9942,72.28
13,154,205,1.49,10147,73.77
13,150,175,1.27,10322,75.04
13,146,151,1.1,10473,76.14
13,142,176,1.28,10649,77.42
13,138,188,1.37,10837,78.79
13,134,168,1.22,11005,80.01
13,130,168,1.22,11173,81.23
13,126,168,1.22,11341,82.45
13,122,158,1.15,11499,83.6
13,118,172,1.25,11671,84.85
13,114,129,0.94,11800,85.79
13,110,160,1.16,11960,86.95
13,106,130,0.95,12090,87.9
13,102,119,0.87,12209,88.76
13,98,119,0.87,12328,89.63
13,94,109,0.79,12437,90.42
13,90,105,0.76,12542,91.18
13,86,99,0.72,12641,91.9
13,82,90,0.65,12731,92.56
13,78,70,0.51,12801,93.06
13,74,70,0.51,12871,93.57
13,70,64,0.47,12935,94.04
13,66,43,0.31,12978,94.35
13,62,35,0.25,13013,94.61
13,58,34,0.25,13047,94.85
13,54,26,0.19,13073,95.04
13,50,18,0.13,13091,95.17
13,46,12,0.09,13103,95.26
13,42,9,0.07,13112,95.33
13,38,7,0.05,13119,95.38
13,34,10,0.07,13129,95.45
13,30,5,0.04,13134,95.49
13,26,7,0.05,13141,95.54
13,22,7,0.05,13148,95.59
13,18,7,0.05,13155,95.64
13,14,1,0.01,13156,95.65
13,10,4,0.03,13160,95.67
13,6,0,0,13160,95.67
13,2,595,4.33,13755,100
14,398,0,0,0,0
14,394,0,0,0,0
14,390,0,0,0,0
14,386,0,0,0,0
14,382,2,0.01,2,0.01
14,378,2,0.01,4,0.02
14,374,5,0.02,9,0.04
14,370,16,0.07,25,0.12
14,366,15,0.07,40,0.19
14,362,24,0.11,64,0.3
14,358,31,0.14,95,0.44
14,354,49,0.23,144,0.67
14,350,58,0.27,202,0.94
14,346,87,0.41,289,1.35
14,342,94,0.44,383,1.79
14,338,158,0.74,541,2.53
14,334,161,0.75,702,3.28
14,330,129,0.6,831,3.89
14,326,182,0.85,1013,4.74
14,322,206,0.96,1219,5.7
14,318,223,1.04,1442,6.74
14,314,224,1.05,1666,7.79
14,310,249,1.16,1915,8.95
14,306,293,1.37,2208,10.32
14,302,294,1.37,2502,11.7
14,298,282,1.32,2784,13.02
14,294,291,1.36,3075,14.38
14,290,301,1.41,3376,15.78
14,286,344,1.61,3720,17.39
14,282,325,1.52,4045,18.91
14,278,321,1.5,4366,20.41
14,274,353,1.65,4719,22.06
14,270,323,1.51,5042,23.57
14,266,352,1.65,5394,25.22
14,262,330,1.54,5724,26.76
14,258,346,1.62,6070,28.38
14,254,366,1.71,6436,30.09
14,250,374,1.75,6810,31.84
14,246,383,1.79,7193,33.63
14,242,366,1.71,7559,35.34
14,238,382,1.79,7941,37.13
14,234,377,1.76,8318,38.89
14,230,373,1.74,8691,40.63
14,226,405,1.89,9096,42.53
14,222,339,1.58,9435,44.11
14,218,397,1.86,9832,45.97
14,214,397,1.86,10229,47.82
14,210,367,1.72,10596,49.54
14,206,374,1.75,10970,51.29
14,202,348,1.63,11318,52.92
14,198,358,1.67,11676,54.59
14,194,329,1.54,12005,56.13
14,190,353,1.65,12358,57.78
14,186,323,1.51,12681,59.29
14,182,305,1.43,12986,60.71
14,178,315,1.47,13301,62.19
14,174,325,1.52,13626,63.71
14,170,298,1.39,13924,65.1
14,166,338,1.58,14262,66.68
14,162,269,1.26,14531,67.94
14,158,319,1.49,14850,69.43
14,154,275,1.29,15125,70.71
14,150,298,1.39,15423,72.11
14,146,279,1.3,15702,73.41
14,142,317,1.48,16019,74.89
14,138,290,1.36,16309,76.25
14,134,314,1.47,16623,77.72
14,130,274,1.28,16897,79
14,126,306,1.43,17203,80.43
14,122,270,1.26,17473,81.69
14,118,279,1.3,17752,83
14,114,267,1.25,18019,84.24
14,110,273,1.28,18292,85.52
14,106,252,1.18,18544,86.7
14,102,244,1.14,18788,87.84
14,98,244,1.14,19032,88.98
14,94,208,0.97,19240,89.95
14,90,191,0.89,19431,90.85
14,86,184,0.86,19615,91.71
14,82,152,0.71,19767,92.42
14,78,185,0.86,19952,93.28
14,74,135,0.63,20087,93.91
14,70,115,0.54,20202,94.45
14,66,96,0.45,20298,94.9
14,62,73,0.34,20371,95.24
14,58,57,0.27,20428,95.51
14,54,33,0.15,20461,95.66
14,50,26,0.12,20487,95.78
14,46,12,0.06,20499,95.84
14,42,14,0.07,20513,95.9
14,38,14,0.07,20527,95.97
14,34,13,0.06,20540,96.03
14,30,6,0.03,20546,96.06
14,26,9,0.04,20555,96.1
14,22,9,0.04,20564,96.14
14,18,8,0.04,20572,96.18
14,14,0,0,20572,96.18
14,10,3,0.01,20575,96.19
14,6,0,0,20575,96.19
14,2,814,3.81,21389,100
15,497.5,0,0,0,0
15,492.5,0,0,0,0
15,487.5,0,0,0,0
15,482.5,0,0,0,0
15,477.5,0,0,0,0
15,472.5,1,0.01,1,0.01
15,467.5,5,0.04,6,0.04
15,462.5,15,0.11,21,0.15
15,457.5,8,0.06,29,0.21
15,452.5,22,0.16,51,0.37
15,447.5,29,0.21,80,0.59
15,442.5,37,0.27,117,0.86
15,437.5,57,0.42,174,1.27
15,432.5,87,0.64,261,1.91
15,427.5,115,0.84,376,2.75
15,422.5,116,0.85,492,3.6
15,417.5,153,1.12,645,4.72
15,412.5,136,1,781,5.72
15,407.5,177,1.3,958,7.02
15,402.5,194,1.42,1152,8.44
15,397.5,200,1.46,1352,9.9
15,392.5,209,1.53,1561,11.43
15,387.5,230,1.68,1791,13.12
15,382.5,219,1.6,2010,14.72
15,377.5,236,1.73,2246,16.45
15,372.5,213,1.56,2459,18.01
15,367.5,244,1.79,2703,19.79
15,362.5,227,1.66,2930,21.46
15,357.5,220,1.61,3150,23.07
15,352.5,226,1.65,3376,24.72
15,347.5,218,1.6,3594,26.32
15,342.5,239,1.75,3833,28.07
15,337.5,224,1.64,4057,29.71
15,332.5,231,1.69,4288,31.4
15,327.5,233,1.71,4521,33.11
15,322.5,199,1.46,4720,34.56
15,317.5,208,1.52,4928,36.09
15,312.5,238,1.74,5166,37.83
15,307.5,221,1.62,5387,39.45
15,302.5,215,1.57,5602,41.02
15,297.5,221,1.62,5823,42.64
15,292.5,256,1.87,6079,44.52
15,287.5,230,1.68,6309,46.2
15,282.5,236,1.73,6545,47.93
15,277.5,242,1.77,6787,49.7
15,272.5,247,1.81,7034,51.51
15,267.5,210,1.54,7244,53.05
15,262.5,224,1.64,7468,54.69
15,257.5,181,1.33,7649,56.01
15,252.5,220,1.61,7869,57.62
15,247.5,221,1.62,8090,59.24
15,242.5,205,1.5,8295,60.74
15,237.5,201,1.47,8496,62.21
15,232.5,200,1.46,8696,63.68
15,227.5,187,1.37,8883,65.05
15,222.5,201,1.47,9084,66.52
15,217.5,176,1.29,9260,67.81
15,212.5,185,1.35,9445,69.16
15,207.5,186,1.36,9631,70.53
15,202.5,164,1.2,9795,71.73
15,197.5,167,1.22,9962,72.95
15,192.5,181,1.33,10143,74.28
15,187.5,187,1.37,10330,75.64
15,182.5,185,1.35,10515,77
15,177.5,163,1.19,10678,78.19
15,172.5,153,1.12,10831,79.31
15,167.5,152,1.11,10983,80.43
15,162.5,180,1.32,11163,81.74
15,157.5,138,1.01,11301,82.75
15,152.5,158,1.16,11459,83.91
15,147.5,167,1.22,11626,85.13
15,142.5,145,1.06,11771,86.2
15,137.5,122,0.89,11893,87.09
15,132.5,125,0.92,12018,88.01
15,127.5,145,1.06,12163,89.07
15,122.5,113,0.83,12276,89.89
15,117.5,112,0.82,12388,90.71
15,112.5,72,0.53,12460,91.24
15,107.5,89,0.65,12549,91.89
15,102.5,86,0.63,12635,92.52
15,97.5,81,0.59,12716,93.12
15,92.5,76,0.56,12792,93.67
15,87.5,64,0.47,12856,94.14
15,82.5,42,0.31,12898,94.45
15,77.5,29,0.21,12927,94.66
15,72.5,39,0.29,12966,94.95
15,67.5,14,0.1,12980,95.05
15,62.5,24,0.18,13004,95.23
15,57.5,11,0.08,13015,95.31
15,52.5,6,0.04,13021,95.35
15,47.5,7,0.05,13028,95.4
15,42.5,2,0.01,13030,95.42
15,37.5,8,0.06,13038,95.47
15,32.5,7,0.05,13045,95.53
15,27.5,7,0.05,13052,95.58
15,22.5,6,0.04,13058,95.62
15,17.5,7,0.05,13065,95.67
15,12.5,2,0.01,13067,95.69
15,7.5,1,0.01,13068,95.69
15,2.5,588,4.31,13656,100
16,298.5,0,0,0,0
16,295.5,0,0,0,0
16,292.5,0,0,0,0
16,289.5,0,0,0,0
16,286.5,0,0,0,0
16,283.5,4,0.03,4,0.03
16,280.5,10,0.07,14,0.1
16,277.5,10,0.07,24,0.16
16,274.5,27,0.18,51,0.35
16,271.5,57,0.39,108,0.73
16,268.5,88,0.6,196,1.33
16,265.5,107,0.73,303,2.06
16,262.5,147,1,450,3.06
16,259.5,183,1.25,633,4.31
16,256.5,218,1.48,851,5.79
16,253.5,209,1.42,1060,7.21
16,250.5,232,1.58,1292,8.79
16,247.5,265,1.8,1557,10.59
16,244.5,285,1.94,1842,12.53
16,241.5,302,2.05,2144,14.59
16,238.5,305,2.08,2449,16.66
16,235.5,317,2.16,2766,18.82
16,232.5,289,1.97,3055,20.79
16,229.5,284,1.93,3339,22.72
16,226.5,303,2.06,3642,24.78
16,223.5,292,1.99,3934,26.77
16,220.5,263,1.79,4197,28.56
16,217.5,310,2.11,4507,30.67
16,214.5,306,2.08,4813,32.75
16,211.5,290,1.97,5103,34.72
16,208.5,280,1.91,5383,36.63
16,205.5,295,2.01,5678,38.63
16,202.5,261,1.78,5939,40.41
16,199.5,303,2.06,6242,42.47
16,196.5,298,2.03,6540,44.5
16,193.5,260,1.77,6800,46.27
16,190.5,259,1.76,7059,48.03
16,187.5,262,1.78,7321,49.81
16,184.5,283,1.93,7604,51.74
16,181.5,289,1.97,7893,53.7
16,178.5,239,1.63,8132,55.33
16,175.5,300,2.04,8432,57.37
