系組.代碼,校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,錄取人數..含外加.,普通生錄取分數
1,國立臺灣大學,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,32,486.95
2,國立臺灣大學,外國語文學系,1.25,2,0,1,1,1,0,0,0,0,56,520.2
3,國立臺灣大學,歷史學系,1,1,0,0,1,1,1,0,0,0,24,409.3
4,國立臺灣大學,哲學系,1,1,0,1,1,0,1,0,0,0,16,400.55
5,國立臺灣大學,人類學系,1,1.25,0,0,1,1,1,0,0,0,23,420.66
6,國立臺灣大學,圖書資訊學系,1.25,1.25,0,1,1,0,1,0,0,0,21,441.49
7,國立臺灣大學,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,35,486.1
10,國立臺灣大學,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,12,475.93
11,國立臺灣大學,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,13,478.4
12,國立臺灣大學,數學系,1,1,1.5,0,0,0,0,1,1,0,15,446.5
13,國立臺灣大學,物理學系,1,1,1,0,0,0,0,1,1,0,12,422.65
14,國立臺灣大學,化學系,1,1,1,0,0,0,0,1,1,0,17,410.3
15,國立臺灣大學,地質科學系,1,1,1,0,0,0,0,1,1,0,24,384
16,國立臺灣大學,心理學系,1,1,1,0,0,0,0,0,1,1,50,391.2
17,國立臺灣大學,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,9,383
20,國立臺灣大學,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,9,414.8
21,國立臺灣大學,大氣科學系,1,1,1,0,0,0,0,1,1,0,19,389.8
22,國立臺灣大學,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,31,449.81
23,國立臺灣大學,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,37,458.91
24,國立臺灣大學,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,31,453.59
25,國立臺灣大學,經濟學系,1,1.5,0,2,0,0,0,0,0,0,59,399.18
26,國立臺灣大學,社會學系,1,1,0,1,1,0,1,0,0,0,32,408.67
27,國立臺灣大學,社會工作學系,1.25,1.25,0,1,1,0,1,0,0,0,25,440.23
30,國立臺灣大學,醫學系(自費),0,1,1,0,0,0,0,1,1,1,72,453.3
31,國立臺灣大學,醫學系(公費),0,1,1,0,0,0,0,1,1,1,8,439.45
32,國立臺灣大學,牙醫學系,0,1,1,0,0,0,0,1,1,1,19,443.35
33,國立臺灣大學,藥學系,0,1,1,0,0,0,0,1,1,1,23,421.6
34,國立臺灣大學,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,0,1,1,24,394.85
35,國立臺灣大學,護理學系,1,1,1,0,0,0,0,0,1,1,25,379.8
36,國立臺灣大學,物理治療學系,0,1,1,0,0,0,0,1,1,1,16,414.5
37,國立臺灣大學,職能治療學系,1.25,1.5,1,0,0,0,0,0,0,1,15,386.68
40,國立臺灣大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,19,401.95
41,國立臺灣大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,25,414.2
42,國立臺灣大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,22,414.5
43,國立臺灣大學,工科及海洋工程系(船舶應力),1,1,1,0,0,0,0,1,1,0,5,403.25
44,國立臺灣大學,工科及海洋工程系(光電資訊),1,1,1,0,0,0,0,1,1,0,5,411.5
45,國立臺灣大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,9,424.3
46,國立臺灣大學,醫學工程學系,1,1,1,0,0,0,0,1,1,0,10,414.05
47,國立臺灣大學,農藝學系,1,1,1,0,0,0,0,0,1.25,1.25,14,415.58
50,國立臺灣大學,生物環境系統工程學系,1,1,1,0,0,0,0,1,1,0,22,389.25
51,國立臺灣大學,農業化學系,0,1,1,0,0,0,0,1,1,1,30,389.1
52,國立臺灣大學,森林環境暨資源學系,0,1,1,0,0,0,0,1.5,1.5,2,27,523.15
53,國立臺灣大學,動物科學技術學系,0,1,1,0,0,0,0,1,1,1,23,379.05
54,國立臺灣大學,農業經濟學系,1.5,2,2,0,0,0,0,0,0,0,22,437.4
55,國立臺灣大學,園藝暨景觀學系,1,1,0,0,0,0,0,1,1.5,1.5,33,445.9
56,國立臺灣大學,獸醫學系,1,1,1,0,0,0,0,0,1,1,23,407.05
57,國立臺灣大學,生物產業傳播暨發展學系,1.5,1.5,0,1.5,1,1,0,0,0,0,31,535.58
60,國立臺灣大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,24,399.2
61,國立臺灣大學,昆蟲學系,0,1,1,0,0,0,0,1,1,1,25,366.75
62,國立臺灣大學,植物病理與微生物學系,1,1,1,0,0,0,0,0,1,1,24,377.75
63,國立臺灣大學,工商管理學系企業管理組,1,2,0,2,1,1,0,0,0,0,20,608.5
64,國立臺灣大學,工商管理學系科技管理組,1,2,2,0,0,0,0,1,1,0,14,564.5
65,國立臺灣大學,會計學系,1.25,2,0,1.25,1,1,0,0,0,0,70,551.9
66,國立臺灣大學,財務金融學系,1,1.5,0,2,0,0,0,0,0,0,60,408.5
67,國立臺灣大學,國際企業學系,1,2,0,2,1,1,0,0,0,0,38,612.8
70,國立臺灣大學,資訊管理學系,1,1,1,0,0,0,0,1,1,0,12,419.14
71,國立臺灣大學,公共衛生學系,1,1,1,0,0,0,0,0,1,1,24,387.45
72,國立臺灣大學,電機工程學系,1,1,1,0,0,0,0,1,1,0,47,432.6
73,國立臺灣大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,27,429.6
74,國立臺灣大學,法律學系法學組,1,1,0,1,1,0,1.25,0,0,0,34,445.25
75,國立臺灣大學,法律學系司法組,1,1,0,1,1,0,1.25,0,0,0,32,449.2
76,國立臺灣大學,法律學系財經法學組,1,1,0,1,1,0,1.25,0,0,0,37,455
77,國立臺灣大學,生命科學系,0,1,1,0,0,0,0,1,1,1,24,393.8
100,國立臺灣大學,生化科技學系,0,1,1,0,0,0,0,1,1,1,34,400.35
101,國立臺灣師範大學,教育學系(自費),1.5,1.5,0,1,1,1,0,0,0,0,21,448.53
102,國立臺灣師範大學,教育學系(公費-輔導)-臺北,1.5,1.5,0,1,1,1,0,0,0,0,1,564.49
103,國立臺灣師範大學,教育學系(公費-特教)-臺北,1.5,1.5,0,1,1,1,0,0,0,0,1,512.85
104,國立臺灣師範大學,教育學系(公費-生科)-新竹,1.5,1.5,0,1,1,1,0,0,0,0,1,551.75
105,國立臺灣師範大學,教育心理與輔導學系,1,1.25,0,1.25,1,0,1,0,0,0,8,438.9
106,國立臺灣師範大學,社會教育學系,1.5,1.5,0,1.5,1,1,0,0,0,0,26,483.63
107,國立臺灣師範大學,健康促進與衛生教育學系,1,2,1,0,0,0,0,0,0,2,11,398
110,國立臺灣師範大學,人發與家庭系家庭生活教育組,2,2,0,1.75,0,0,0,0,0,0,11,434.3
111,國立臺灣師範大學,人發與家庭系幼兒發展教育組,1.75,2,0,1.75,0,0,0,0,0,0,18,409.2
112,國立臺灣師範大學,公民教育與活動領導學系,1.25,1.25,0,1,0,0,2,0,0,0,48,410.55
113,國立臺灣師範大學,特殊教育學系,1.25,1.25,0,1,1,0,1,0,0,0,15,405.43
114,國立臺灣師範大學,學習科學學士學位學程,1,1.5,1,0,0,0,0,0,0,0,7,253.28
115,國立臺灣師範大學,國文學系,2,1.5,0,0,1,1,0,0,0,0,32,420.08
116,國立臺灣師範大學,英語學系,1.5,2,0,1,0,0,0,0,0,0,38,353.6
117,國立臺灣師範大學,歷史學系,1.25,1.25,0,1,1.5,1,0,0,0,0,33,450.03
120,國立臺灣師範大學,地理學系,1,1.25,0,1,1,1.5,0,0,0,0,23,438.66
121,國立臺灣師範大學,臺灣語文學系,1.5,1.5,0,0,1,1,1.5,0,0,0,4,494.6
122,國立臺灣師範大學,數學系,1,1,2,0,0,0,0,1.5,1,0,31,439.05
123,國立臺灣師範大學,物理學系,1,1,1.5,0,0,0,0,1.5,1,0,18,415.95
124,國立臺灣師範大學,化學系,1,1.25,1,0,0,0,0,1.5,1.75,0,29,445.79
125,國立臺灣師範大學,生命科學系,1,1.25,1,0,0,0,0,0,1.25,1.5,28,402.55
126,國立臺灣師範大學,地球科學系,0,1,2,0,0,0,0,2,1.5,0,15,434.3
127,國立臺灣師範大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,12,360.9
130,國立臺灣師範大學,營養科學學士學位學程,1,1.5,1,0,0,0,0,0,1.5,1.5,17,432.5
131,國立臺灣師範大學,工業教育學系,1,1.5,1.5,0,0,0,0,0,0,0,2,295.88
132,國立臺灣師範大學,科技應用與人力資源發展學系,1,1.25,1.25,0,0,0,0,1,1,0,19,354.13
133,國立臺灣師範大學,圖文傳播學系,1.25,1.25,1,0,0,0,0,1,1,0,13,357.7
134,國立臺灣師範大學,機電工程學系,1,1.5,2,0,0,0,0,2,1,0,18,518.6
135,國立臺灣師範大學,電機工程學系,1,2,2,0,0,0,0,2,1,0,24,562
136,國立臺灣師範大學,車輛與能源工程學士學位學程,1,1,1.5,0,0,0,0,1.5,0,0,3,344.85
137,國立臺灣師範大學,光電工程學士學位學程,1,1,2,0,0,0,0,2,1.5,0,6,519.9
143,國立臺灣師範大學,設計學系產品設計組,1,1.5,1.5,0,0,0,0,1.5,0,0,9,372.4
145,國立臺灣師範大學,華語文教學系應用華語文學組,2,2,0,0,1,1,0,0,0,0,12,464.4
146,國立臺灣師範大學,東亞學系,2,2,0,1,0,0,1,0,0,0,12,451.3
147,國立臺灣師範大學,企業管理學系,1.5,2,0,2,0,0,0,0,0,0,25,438
152,國立中興大學,中國文學系,2,1.5,0,0,1.25,0,0,0,0,0,20,350.35
153,國立中興大學,外國語文學系,1,2,0,1,1,1,0,0,0,0,33,448
154,國立中興大學,歷史學系,1,1,0,1,1.5,1,0,0,0,0,18,406.2
155,國立中興大學,財務金融學系,1,2,0,2,0,0,0,0,0,0,19,400.5
156,國立中興大學,企業管理學系,1,2,0,2,0,0,0,0,0,0,17,392.8
157,國立中興大學,法律學系,1.5,1.5,0,1,1,0,1,0,0,0,17,462.91
160,國立中興大學,行銷學系,1,2,0,2,0,0,0,0,0,0,13,392.3
161,國立中興大學,資訊管理學系,1,2,2,0,0,0,0,0,0,0,12,358.5
162,國立中興大學,會計學系,1,2,0,2,1,1,0,0,0,0,14,543.8
163,國立中興大學,應用經濟學系,1,2,1.5,0,0,0,0,0,0,0,17,316.9
164,國立中興大學,化學系,1,1.5,2,0,0,0,0,1,2,0,18,506.2
165,國立中興大學,物理學系一般物理組,1,1.5,1.5,0,0,0,0,1.5,1,0,9,434.7
166,國立中興大學,物理學系光電物理組,1,1.5,1.5,0,0,0,0,1.5,1,0,4,448.75
167,國立中興大學,應用數學系應用數學組,1,1.5,2,0,0,0,0,1.5,1,0,22,457
170,國立中興大學,應用數學系數據科學與計算組,1,1.5,2,0,0,0,0,1.5,1,0,17,456.2
171,國立中興大學,資訊科學與工程學系,1,1,1.5,0,0,0,0,1,1,0,26,388.15
172,國立中興大學,機械工程學系,1,1.5,2,0,0,0,0,2,1,0,25,507.73
173,國立中興大學,土木工程學系,1,1.5,2,0,0,0,0,2,1,0,69,486.18
174,國立中興大學,環境工程學系,1,1,1.5,0,0,0,0,1.5,1.5,0,27,424.55
175,國立中興大學,電機工程學系甲組,1,1,1,0,0,0,0,1,1,0,4,372.1
176,國立中興大學,電機工程學系乙組,0,1,2,0,0,0,0,2,1,0,33,435.7
177,國立中興大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,27,342.2
200,國立中興大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,14,346.15
201,國立中興大學,水土保持學系,1,1.5,2,0,0,0,0,2,1,0,22,475.68
202,國立中興大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,30,328.15
203,國立中興大學,農藝學系,1,1.5,1,0,0,0,0,0,1.5,1.5,18,411.25
204,國立中興大學,園藝學系,1,1.5,1,0,0,0,0,0,1.5,2,24,429.08
205,國立中興大學,森林學系林學組,0,1.5,1,0,0,0,0,1,1,1.5,12,357.08
206,國立中興大學,森林學系木材科學組,0,1.5,1,0,0,0,0,1.25,1.5,1,17,350.85
207,國立中興大學,植物病理學系,1,1.5,1,0,0,0,0,0,1.5,1.5,20,415.98
210,國立中興大學,昆蟲學系,1,1.5,1,0,0,0,0,0,1.5,1.5,30,379.08
211,國立中興大學,動物科學系,1,1.5,1,0,0,0,0,0,1.5,1.5,11,447.98
212,國立中興大學,土壤環境科學系,0,2,1,0,0,0,0,1,2,2,23,456.9
213,國立中興大學,食品暨應用生物科技學系,1,1.5,1,0,0,0,0,0,1.5,1.5,30,417.78
214,國立中興大學,生物科技學士學位學程,1,1.5,0,0,0,0,0,1,1.5,1.5,13,429.85
215,國立中興大學,景觀與遊憩學士學位學程,1,1.5,1.5,0,0,0,0,1,0,0,7,323.65
216,國立中興大學,國際農企業學士學位學程,1,2,1,0,0,0,0,0,0,1,4,336.6
217,國立中興大學,生命科學系,1,1.25,1,0,0,0,0,0,1.75,1.75,27,433.26
220,國立中興大學,獸醫學系,1,1.5,1,0,0,0,0,0,1.5,1.5,30,507.7
221,國立成功大學,中國文學系,1.5,1,0,1,1,1,0,0,0,0,36,409.13
222,國立成功大學,外國語文學系,1.5,2,0,1,1,1,0,0,0,0,36,500.6
223,國立成功大學,歷史學系,1.25,1.25,0,0,1.5,1,0,0,0,0,33,379.96
224,國立成功大學,台灣文學系,2,2,0,1,1,1,0,0,0,0,25,510.2
225,國立成功大學,數學系,0,1.5,2,0,0,0,0,1.5,0,0,20,376.45
226,國立成功大學,物理學系,1,1,1.5,0,0,0,0,1.5,1,0,22,449.25
227,國立成功大學,化學系,1,1,1.25,0,0,0,0,1.25,1.5,0,27,443.2
230,國立成功大學,地球科學系,1,1,1,0,0,0,0,1,1,0,29,346.1
231,國立成功大學,光電科學與工程學系,1,1,1,0,0,0,0,1,1,0,28,379.8
232,國立成功大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,72,367.85
233,國立成功大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,55,374.55
234,國立成功大學,材料科學及工程學系,1,1,1,0,0,0,0,1,1,0,39,384.4
235,國立成功大學,資源工程學系,1,1,1,0,0,0,0,1,1,0,28,353.25
236,國立成功大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,48,358.05
237,國立成功大學,水利及海洋工程學系,1,1.25,1.75,0,0,0,0,1.5,1,0,29,454.6
240,國立成功大學,工程科學系,1,1,1,0,0,0,0,1,1,0,24,369
241,國立成功大學,系統及船舶機電工程學系,1,1,1,0,0,0,0,1,1,0,25,360.85
242,國立成功大學,航空太空工程學系,1,1,1,0,0,0,0,1,1,0,21,367.83
243,國立成功大學,環境工程學系,1,1,1,0,0,0,0,1,1,0,26,357.25
244,國立成功大學,測量及空間資訊學系,1,1,1,0,0,0,0,1,1,0,21,351.35
245,國立成功大學,生物醫學工程學系,1,1,1,0,0,0,0,1,1,0,18,371.3
246,國立成功大學,工業與資訊管理學系,1,1,1,0,0,0,0,1,1,0,17,363.3
247,國立成功大學,交通管理科學系,1,1,1,0,0,0,0,1,1,0,23,352.1
