組別,科目名稱                                                                                            ,分數區間均數,人數,百分比,累計人數,累計百分比
01,英文、化學、生物                                                                                            ,298.50 ,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,295.5,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,292.5,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,289.5,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,286.5,2,0.01,2         ,0.01
01,英文、化學、生物                                                                                            ,283.5,3,0.02,5         ,0.04
01,英文、化學、生物                                                                                            ,280.5,5,0.04,10        ,0.07
01,英文、化學、生物                                                                                            ,277.5,14,0.1,24        ,0.17
01,英文、化學、生物                                                                                            ,274.5,22,0.15,46        ,0.32
01,英文、化學、生物                                                                                            ,271.5,30,0.21,76        ,0.53
01,英文、化學、生物                                                                                            ,268.5,68,0.48,144       ,1.01
01,英文、化學、生物                                                                                            ,265.5,67,0.47,211       ,1.48
01,英文、化學、生物                                                                                            ,262.5,134,0.94,345       ,2.42
01,英文、化學、生物                                                                                            ,259.5,124,0.87,469       ,3.29
01,英文、化學、生物                                                                                            ,256.5,177,1.24,646       ,4.53
01,英文、化學、生物                                                                                            ,253.5,196,1.37,842       ,5.90
01,英文、化學、生物                                                                                            ,250.5,212,1.49,1054      ,7.39
01,英文、化學、生物                                                                                            ,247.5,220,1.54,1274      ,8.93
01,英文、化學、生物                                                                                            ,244.5,258,1.81,1532      ,10.74
01,英文、化學、生物                                                                                            ,241.5,244,1.71,1776      ,12.44
01,英文、化學、生物                                                                                            ,238.5,260,1.82,2036      ,14.27
01,英文、化學、生物                                                                                            ,235.5,227,1.59,2263      ,15.86
01,英文、化學、生物                                                                                            ,232.5,286,2,2549      ,17.86
01,英文、化學、生物                                                                                            ,229.5,277,1.94,2826      ,19.80
01,英文、化學、生物                                                                                            ,226.5,285,2,3111      ,21.80
01,英文、化學、生物                                                                                            ,223.5,245,1.72,3356      ,23.52
01,英文、化學、生物                                                                                            ,220.5,245,1.72,3601      ,25.23
01,英文、化學、生物                                                                                            ,217.5,267,1.87,3868      ,27.10
01,英文、化學、生物                                                                                            ,214.5,267,1.87,4135      ,28.97
01,英文、化學、生物                                                                                            ,211.5,265,1.86,4400      ,30.83
01,英文、化學、生物                                                                                            ,208.5,233,1.63,4633      ,32.46
01,英文、化學、生物                                                                                            ,205.5,241,1.69,4874      ,34.15
01,英文、化學、生物                                                                                            ,202.5,279,1.96,5153      ,36.11
01,英文、化學、生物                                                                                            ,199.5,243,1.7,5396      ,37.81
01,英文、化學、生物                                                                                            ,196.5,236,1.65,5632      ,39.46
01,英文、化學、生物                                                                                            ,193.5,229,1.6,5861      ,41.07
01,英文、化學、生物                                                                                            ,190.5,251,1.76,6112      ,42.83
01,英文、化學、生物                                                                                            ,187.5,228,1.6,6340      ,44.43
01,英文、化學、生物                                                                                            ,184.5,235,1.65,6575      ,46.07
01,英文、化學、生物                                                                                            ,181.5,228,1.6,6803      ,47.67
01,英文、化學、生物                                                                                            ,178.5,219,1.53,7022      ,49.20
01,英文、化學、生物                                                                                            ,175.5,197,1.38,7219      ,50.59
01,英文、化學、生物                                                                                            ,172.5,230,1.61,7449      ,52.20
01,英文、化學、生物                                                                                            ,169.5,200,1.4,7649      ,53.60
01,英文、化學、生物                                                                                            ,166.5,218,1.53,7867      ,55.13
01,英文、化學、生物                                                                                            ,163.5,216,1.51,8083      ,56.64
01,英文、化學、生物                                                                                            ,160.5,209,1.46,8292      ,58.10
01,英文、化學、生物                                                                                            ,157.5,211,1.48,8503      ,59.58
01,英文、化學、生物                                                                                            ,154.5,213,1.49,8716      ,61.07
01,英文、化學、生物                                                                                            ,151.5,220,1.54,8936      ,62.62
01,英文、化學、生物                                                                                            ,148.5,209,1.46,9145      ,64.08
01,英文、化學、生物                                                                                            ,145.5,174,1.22,9319      ,65.30
01,英文、化學、生物                                                                                            ,142.5,191,1.34,9510      ,66.64
01,英文、化學、生物                                                                                            ,139.5,181,1.27,9691      ,67.91
01,英文、化學、生物                                                                                            ,136.5,214,1.5,9905      ,69.41
01,英文、化學、生物                                                                                            ,133.5,175,1.23,10080     ,70.63
01,英文、化學、生物                                                                                            ,130.5,195,1.37,10275     ,72.0
01,英文、化學、生物                                                                                            ,127.5,179,1.25,10454     ,73.25
01,英文、化學、生物                                                                                            ,124.5,185,1.3,10639     ,74.55
01,英文、化學、生物                                                                                            ,121.5,186,1.3,10825     ,75.85
01,英文、化學、生物                                                                                            ,118.5,171,1.2,10996     ,77.05
01,英文、化學、生物                                                                                            ,115.5,187,1.31,11183     ,78.36
01,英文、化學、生物                                                                                            ,112.5,154,1.08,11337     ,79.44
01,英文、化學、生物                                                                                            ,109.5,158,1.11,11495     ,80.55
01,英文、化學、生物                                                                                            ,106.5,159,1.11,11654     ,81.66
01,英文、化學、生物                                                                                            ,103.5,156,1.09,11810     ,82.76
01,英文、化學、生物                                                                                            ,100.5,134,0.94,11944     ,83.69
01,英文、化學、生物                                                                                            ,97.5,146,1.02,12090     ,84.72
01,英文、化學、生物                                                                                            ,94.5,139,0.97,12229     ,85.69
01,英文、化學、生物                                                                                            ,91.5,148,1.04,12377     ,86.73
01,英文、化學、生物                                                                                            ,88.5,138,0.97,12515     ,87.70
01,英文、化學、生物                                                                                            ,85.5,129,0.9,12644     ,88.60
01,英文、化學、生物                                                                                            ,82.5,125,0.88,12769     ,89.48
01,英文、化學、生物                                                                                            ,79.5,95,0.67,12864     ,90.14
01,英文、化學、生物                                                                                            ,76.5,119,0.83,12983     ,90.97
01,英文、化學、生物                                                                                            ,73.5,118,0.83,13101     ,91.80
