組別,科目名稱                                                                                            ,分數區間均數,人數,百分比,累計人數,累計百分比
1,數乙、歷史、地理                                                                                            ,298.5,0,0,0,0
1,數乙、歷史、地理                                                                                            ,295.5,0,0,0,0
1,數乙、歷史、地理                                                                                            ,292.5,0,0,0,0
1,數乙、歷史、地理                                                                                            ,289.5,0,0,0,0
1,數乙、歷史、地理                                                                                            ,286.5,0,0,0,0
1,數乙、歷史、地理                                                                                            ,283.5,2,0.01,2,0.01
1,數乙、歷史、地理                                                                                            ,280.5,2,0.01,4,0.02
1,數乙、歷史、地理                                                                                            ,277.5,10,0.04,14,0.05
1,數乙、歷史、地理                                                                                            ,274.5,14,0.05,28,0.11
1,數乙、歷史、地理                                                                                            ,271.5,21,0.08,49,0.19
1,數乙、歷史、地理                                                                                            ,268.5,36,0.14,85,0.32
1,數乙、歷史、地理                                                                                            ,265.5,56,0.21,141,0.54
1,數乙、歷史、地理                                                                                            ,262.5,89,0.34,230,0.88
1,數乙、歷史、地理                                                                                            ,259.5,112,0.43,342,1.3
1,數乙、歷史、地理                                                                                            ,256.5,134,0.51,476,1.81
1,數乙、歷史、地理                                                                                            ,253.5,155,0.59,631,2.4
1,數乙、歷史、地理                                                                                            ,250.5,198,0.75,829,3.16
1,數乙、歷史、地理                                                                                            ,247.5,228,0.87,1057,4.03
1,數乙、歷史、地理                                                                                            ,244.5,241,0.92,1298,4.94
1,數乙、歷史、地理                                                                                            ,241.5,288,1.1,1586,6.04
1,數乙、歷史、地理                                                                                            ,238.5,312,1.19,1898,7.23
1,數乙、歷史、地理                                                                                            ,235.5,356,1.36,2254,8.58
1,數乙、歷史、地理                                                                                            ,232.5,351,1.34,2605,9.92
1,數乙、歷史、地理                                                                                            ,229.5,384,1.46,2989,11.38
1,數乙、歷史、地理                                                                                            ,226.5,397,1.51,3386,12.9
1,數乙、歷史、地理                                                                                            ,223.5,429,1.63,3815,14.53
1,數乙、歷史、地理                                                                                            ,220.5,407,1.55,4222,16.08
1,數乙、歷史、地理                                                                                            ,217.5,413,1.57,4635,17.65
1,數乙、歷史、地理                                                                                            ,214.5,442,1.68,5077,19.34
1,數乙、歷史、地理                                                                                            ,211.5,465,1.77,5542,21.11
1,數乙、歷史、地理                                                                                            ,208.5,463,1.76,6005,22.87
1,數乙、歷史、地理                                                                                            ,205.5,444,1.69,6449,24.56
1,數乙、歷史、地理                                                                                            ,202.5,445,1.69,6894,26.26
1,數乙、歷史、地理                                                                                            ,199.5,472,1.8,7366,28.05
1,數乙、歷史、地理                                                                                            ,196.5,481,1.83,7847,29.89
1,數乙、歷史、地理                                                                                            ,193.5,456,1.74,8303,31.62
1,數乙、歷史、地理                                                                                            ,190.5,457,1.74,8760,33.36
1,數乙、歷史、地理                                                                                            ,187.5,487,1.85,9247,35.22
1,數乙、歷史、地理                                                                                            ,184.5,442,1.68,9689,36.9
1,數乙、歷史、地理                                                                                            ,181.5,476,1.81,10165,38.71
1,數乙、歷史、地理                                                                                            ,178.5,515,1.96,10680,40.68
1,數乙、歷史、地理                                                                                            ,175.5,471,1.79,11151,42.47
1,數乙、歷史、地理                                                                                            ,172.5,488,1.86,11639,44.33
1,數乙、歷史、地理                                                                                            ,169.5,464,1.77,12103,46.1
1,數乙、歷史、地理                                                                                            ,166.5,467,1.78,12570,47.87
1,數乙、歷史、地理                                                                                            ,163.5,538,2.05,13108,49.92
1,數乙、歷史、地理                                                                                            ,160.5,468,1.78,13576,51.71
1,數乙、歷史、地理                                                                                            ,157.5,472,1.8,14048,53.5
1,數乙、歷史、地理                                                                                            ,154.5,497,1.89,14545,55.4
1,數乙、歷史、地理                                                                                            ,151.5,509,1.94,15054,57.34
1,數乙、歷史、地理                                                                                            ,148.5,558,2.13,15612,59.46
1,數乙、歷史、地理                                                                                            ,145.5,527,2.01,16139,61.47
1,數乙、歷史、地理                                                                                            ,142.5,528,2.01,16667,63.48
1,數乙、歷史、地理                                                                                            ,139.5,551,2.1,17218,65.58
1,數乙、歷史、地理                                                                                            ,136.5,515,1.96,17733,67.54
1,數乙、歷史、地理                                                                                            ,133.5,516,1.97,18249,69.5
1,數乙、歷史、地理                                                                                            ,130.5,476,1.81,18725,71.32
1,數乙、歷史、地理                                                                                            ,127.5,493,1.88,19218,73.19
1,數乙、歷史、地理                                                                                            ,124.5,523,1.99,19741,75.19
1,數乙、歷史、地理                                                                                            ,121.5,481,1.83,20222,77.02
1,數乙、歷史、地理                                                                                            ,118.5,445,1.69,20667,78.71
1,數乙、歷史、地理                                                                                            ,115.5,416,1.58,21083,80.3
