系組.代碼,校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,錄取人數..含外加.,普通生錄取分數
1,國立臺灣大學            ,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,27,492.81
2,國立臺灣大學            ,外國語文學系,1.25,2,0,1,1,1,0,0,0,0,54,524.1
3,國立臺灣大學            ,歷史學系,1,1,0,0,1,1,1,0,0,0,21,424.45
4,國立臺灣大學            ,哲學系,1,1,0,1,1,0,1,0,0,0,20,411.5
5,國立臺灣大學            ,人類學系,1,1.5,0,0,1,1,1,0,0,0,22,460.05
6,國立臺灣大學            ,圖書資訊學系,1.25,1.25,0,1,1,0,1,0,0,0,20,457.05
7,國立臺灣大學            ,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,29,495.8
10,國立臺灣大學            ,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,11,486.25
11,國立臺灣大學            ,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,10,490.2
12,國立臺灣大學            ,數學系,0,1,1.5,0,0,0,0,1,1,0,16,362.1
13,國立臺灣大學            ,物理學系,1,1,1,0,0,0,0,1,1,0,13,414.5
14,國立臺灣大學            ,化學系,1,1,1,0,0,0,0,1,1,0,18,405.5
15,國立臺灣大學            ,地質科學系,1,1,1,0,0,0,0,1,1,0,15,388.6
16,國立臺灣大學            ,心理學系,1,1,1,0,0,0,0,0,1,1,44,402.45
17,國立臺灣大學            ,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,12,384.25
20,國立臺灣大學            ,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,7,421.45
21,國立臺灣大學            ,大氣科學系,1,1,1,0,0,0,0,1,1,0,18,390.8
22,國立臺灣大學            ,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,31,457.75
23,國立臺灣大學            ,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,34,466.74
24,國立臺灣大學            ,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,32,460.61
25,國立臺灣大學            ,經濟學系,1,1.5,0,2,0,0,0,0,0,0,56,408.78
26,國立臺灣大學            ,社會學系,1,1,0,1,1,0,1,0,0,0,26,422.05
27,國立臺灣大學            ,社會工作學系,1.25,1.25,0,1,1,0,1,0,0,0,20,453.83
30,國立臺灣大學            ,醫學系(自費),0,1,1,0,0,0,0,1,1,1,57,448.1
31,國立臺灣大學            ,醫學系(公費),0,1,1,0,0,0,0,1,1,1,4,430.6
32,國立臺灣大學            ,牙醫學系,0,1,1,0,0,0,0,1,1,1,18,435.7
33,國立臺灣大學            ,藥學系,0,1,1,0,0,0,0,1,1.5,1,20,462.15
34,國立臺灣大學            ,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,0,1,1,17,407.85
35,國立臺灣大學            ,護理學系,1,1,1,0,0,0,0,0,1,1,23,394.95
36,國立臺灣大學            ,物理治療學系,0,1,1,0,0,0,0,1,1,1,15,411.85
37,國立臺灣大學            ,職能治療學系,1.25,1.5,1,0,0,0,0,0,0,1,17,394.23
40,國立臺灣大學            ,土木工程學系,1,1,1,0,0,0,0,1,1,0,50,394.6
41,國立臺灣大學            ,機械工程學系,1,1,1,0,0,0,0,1,1,0,31,406.6
42,國立臺灣大學            ,化學工程學系,1,1,1,0,0,0,0,1,1,0,25,407.95
43,國立臺灣大學            ,工程科學及海洋工程學系,1,1,1,0,0,0,0,1,1,0,15,400.1
44,國立臺灣大學            ,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,10,420.85
45,國立臺灣大學            ,醫學工程學系,1,1,1,0,0,0,0,1,1,0,19,406.05
46,國立臺灣大學            ,農藝學系,1,1,1,0,0,0,0,0,1.25,1.25,17,431.83
47,國立臺灣大學            ,生物環境系統工程學系,1,1,1,0,0,0,0,1,1,0,21,389.2
50,國立臺灣大學            ,農業化學系,0,1,1,0,0,0,0,1,1,1,26,390.25
51,國立臺灣大學            ,森林環境暨資源學系,0,1,1,0,0,0,0,1.5,1.5,2,33,530.1
52,國立臺灣大學            ,動物科學技術學系,0,1,1,0,0,0,0,1,1,1,19,384.4
53,國立臺灣大學            ,農業經濟學系,1.5,2,2,0,0,0,0,0,0,0,23,436.6
54,國立臺灣大學            ,園藝暨景觀學系,1,1,0,0,0,0,0,1,1.5,1.5,24,475.25
55,國立臺灣大學            ,獸醫學系,1,1,1,0,0,0,0,0,1,1,23,415.75
56,國立臺灣大學            ,生物產業傳播暨發展學系,1.5,1.5,0,1.5,1,1,0,0,0,0,31,543.48
57,國立臺灣大學            ,生物機電工程學系,1,1,1,0,0,0,0,1,1,0,22,395.4
60,國立臺灣大學            ,昆蟲學系,0,1,1,0,0,0,0,1,1,1,24,373.2
61,國立臺灣大學            ,植物病理與微生物學系,1,1,1,0,0,0,0,0,1,1,25,391.75
62,國立臺灣大學            ,工商管理學系企業管理組,1,2,0,2,1,1,0,0,0,0,19,611.3
63,國立臺灣大學            ,工商管理學系科技管理組,1,2,2,0,0,0,0,1,1,0,14,565.7
64,國立臺灣大學            ,會計學系,1.25,2,0,1.25,1,1,0,0,0,0,53,558.1
65,國立臺灣大學            ,財務金融學系,1,1.5,0,2,0,0,0,0,0,0,61,414.65
66,國立臺灣大學            ,國際企業學系,1,2,0,2,1,1,0,0,0,0,40,615.9
67,國立臺灣大學            ,資訊管理學系,1,1,1,0,0,0,0,1,1,0,12,414.25
70,國立臺灣大學            ,公共衛生學系,0,1.25,1.25,0,0,0,0,0,1,0,11,278.69
71,國立臺灣大學            ,電機工程學系,1,1,1,0,0,0,0,1,1,0,47,424.95
72,國立臺灣大學            ,資訊工程學系,1,1,1,0,0,0,0,1,1,0,26,423.4
73,國立臺灣大學            ,法律學系法學組,1,1,0,1,1,0,1.25,0,0,0,34,455.95
74,國立臺灣大學            ,法律學系司法組,1,1,0,1,1,0,1.25,0,0,0,35,459.32
75,國立臺灣大學            ,法律學系財經法學組,1,1,0,1,1,0,1.25,0,0,0,34,465.15
76,國立臺灣大學            ,生命科學系,0,1,1,0,0,0,0,1,1,1,36,395.35
77,國立臺灣大學            ,生化科技學系,0,1,1,0,0,0,0,1,1,1,19,403.5
100,國立臺灣師範大學        ,教育學系(自費),1.5,1.5,0,1,1,1,0,0,0,0,19,465.63
101,國立臺灣師範大學        ,教育學系(公費)-臺東縣,1.5,1.5,0,1,1,1,0,0,0,0,1,520.98
102,國立臺灣師範大學        ,教育心理與輔導學系,1,1.25,0,1.25,1,0,1,0,0,0,9,451.98
103,國立臺灣師範大學        ,社會教育學系,1.5,1.5,0,1.5,1,1,0,0,0,0,21,500.2
104,國立臺灣師範大學        ,健康促進與衛生教育學系,1,2,1,0,0,0,0,0,0,2,8,434.1
105,國立臺灣師範大學        ,人發與家庭系家庭生活教育組,2,2,0,1.75,0,0,0,0,0,0,4,465.05
106,國立臺灣師範大學        ,人發與家庭系幼兒發展教育組,2,2,0,1.75,0,0,0,0,0,0,5,463.6
107,國立臺灣師範大學        ,公民教育與活動領導學系,1.25,1.25,0,1,0,0,2,0,0,0,37,437.43
110,國立臺灣師範大學        ,特殊教育學系(自費),1.25,1.25,0,1,1,0,1,0,0,0,14,423.1
111,國立臺灣師範大學        ,特殊教育學系(公費)-臺東縣,1.25,1.25,0,1,1,0,1,0,0,0,1,450.79
112,國立臺灣師範大學        ,學習科學學士學位學程,1,1.5,1,0,0,0,0,0,0,0,4,260.08
113,國立臺灣師範大學        ,教育學院學士班,1,1,0,1,0,0,1,0,0,0,4,327
114,國立臺灣師範大學        ,國文學系,2,1.5,0,0,1,1,0,0,0,0,25,444.33
115,國立臺灣師範大學        ,英語學系,1.5,2,0,1,0,0,0,0,0,0,28,370.4
116,國立臺灣師範大學        ,歷史學系,1.25,1.25,0,1,1.5,1,0,0,0,0,33,458.63
117,國立臺灣師範大學        ,地理學系,1,1.25,0,1,1,1.5,0,0,0,0,25,443.8
120,國立臺灣師範大學        ,臺灣語文學系,1.5,1.5,0,0,1,1,1.5,0,0,0,8,515.15
121,國立臺灣師範大學        ,數學系,1,1,2,0,0,0,0,1.5,1,0,30,434.5
122,國立臺灣師範大學        ,物理學系,1,1,1.5,0,0,0,0,1.5,1,0,12,420.95
123,國立臺灣師範大學        ,化學系,1,1.25,1,0,0,0,0,1.5,1.75,0,30,459.51
124,國立臺灣師範大學        ,生命科學系,1,1.25,1,0,0,0,0,0,1.25,1.5,27,433.5
125,國立臺灣師範大學        ,地球科學系,0,1,2,0,0,0,0,2,1.5,0,15,421
126,國立臺灣師範大學        ,資訊工程學系,1,1,1,0,0,0,0,1,1,0,13,370.4
127,國立臺灣師範大學        ,營養科學學士學位學程,1,1.5,1,0,0,0,0,0,1.5,1.5,15,465.5
130,國立臺灣師範大學        ,工業教育學系,1,1.5,1.5,0,0,0,0,0,0,0,1,294.3
131,國立臺灣師範大學        ,科技應用與人資發展系(自費),1,1.25,1.25,0,0,0,0,1,1,0,14,365.09
132,國立臺灣師範大學        ,科技與人資發展系(公費)臺南,1,1.25,1.25,0,0,0,0,1,1,0,1,448.43
133,國立臺灣師範大學        ,圖文傳播學系,1.25,1.25,1,0,0,0,0,1,1,0,11,372.18
134,國立臺灣師範大學        ,機電工程學系,1,1.5,2,0,0,0,0,2,1,0,18,516.83
135,國立臺灣師範大學        ,電機工程學系,1,2,2,0,0,0,0,2,1,0,15,566.8
136,國立臺灣師範大學        ,車輛與能源工程學士學位學程,1,1,1.5,0,0,0,0,1.5,0,0,3,342.95
137,國立臺灣師範大學        ,光電工程學士學位學程,1,1,2,0,0,0,0,2,1.5,0,6,518.25
143,國立臺灣師範大學        ,設計學系產品設計組,1,1.25,1.25,0,0,0,0,1.25,0,0,9,322.34
145,國立臺灣師範大學        ,華語文教學系應用華語文學組,2,2,0,0,1,1,0,0,0,0,12,486.5
146,國立臺灣師範大學        ,東亞學系,2,2,0,1,0,0,1,0,0,0,23,476
147,國立臺灣師範大學        ,企業管理學系,1.5,2,0,2,0,0,0,0,0,0,17,457.5
152,國立中興大學            ,中國文學系,2,1.5,0,0,1.25,0,0,0,0,0,20,376.33
153,國立中興大學            ,外國語文學系,1,2,0,1,1,1,0,0,0,0,31,456.8
154,國立中興大學            ,歷史學系,1,1,0,1,1.5,1,0,0,0,0,24,410.4
155,國立中興大學            ,財務金融學系,1,2,0,2,0,0,0,0,0,0,19,418.5
156,國立中興大學            ,企業管理學系,1,2,0,2,0,0,0,0,0,0,19,409.4
157,國立中興大學            ,法律學系,1.5,1,0,1,1,0,1.5,0,0,0,17,484.15
160,國立中興大學            ,行銷學系,1,2,0,2,0,0,0,0,0,0,13,409.3
161,國立中興大學            ,資訊管理學系,1,2,2,0,0,0,0,0,0,0,19,355.2
162,國立中興大學            ,會計學系,1,2,0,2,1,1,0,0,0,0,9,556.4
163,國立中興大學            ,應用經濟學系,1,2,1.5,0,0,0,0,0,0,0,27,318.1
164,國立中興大學            ,化學系(自費),1,1.5,2,0,0,0,0,1,2,0,21,511.5
165,國立中興大學            ,化學系(公費)-花蓮縣,1,1.5,2,0,0,0,0,1,2,0,1,599.23
166,國立中興大學            ,物理學系一般物理組,1,1.5,1.5,0,0,0,0,1.5,1,0,5,444.1
167,國立中興大學            ,物理學系光電物理組,1,1.5,1.5,0,0,0,0,1.5,1,0,5,449.98
170,國立中興大學            ,應用數學系應用數學組,1,1.5,2,0,0,0,0,1.5,1,0,15,460.08
171,國立中興大學            ,應用數學系數據科學與計算組,1,1.5,2,0,0,0,0,1.5,1,0,16,462.35
172,國立中興大學            ,機械工程學系,1,1.5,2,0,0,0,0,2,1,0,34,505.88
173,國立中興大學            ,土木工程學系,1,1.5,2,0,0,0,0,2,1,0,63,483.23
174,國立中興大學            ,環境工程學系,1,1,1.5,0,0,0,0,1.5,1.5,0,29,428.1
175,國立中興大學            ,化學工程學系,1,1,1,0,0,0,0,1,1,0,25,349
176,國立中興大學            ,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,22,352.3
177,國立中興大學            ,電機工程學系甲組,1,1,1,0,0,0,0,1,1,0,3,382.25
200,國立中興大學            ,電機工程學系乙組,0,1,2,0,0,0,0,2,1,0,28,424.05
201,國立中興大學            ,資訊科學與工程學系,1,1,1.5,0,0,0,0,1,1,0,20,391.25
202,國立中興大學            ,水土保持學系,1,1.5,2,0,0,0,0,2,1,0,23,476
203,國立中興大學            ,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,22,338.5
204,國立中興大學            ,農藝學系,1,1.5,1,0,0,0,0,0,1.5,1.5,20,443.08
205,國立中興大學            ,園藝學系,1,1.5,1,0,0,0,0,0,1.5,2,21,468.63
206,國立中興大學            ,森林學系林學組,0,1.5,1,0,0,0,0,1,1,1.5,14,364.15
207,國立中興大學            ,森林學系木材科學組,0,1.5,1,0,0,0,0,1.25,1.5,1,14,372.93
210,國立中興大學            ,植物病理學系,1,1.5,1,0,0,0,0,0,1.5,1.5,21,448.45
211,國立中興大學            ,昆蟲學系,1,1.5,1,0,0,0,0,0,1.5,1.5,24,417.55
212,國立中興大學            ,動物科學系,1,1.5,1,0,0,0,0,0,1.5,1.5,12,476.55
213,國立中興大學            ,土壤環境科學系,0,2,1,0,0,0,0,1,2,2,23,490.3
214,國立中興大學            ,食品暨應用生物科技學系,1,1.5,1,0,0,0,0,0,1.5,1.5,21,451.83
215,國立中興大學            ,生物科技學士學位學程,1,1.5,0,0,0,0,0,1,1.5,1.5,11,464.3
216,國立中興大學            ,景觀與遊憩學士學位學程,1,1.5,1.5,0,0,0,0,1,0,0,6,324.7
217,國立中興大學            ,國際農企業學士學位學程,1,2,1,0,0,0,0,0,0,1,4,356.4
220,國立中興大學            ,生命科學系,1,1.25,1,0,0,0,0,0,1.75,1.75,24,472.09
221,國立中興大學            ,獸醫學系,1,1.5,1,0,0,0,0,0,1.5,1.5,32,526.93
222,國立成功大學            ,中國文學系,1.5,1,0,1,1,1,0,0,0,0,40,422.7
223,國立成功大學            ,外國語文學系,1.5,2,0,1,1,1,0,0,0,0,35,511.9
224,國立成功大學            ,歷史學系,1.25,1.25,0,0,1.5,1,0,0,0,0,29,391.61
225,國立成功大學            ,台灣文學系,2,2,0,1,1,1,0,0,0,0,24,535.4
226,國立成功大學            ,數學系,0,1.5,2,0,0,0,0,1.5,0,0,21,357.05
227,國立成功大學            ,物理學系,1,1,1.5,0,0,0,0,1.5,1,0,26,440.35
230,國立成功大學            ,化學系,1,1,1.25,0,0,0,0,1.25,1.5,0,28,445.6
231,國立成功大學            ,地球科學系,1,1,1,0,0,0,0,1,1,0,24,349.8
232,國立成功大學            ,光電科學與工程學系,1,1,1,0,0,0,0,1,1,0,23,381.15
233,國立成功大學            ,機械工程學系,1,1,1,0,0,0,0,1,1,0,68,372.8
234,國立成功大學            ,化學工程學系,1,1,1,0,0,0,0,1,1,0,72,376.6
235,國立成功大學            ,材料科學及工程學系,1,1,1,0,0,0,0,1,1,0,38,387.75
236,國立成功大學            ,資源工程學系,1,1,1,0,0,0,0,1,1,0,25,358.2
237,國立成功大學            ,土木工程學系,1,1,1,0,0,0,0,1,1,0,50,362.75
240,國立成功大學            ,水利及海洋工程學系,1,1.25,1.75,0,0,0,0,1.5,1,0,26,451.09
241,國立成功大學            ,工程科學系,1,1,1,0,0,0,0,1,1,0,21,375.4
242,國立成功大學            ,系統及船舶機電工程學系,1,1,1,0,0,0,0,1,1,0,28,362.7
243,國立成功大學            ,航空太空工程學系,1,1,1,0,0,0,0,1,1,0,19,375.75
244,國立成功大學            ,環境工程學系,1,1,1,0,0,0,0,1,1,0,23,359.5
245,國立成功大學            ,測量及空間資訊學系,1,1,1,0,0,0,0,1,1,0,20,355.75
246,國立成功大學            ,生物醫學工程學系,1,1,1,0,0,0,0,1,1,0,14,379.8
247,國立成功大學            ,工業與資訊管理學系,1,1,1,0,0,0,0,1,1,0,20,369.1
250,國立成功大學            ,交通管理科學系,1,1,1,0,0,0,0,1,1,0,24,353.5
251,國立成功大學            ,企業管理學系,1,1.25,0,1,0,0,0,0,0,0,46,271.43
252,國立成功大學            ,統計學系,1,1.5,1.5,0,0,0,0,0,0,0,34,299.65
253,國立成功大學            ,會計學系,1,2,0,2,0,0,0,0,0,0,24,427.4
254,國立成功大學            ,醫學系(自費),0,1,1,0,0,0,0,1,1,1,36,434
255,國立成功大學            ,醫學系(公費),0,1,1,0,0,0,0,1,1,1,9,419.25
256,國立成功大學            ,牙醫學系,0,1,1,0,0,0,0,1,1,1,13,425.35
257,國立成功大學            ,醫學檢驗生物技術學系,1,1.25,1,0,0,0,0,0,1.25,1.25,18,449.6
260,國立成功大學            ,護理學系,1,1.5,1,0,0,0,0,0,1,1.5,20,451.08
261,國立成功大學            ,職能治療學系,1,1,1,0,0,0,0,1,0,1,13,384.05
262,國立成功大學            ,物理治療學系,1,1.25,1,0,0,0,0,1,0,1,17,409.6
263,國立成功大學            ,藥學系,1,1,1,0,0,0,0,0,1.25,1,6,443.28
264,國立成功大學            ,政治學系,1.25,1.25,0,1,1,0,1,0,0,0,29,432.35
265,國立成功大學            ,經濟學系,1.5,2,0,2,0,0,0,0,0,0,25,467
