組別,科目名稱                                                                                            ,分數區間均數,人數,百分比,累計人數,累計百分比
01,數甲、物理、化學                                                                                            ,298.5,0,0,0         ,0.0
01,數甲、物理、化學                                                                                            ,295.5,2,0.01,2         ,0.01
01,數甲、物理、化學                                                                                            ,292.5,2,0.01,4         ,0.02
01,數甲、物理、化學                                                                                            ,289.5,11,0.05,15        ,0.07
01,數甲、物理、化學                                                                                            ,286.5,14,0.07,29        ,0.13
01,數甲、物理、化學                                                                                            ,283.5,15,0.07,44        ,0.20
01,數甲、物理、化學                                                                                            ,280.5,26,0.12,70        ,0.33
01,數甲、物理、化學                                                                                            ,277.5,35,0.16,105       ,0.49
01,數甲、物理、化學                                                                                            ,274.5,29,0.13,134       ,0.62
01,數甲、物理、化學                                                                                            ,271.5,70,0.33,204       ,0.95
01,數甲、物理、化學                                                                                            ,268.5,66,0.31,270       ,1.25
01,數甲、物理、化學                                                                                            ,265.5,70,0.33,340       ,1.58
01,數甲、物理、化學                                                                                            ,262.5,100,0.46,440       ,2.04
01,數甲、物理、化學                                                                                            ,259.5,97,0.45,537       ,2.50
01,數甲、物理、化學                                                                                            ,256.5,94,0.44,631       ,2.93
01,數甲、物理、化學                                                                                            ,253.5,132,0.61,763       ,3.55
01,數甲、物理、化學                                                                                            ,250.5,148,0.69,911       ,4.23
01,數甲、物理、化學                                                                                            ,247.5,149,0.69,1060      ,4.93
01,數甲、物理、化學                                                                                            ,244.5,168,0.78,1228      ,5.71
01,數甲、物理、化學                                                                                            ,241.5,197,0.92,1425      ,6.62
01,數甲、物理、化學                                                                                            ,238.5,215,1,1640      ,7.62
01,數甲、物理、化學                                                                                            ,235.5,213,0.99,1853      ,8.61
01,數甲、物理、化學                                                                                            ,232.5,191,0.89,2044      ,9.50
01,數甲、物理、化學                                                                                            ,229.5,215,1,2259      ,10.50
01,數甲、物理、化學                                                                                            ,226.5,237,1.1,2496      ,11.60
01,數甲、物理、化學                                                                                            ,223.5,270,1.25,2766      ,12.85
01,數甲、物理、化學                                                                                            ,220.5,244,1.13,3010      ,13.99
01,數甲、物理、化學                                                                                            ,217.5,295,1.37,3305      ,15.36
01,數甲、物理、化學                                                                                            ,214.5,274,1.27,3579      ,16.63
01,數甲、物理、化學                                                                                            ,211.5,298,1.38,3877      ,18.01
01,數甲、物理、化學                                                                                            ,208.5,303,1.41,4180      ,19.42
01,數甲、物理、化學                                                                                            ,205.5,294,1.37,4474      ,20.79
01,數甲、物理、化學                                                                                            ,202.5,326,1.51,4800      ,22.30
01,數甲、物理、化學                                                                                            ,199.5,326,1.51,5126      ,23.82
01,數甲、物理、化學                                                                                            ,196.5,315,1.46,5441      ,25.28
01,數甲、物理、化學                                                                                            ,193.5,329,1.53,5770      ,26.81
01,數甲、物理、化學                                                                                            ,190.5,303,1.41,6073      ,28.22
01,數甲、物理、化學                                                                                            ,187.5,320,1.49,6393      ,29.71
01,數甲、物理、化學                                                                                            ,184.5,364,1.69,6757      ,31.40
01,數甲、物理、化學                                                                                            ,181.5,310,1.44,7067      ,32.84
01,數甲、物理、化學                                                                                            ,178.5,346,1.61,7413      ,34.45
01,數甲、物理、化學                                                                                            ,175.5,325,1.51,7738      ,35.96
01,數甲、物理、化學                                                                                            ,172.5,337,1.57,8075      ,37.52
01,數甲、物理、化學                                                                                            ,169.5,349,1.62,8424      ,39.14
01,數甲、物理、化學                                                                                            ,166.5,326,1.51,8750      ,40.66
01,數甲、物理、化學                                                                                            ,163.5,337,1.57,9087      ,42.22
01,數甲、物理、化學                                                                                            ,160.5,323,1.5,9410      ,43.72
01,數甲、物理、化學                                                                                            ,157.5,324,1.51,9734      ,45.23
01,數甲、物理、化學                                                                                            ,154.5,345,1.6,10079     ,46.83
01,數甲、物理、化學                                                                                            ,151.5,363,1.69,10442     ,48.52
01,數甲、物理、化學                                                                                            ,148.5,337,1.57,10779     ,50.09
01,數甲、物理、化學                                                                                            ,145.5,356,1.65,11135     ,51.74
01,數甲、物理、化學                                                                                            ,142.5,330,1.53,11465     ,53.27
01,數甲、物理、化學                                                                                            ,139.5,337,1.57,11802     ,54.84
01,數甲、物理、化學                                                                                            ,136.5,287,1.33,12089     ,56.17
01,數甲、物理、化學                                                                                            ,133.5,334,1.55,12423     ,57.73
01,數甲、物理、化學                                                                                            ,130.5,347,1.61,12770     ,59.34
01,數甲、物理、化學                                                                                            ,127.5,304,1.41,13074     ,60.75
01,數甲、物理、化學                                                                                            ,124.5,307,1.43,13381     ,62.18
01,數甲、物理、化學                                                                                            ,121.5,347,1.61,13728     ,63.79
01,數甲、物理、化學                                                                                            ,118.5,338,1.57,14066     ,65.36
01,數甲、物理、化學                                                                                            ,115.5,319,1.48,14385     ,66.84
01,數甲、物理、化學                                                                                            ,112.5,335,1.56,14720     ,68.40
01,數甲、物理、化學                                                                                            ,109.5,323,1.5,15043     ,69.90
01,數甲、物理、化學                                                                                            ,106.5,299,1.39,15342     ,71.29
01,數甲、物理、化學                                                                                            ,103.5,312,1.45,15654     ,72.74
01,數甲、物理、化學                                                                                            ,100.5,299,1.39,15953     ,74.13
01,數甲、物理、化學                                                                                            ,97.5,311,1.45,16264     ,75.57
01,數甲、物理、化學                                                                                            ,94.5,328,1.52,16592     ,77.10
