國,英,數甲,數乙,歷,地,公,物,化,生
0,1,12,375,0,0,0,21,5,0
0,0,0,0,0,0,0,32,3,0
0,6,16,76,2,0,0,46,26,0
0,10,1,0,0,0,0,58,21,0
0,22,49,650,4,0,0,90,73,3
1,38,1,0,7,0,0,78,70,7
0,78,61,540,5,1,1,123,117,18
0,94,10,420,14,1,0,123,113,31
2,140,75,264,28,3,8,160,157,55
1,184,34,93,38,1,10,141,173,78
2,219,81,1105,43,11,15,175,182,91
5,256,70,116,80,7,11,185,235,138
6,358,91,457,111,19,27,199,216,153
12,360,117,798,137,11,30,226,248,164
21,386,80,431,161,40,62,210,231,210
29,447,149,281,181,26,32,208,267,243
34,497,150,1107,236,56,101,208,280,251
54,539,152,278,276,58,63,226,235,293
77,529,116,524,325,96,169,227,268,273
118,518,193,786,377,73,120,263,287,270
143,596,153,521,421,149,209,250,270,314
190,631,228,440,441,112,152,241,277,290
228,615,219,823,500,209,283,245,265,310
312,656,207,383,519,163,188,242,307,326
397,561,211,613,596,292,417,240,275,332
441,611,252,650,600,249,272,242,288,310
559,648,260,521,659,409,476,270,302,308
567,643,212,502,628,326,321,232,263,318
637,671,324,636,703,430,565,246,284,344
748,656,271,400,657,392,341,245,294,269
854,629,258,532,702,549,642,268,295,292
869,642,284,437,684,471,438,270,287,292
939,631,313,543,727,620,716,274,292,302
1177,649,295,448,700,556,464,275,296,309
1102,612,373,524,687,674,719,248,263,288
1180,666,337,354,708,592,530,277,288,274
1262,636,268,540,719,723,864,242,327,261
1267,685,309,393,682,740,551,257,294,265
1287,645,356,478,701,777,841,298,260,248
1261,630,337,379,661,789,570,245,276,273
1316,626,353,512,664,849,938,266,286,239
1304,656,373,351,663,798,568,269,297,250
1226,632,324,468,647,910,903,272,288,256
1390,667,304,354,595,780,627,250,286,240
1293,617,335,472,632,883,894,280,265,228
1299,620,332,330,612,784,631,283,285,234
1272,675,286,462,630,866,872,276,280,226
1229,690,333,295,560,770,579,258,290,225
1304,631,298,454,552,853,819,244,299,215
1250,633,310,333,535,697,530,282,290,236
1195,595,335,450,487,911,813,282,276,199
1134,628,313,323,513,607,496,260,316,182
1173,650,291,451,472,786,699,260,303,196
1131,616,323,297,477,545,429,311,265,199
1072,639,312,443,427,750,601,255,275,192
1000,636,304,312,381,469,395,269,297,192
1009,711,309,437,369,721,515,307,286,189
942,669,300,336,378,360,316,273,308,164
868,648,253,459,357,585,415,299,321,195
860,657,287,331,312,293,248,285,337,171
839,640,303,467,292,570,348,315,332,157
778,647,271,337,309,218,202,293,298,139
724,652,290,482,267,475,265,300,323,145
686,714,295,317,262,170,169,286,282,155
641,673,270,479,235,444,216,296,330,137
600,628,269,288,208,120,112,248,294,117
505,636,266,463,216,357,169,282,310,131
468,641,281,352,185,89,84,267,248,119
456,649,244,518,158,271,129,270,296,131
406,661,264,390,149,53,72,291,296,121
340,621,259,458,128,214,92,237,239,131
328,680,257,295,119,38,44,258,268,109
281,640,251,550,115,173,63,251,290,88
257,663,237,256,86,20,40,245,231,92
205,654,242,470,71,159,56,214,230,67
196,696,256,361,78,13,30,221,251,78
180,656,282,347,63,118,32,206,197,68
149,667,236,340,58,12,15,192,203,69
108,684,233,414,44,79,19,198,225,54
123,663,263,173,51,6,11,162,162,56
86,659,235,444,34,49,16,134,139,39
86,645,240,217,25,1,5,127,149,40
76,583,278,286,38,40,13,106,113,37
56,531,244,325,30,1,4,93,96,28
43,506,225,220,13,18,9,103,98,21
55,490,234,184,9,0,2,81,67,13
35,413,255,296,10,15,3,79,59,16
25,326,212,54,10,0,1,44,47,10
27,247,267,254,3,8,2,29,47,11
16,180,193,159,4,0,0,27,31,3
13,119,248,95,5,0,0,28,29,5
7,83,235,179,2,0,0,13,19,5
7,52,161,120,0,1,2,10,8,1
4,31,229,51,0,0,1,12,16,1
3,14,224,95,1,1,0,7,8,1
0,10,68,12,0,0,0,6,1,0
0,6,143,60,0,1,1,4,5,1
0,3,140,64,0,0,0,3,2,0
0,4,31,0,0,3,0,0,0,0
0,1,146,53,1,0,0,1,0,0
1,6,90,14,2,0,2,3,2,2
