國,英,數甲,數乙,歷,地,公,物,化,生
0,0,5,1236,2,0,0,4,32,0
0,1,0,1,2,0,3,9,16,2
0,6,1,190,3,0,5,13,42,5
0,28,0,0,11,0,17,23,80,19
0,69,23,1184,23,1,44,32,70,37
0,118,0,0,34,0,58,46,104,76
0,184,13,420,67,8,129,61,133,90
0,320,44,616,122,2,133,69,139,106
0,398,12,976,137,23,273,84,180,141
0,545,6,137,187,3,253,106,180,166
1,647,89,770,253,46,436,117,229,220
2,682,13,134,300,15,311,119,278,230
1,821,28,1149,369,113,601,130,224,265
4,890,93,325,461,29,405,164,285,262
8,860,46,607,498,256,757,199,280,301
8,973,38,742,494,45,540,181,245,304
22,971,148,707,571,392,912,175,293,298
42,979,68,375,629,76,611,198,287,279
54,1017,75,890,658,563,981,223,262,317
96,986,163,332,726,119,676,219,303,306
121,990,112,752,779,784,1025,226,318,323
177,1009,116,556,791,160,701,268,301,269
252,1031,176,660,769,919,1108,255,357,296
296,928,126,607,836,207,752,255,299,332
373,979,165,678,878,1167,1178,262,341,301
505,931,156,498,869,247,759,288,347,263
623,913,239,658,917,1241,1130,283,348,287
720,833,208,466,855,281,780,270,357,286
832,920,265,705,915,1417,1177,301,358,282
928,826,217,460,950,297,789,321,331,287
1187,795,259,613,914,1426,1087,302,335,279
1254,836,223,552,909,281,769,286,349,258
1400,827,322,603,873,1529,1109,305,353,255
1598,788,283,530,891,322,671,323,354,249
1645,756,308,614,905,1541,1066,340,333,259
1777,743,300,424,872,337,654,313,370,237
1947,714,363,658,855,1598,918,311,349,223
1931,732,297,397,826,347,628,368,329,252
1957,729,361,587,913,1591,851,317,364,273
2039,682,331,464,833,307,548,306,357,244
2069,732,423,586,849,1653,715,321,393,252
2075,687,410,453,762,323,448,336,379,226
2157,694,425,597,796,1483,625,357,338,219
2080,660,436,429,746,285,416,340,342,217
2015,663,460,603,770,1469,564,347,392,214
2008,712,430,360,692,300,331,368,356,223
1956,682,518,592,724,1377,390,357,357,187
1882,707,453,394,636,229,273,368,393,237
1770,684,505,542,618,1334,355,348,360,221
1700,671,492,411,606,219,246,356,391,200
1577,724,445,518,598,1235,307,388,346,197
1551,675,522,392,553,150,174,357,384,214
1409,654,547,566,499,1147,222,379,364,198
1322,684,467,399,469,151,123,372,361,213
1196,664,535,548,445,1065,178,373,366,218
1167,703,486,341,408,106,118,429,372,194
1040,644,439,535,365,928,134,372,350,218
962,660,528,388,355,78,81,349,360,212
841,626,421,511,307,750,115,397,363,197
795,677,479,360,283,75,97,418,345,245
663,665,510,526,255,693,87,390,372,207
626,619,438,359,211,43,38,407,378,232
545,694,449,516,220,604,73,409,352,194
481,661,449,340,162,32,53,378,304,209
439,678,339,596,161,554,47,438,334,193
380,644,511,308,110,21,50,407,353,190
337,673,404,517,135,466,54,403,335,187
294,673,354,388,102,20,31,398,319,169
249,670,458,523,113,381,37,373,315,157
203,711,332,446,89,8,21,362,304,160
237,645,328,499,77,294,31,378,289,128
173,640,396,325,52,11,28,329,271,139
125,677,301,661,68,269,25,356,287,126
131,624,310,248,41,1,19,334,273,135
102,693,418,554,47,194,17,343,233,101
96,684,206,485,31,2,14,309,239,88
74,639,318,441,42,163,16,347,229,74
82,688,343,519,23,2,7,250,201,85
66,647,233,578,28,127,7,282,192,68
49,652,277,305,15,0,6,270,158,77
49,635,370,729,20,84,6,187,153,42
41,548,126,227,8,0,3,195,122,47
29,556,357,609,16,53,3,214,99,41
28,523,256,523,6,0,1,122,88,32
20,464,212,352,7,32,0,129,94,26
14,415,346,469,6,0,0,131,58,20
13,393,336,590,3,25,2,58,55,16
13,276,92,135,0,0,0,67,48,7
12,261,291,513,5,14,1,58,37,5
10,205,107,245,0,0,1,20,24,10
9,130,171,295,2,8,0,38,33,2
8,100,269,441,0,0,0,35,11,2
5,70,126,228,0,2,0,9,7,1
6,33,86,167,0,1,0,12,6,1
2,21,139,215,0,0,0,6,6,1
1,9,10,10,0,0,0,2,1,0
1,3,109,120,1,1,0,4,2,0
1,1,122,123,0,0,0,3,1,0
1,1,1,2,0,0,0,0,0,0
0,0,60,68,0,0,0,0,0,1
4,5,16,34,1,0,0,4,2,2
