國,英,數甲,數乙,歷,地,公,物,化,生
0,0,16,47,0,1,0,23,8,0
0,1,2,0,3,0,0,13,1,1
0,3,5,5,5,2,1,34,20,0
0,5,2,0,11,2,3,67,20,2
0,23,22,55,13,8,3,60,50,5
0,31,7,0,38,3,6,82,63,17
0,41,26,50,62,25,11,92,61,30
0,71,14,14,99,10,20,123,83,50
0,92,34,118,152,68,40,134,83,58
0,124,18,6,196,11,34,157,89,104
0,164,39,105,267,110,89,168,154,141
1,230,26,14,316,34,72,216,139,165
1,259,54,208,419,187,161,175,141,203
0,300,52,48,453,48,144,208,174,231
6,367,57,158,536,313,254,190,157,247
7,415,68,65,574,77,204,237,191,238
12,436,58,225,649,368,346,222,218,273
21,475,59,29,651,123,261,256,194,306
29,511,99,274,726,508,499,245,239,271
55,512,90,79,714,139,356,263,259,299
62,570,88,324,804,633,605,253,272,327
129,581,119,147,815,191,450,276,292,300
165,608,106,339,866,725,669,263,287,329
225,601,115,131,814,206,456,260,311,303
290,655,167,403,863,870,710,258,321,290
372,660,118,144,825,224,505,238,301,294
463,655,132,443,860,937,743,249,306,295
616,686,171,196,803,279,532,242,314,297
726,627,125,486,846,1036,793,270,322,274
911,636,192,226,893,311,553,287,355,280
1026,685,219,601,845,1153,941,276,351,289
1180,689,191,324,875,348,574,270,338,302
1331,647,208,554,892,1157,929,273,355,273
1495,654,249,404,889,343,644,256,330,298
1639,653,223,606,802,1212,973,273,338,299
1777,693,238,387,845,358,626,263,331,276
1831,661,282,652,821,1315,981,266,364,225
1927,676,239,420,830,372,643,257,358,266
1971,688,293,726,768,1227,990,258,344,256
1912,666,326,520,727,375,680,264,370,247
2079,690,282,657,746,1279,922,267,376,247
1900,667,295,619,719,359,624,252,349,245
1865,671,343,752,696,1264,927,253,327,235
1871,693,321,520,606,375,601,274,342,219
1884,687,325,907,651,1244,889,261,320,229
1765,702,353,492,623,335,569,247,361,212
1706,702,335,846,560,1156,877,275,356,237
1606,702,340,758,494,323,535,241,383,204
1625,668,403,776,530,1174,799,256,329,196
1581,722,302,752,471,300,537,264,304,191
1408,682,371,875,477,1049,699,280,308,203
1348,649,424,584,434,262,481,279,332,197
1308,664,347,979,353,962,645,245,334,210
1152,683,427,573,397,243,389,282,304,200
1085,726,407,857,313,917,589,267,332,172
1021,736,380,823,301,195,343,283,293,195
934,690,463,799,284,850,417,257,326,162
906,698,416,786,257,184,276,319,322,198
832,728,410,973,217,759,385,273,335,163
714,721,434,564,255,117,213,289,294,179
593,710,406,1074,188,685,264,287,321,159
556,700,392,636,173,134,175,304,320,150
506,670,449,861,135,594,231,273,297,177
454,769,361,703,140,115,124,310,280,178
401,747,456,849,95,462,159,315,301,153
370,761,432,680,119,83,103,310,289,165
320,771,401,904,90,405,110,343,295,137
285,747,381,636,83,63,66,307,282,146
290,772,393,905,69,355,78,330,292,143
207,802,320,576,64,57,51,313,249,141
168,836,442,872,80,309,68,333,284,158
171,824,361,567,52,44,37,291,281,140
155,863,417,766,68,248,41,330,290,120
115,923,362,615,34,30,27,280,266,126
105,867,422,712,35,194,31,290,255,97
94,888,335,616,23,27,13,291,258,105
84,916,409,686,27,142,26,297,233,85
82,934,306,407,18,17,9,236,263,85
56,954,406,716,16,101,9,230,224,71
59,942,326,306,17,13,8,247,196,69
53,901,405,662,20,88,10,184,229,62
46,898,243,477,10,9,7,211,175,37
42,842,376,392,10,77,3,188,135,32
42,825,296,463,7,1,2,147,172,35
37,796,259,464,5,47,2,149,121,32
21,670,306,199,3,3,2,98,109,26
24,584,313,448,7,22,0,105,101,19
22,474,161,94,1,1,0,102,62,15
32,409,335,383,2,10,0,50,40,6
15,267,158,283,0,1,0,44,50,6
17,184,214,122,4,6,1,51,41,4
11,142,258,284,1,0,0,23,25,1
9,96,144,174,0,2,0,23,16,2
2,49,118,37,0,0,0,24,14,2
1,28,209,162,0,0,0,13,5,2
2,18,15,4,0,0,0,3,3,2
1,5,167,123,0,0,0,7,2,0
0,2,97,87,0,0,0,1,0,0
0,1,0,0,1,1,0,1,1,1
1,0,96,41,0,0,0,0,0,0
2,4,68,24,0,2,1,3,0,1
