組別,分數區間,人數
01,298.5,0
01,295.5,0
01,292.5,0
01,289.5,0
01,286.5,2
01,283.5,3
01,280.5,5
01,277.5,14
01,274.5,22
01,271.5,30
01,268.5,68
01,265.5,67
01,262.5,134
01,259.5,124
01,256.5,177
01,253.5,196
01,250.5,212
01,247.5,220
01,244.5,258
01,241.5,244
01,238.5,260
01,235.5,227
01,232.5,286
01,229.5,277
01,226.5,285
01,223.5,245
01,220.5,245
01,217.5,267
01,214.5,267
01,211.5,265
01,208.5,233
01,205.5,241
01,202.5,279
01,199.5,243
01,196.5,236
01,193.5,229
01,190.5,251
01,187.5,228
01,184.5,235
01,181.5,228
01,178.5,219
01,175.5,197
01,172.5,230
01,169.5,200
01,166.5,218
01,163.5,216
01,160.5,209
01,157.5,211
01,154.5,213
01,151.5,220
01,148.5,209
01,145.5,174
01,142.5,191
01,139.5,181
01,136.5,214
01,133.5,175
01,130.5,195
01,127.5,179
01,124.5,185
01,121.5,186
01,118.5,171
01,115.5,187
01,112.5,154
01,109.5,158
01,106.5,159
01,103.5,156
01,100.5,134
01,97.5,146
01,94.5,139
01,91.5,148
01,88.5,138
01,85.5,129
01,82.5,125
01,79.5,95
01,76.5,119
01,73.5,118
01,70.5,88
01,67.5,76
01,64.5,83
01,61.5,75
01,58.5,59
01,55.5,47
01,52.5,57
01,49.5,33
01,46.5,19
01,43.5,13
01,40.5,16
01,37.5,8
01,34.5,8
01,31.5,6
01,28.5,3
01,25.5,7
01,22.5,6
01,19.5,3
01,16.5,9
01,13.5,3
01,10.5,2
01,7.5,0
01,4.5,0
01,1.5,549
02,298.5,0
02,295.5,0
02,292.5,1
02,289.5,1
02,286.5,1
02,283.5,10
02,280.5,27
02,277.5,38
02,274.5,56
02,271.5,79
02,268.5,122
02,265.5,142
02,262.5,148
02,259.5,203
02,256.5,231
02,253.5,240
02,250.5,280
02,247.5,287
02,244.5,294
02,241.5,307
02,238.5,325
02,235.5,316
02,232.5,309
02,229.5,287
02,226.5,342
02,223.5,275
02,220.5,301
02,217.5,327
02,214.5,341
02,211.5,295
02,208.5,308
02,205.5,294
02,202.5,313
02,199.5,319
02,196.5,298
02,193.5,320
02,190.5,304
02,187.5,322
02,184.5,317
02,181.5,304
02,178.5,298
02,175.5,261
02,172.5,284
02,169.5,267
02,166.5,276
02,163.5,292
02,160.5,297
02,157.5,278
02,154.5,290
02,151.5,285
02,148.5,284
02,145.5,278
02,142.5,280
02,139.5,251
02,136.5,235
02,133.5,299
02,130.5,238
02,127.5,253
02,124.5,268
02,121.5,234
02,118.5,279
02,115.5,252
02,112.5,273
02,109.5,254
02,106.5,225
02,103.5,263
02,100.5,224
02,97.5,226
02,94.5,238
02,91.5,240
02,88.5,206
02,85.5,219
02,82.5,191
02,79.5,197
02,76.5,189
02,73.5,200
02,70.5,172
02,67.5,154
02,64.5,146
02,61.5,150
02,58.5,115
02,55.5,86
02,52.5,94
02,49.5,80
02,46.5,57
02,43.5,35
02,40.5,29
02,37.5,15
02,34.5,21
02,31.5,7
02,28.5,8
02,25.5,5
02,22.5,3
02,19.5,4
02,16.5,11
02,13.5,4
02,10.5,1
02,7.5,0
02,4.5,0
02,1.5,630
03,398,0
03,394,0
03,390,0
03,386,1
03,382,0
03,378,3
03,374,15
03,370,23
03,366,30
03,362,53
03,358,90
03,354,114
03,350,146
03,346,165
03,342,182
03,338,216
03,334,231
03,330,241
03,326,223
03,322,262
03,318,209
03,314,210
03,310,224
03,306,214
03,302,244
03,298,212
03,294,190
03,290,208
03,286,199
03,282,235
03,278,215
03,274,177
03,270,194
03,266,227
03,262,220
03,258,217
03,254,194
03,250,203
03,246,180
03,242,204
03,238,183
03,234,180
03,230,179
03,226,197
03,222,186
03,218,169
03,214,171
03,210,186
03,206,180
03,202,189
03,198,152
03,194,166
03,190,169
03,186,148
03,182,175
03,178,173
03,174,140
03,170,160
03,166,152
03,162,169
03,158,141
03,154,117
03,150,131
03,146,163
03,142,142
03,138,125
03,134,127
03,130,114
03,126,115
03,122,124
03,118,115
03,114,116
03,110,100
03,106,101
03,102,97
03,98,82
03,94,105
03,90,82
03,86,67
03,82,63
03,78,60
03,74,56
03,70,49
03,66,34
03,62,28
03,58,15
03,54,16
03,50,10
03,46,3
03,42,4
03,38,2
03,34,7
03,30,4
03,26,3
03,22,4
03,18,5
03,14,7
03,10,1
03,6,0
03,2,451
04,298.5,0
04,295.5,0
04,292.5,0
04,289.5,1
04,286.5,0
04,283.5,2
04,280.5,5
04,277.5,11
04,274.5,23
04,271.5,39
04,268.5,41
04,265.5,60
04,262.5,111
04,259.5,139
04,256.5,160
04,253.5,177
04,250.5,243
04,247.5,280
04,244.5,295
04,241.5,311
04,238.5,353
04,235.5,366
04,232.5,375
04,229.5,419
04,226.5,435
04,223.5,429
04,220.5,412
04,217.5,446
04,214.5,440
04,211.5,423
04,208.5,447
04,205.5,433
04,202.5,446
04,199.5,453
04,196.5,483
04,193.5,455
04,190.5,474
04,187.5,514
04,184.5,472
04,181.5,457
04,178.5,516
04,175.5,489
04,172.5,508
04,169.5,510
04,166.5,506
04,163.5,489
04,160.5,482
04,157.5,474
04,154.5,493
04,151.5,505
04,148.5,474
04,145.5,453
04,142.5,412
04,139.5,432
04,136.5,346
04,133.5,349
04,130.5,321
04,127.5,273
04,124.5,311
04,121.5,233
04,118.5,234
04,115.5,227
04,112.5,175
04,109.5,177
04,106.5,147
04,103.5,140
04,100.5,127
04,97.5,108
04,94.5,89
04,91.5,103
04,88.5,70
04,85.5,81
04,82.5,80
04,79.5,76
04,76.5,69
04,73.5,45
04,70.5,37
04,67.5,28
04,64.5,39
04,61.5,28
04,58.5,21
04,55.5,21
04,52.5,8
04,49.5,11
04,46.5,13
04,43.5,17
04,40.5,10
04,37.5,13
04,34.5,7
04,31.5,11
04,28.5,8
04,25.5,6
04,22.5,7
04,19.5,12
04,16.5,11
04,13.5,8
04,10.5,4
04,7.5,1
04,4.5,0
04,1.5,809
05,298.5,0
05,295.5,0
05,292.5,0
05,289.5,0
05,286.5,0
05,283.5,0
05,280.5,4
05,277.5,5
05,274.5,11
05,271.5,28
05,268.5,41
05,265.5,57
05,262.5,75
05,259.5,137
05,256.5,188
05,253.5,181
05,250.5,221
05,247.5,247
05,244.5,297
05,241.5,314
05,238.5,333
05,235.5,393
05,232.5,446
05,229.5,469
05,226.5,480
05,223.5,490
05,220.5,458
05,217.5,512
05,214.5,499
05,211.5,519
05,208.5,485
05,205.5,501
05,202.5,528
05,199.5,537
05,196.5,520
05,193.5,510
05,190.5,563
05,187.5,530
05,184.5,570
05,181.5,556
05,178.5,596
05,175.5,592
05,172.5,591
05,169.5,574
05,166.5,608
05,163.5,572
05,160.5,590
05,157.5,618
05,154.5,595
05,151.5,595
05,148.5,498
05,145.5,549
05,142.5,485
05,139.5,471
05,136.5,419
05,133.5,414
05,130.5,422
05,127.5,342
05,124.5,324
05,121.5,310
05,118.5,285
05,115.5,250
05,112.5,260
05,109.5,205
05,106.5,185
05,103.5,185
05,100.5,131
05,97.5,124
05,94.5,130
05,91.5,129
05,88.5,132
05,85.5,95
05,82.5,90
05,79.5,72
05,76.5,75
05,73.5,64
05,70.5,55
05,67.5,42
05,64.5,43
05,61.5,32
05,58.5,25
05,55.5,20
05,52.5,15
05,49.5,14
05,46.5,11
05,43.5,12
05,40.5,7
05,37.5,12
05,34.5,7
05,31.5,17
05,28.5,8
05,25.5,7
05,22.5,7
05,19.5,15
05,16.5,13
05,13.5,13
05,10.5,4
05,7.5,2
05,4.5,0
05,1.5,964
06,398,0
06,394,0
06,390,0
06,386,0
06,382,0
06,378,1
06,374,2
06,370,5
06,366,15
06,362,16
06,358,27
06,354,55
06,350,90
06,346,109
06,342,131
06,338,172
06,334,177
06,330,252
06,326,296
06,322,300
06,318,314
06,314,377
06,310,363
