組別,分數區間,人數
01,298.5,0
01,295.5,0
01,292.5,2
01,289.5,4
01,286.5,9
01,283.5,18
01,280.5,21
01,277.5,32
01,274.5,38
01,271.5,56
01,268.5,72
01,265.5,101
01,262.5,99
01,259.5,105
01,256.5,128
01,253.5,153
01,250.5,163
01,247.5,192
01,244.5,185
01,241.5,223
01,238.5,253
01,235.5,253
01,232.5,265
01,229.5,277
01,226.5,253
01,223.5,291
01,220.5,328
01,217.5,297
01,214.5,328
01,211.5,321
01,208.5,337
01,205.5,353
01,202.5,370
01,199.5,364
01,196.5,391
01,193.5,413
01,190.5,375
01,187.5,412
01,184.5,409
01,181.5,429
01,178.5,427
01,175.5,405
01,172.5,403
01,169.5,406
01,166.5,397
01,163.5,411
01,160.5,402
01,157.5,408
01,154.5,426
01,151.5,416
01,148.5,447
01,145.5,437
01,142.5,424
01,139.5,412
01,136.5,385
01,133.5,406
01,130.5,386
01,127.5,426
01,124.5,376
01,121.5,389
01,118.5,399
01,115.5,393
01,112.5,371
01,109.5,324
01,106.5,382
01,103.5,362
01,100.5,333
01,97.5,337
01,94.5,322
01,91.5,320
01,88.5,289
01,85.5,336
01,82.5,288
01,79.5,263
01,76.5,284
01,73.5,266
01,70.5,230
01,67.5,237
01,64.5,210
01,61.5,210
01,58.5,182
01,55.5,140
01,52.5,130
01,49.5,130
01,46.5,100
01,43.5,74
01,40.5,63
01,37.5,49
01,34.5,29
01,31.5,17
01,28.5,12
01,25.5,14
01,22.5,12
01,19.5,7
01,16.5,10
01,13.5,4
01,10.5,3
01,7.5,2
01,4.5,1
01,1.5,1090
02,298.5,0
02,295.5,0
02,292.5,1
02,289.5,8
02,286.5,17
02,283.5,39
02,280.5,62
02,277.5,110
02,274.5,159
02,271.5,172
02,268.5,241
02,265.5,218
02,262.5,227
02,259.5,252
02,256.5,257
02,253.5,283
02,250.5,255
02,247.5,267
02,244.5,292
02,241.5,263
02,238.5,251
02,235.5,240
02,232.5,274
02,229.5,242
02,226.5,261
02,223.5,275
02,220.5,269
02,217.5,250
02,214.5,264
02,211.5,279
02,208.5,281
02,205.5,266
02,202.5,291
02,199.5,261
02,196.5,244
02,193.5,264
02,190.5,269
02,187.5,248
02,184.5,227
02,181.5,239
02,178.5,217
02,175.5,227
02,172.5,243
02,169.5,221
02,166.5,249
02,163.5,213
02,160.5,224
02,157.5,225
02,154.5,232
02,151.5,203
02,148.5,208
02,145.5,204
02,142.5,221
02,139.5,216
02,136.5,194
02,133.5,192
02,130.5,219
02,127.5,203
02,124.5,178
02,121.5,202
02,118.5,214
02,115.5,209
02,112.5,206
02,109.5,199
02,106.5,207
02,103.5,188
02,100.5,171
02,97.5,186
02,94.5,190
02,91.5,167
02,88.5,151
02,85.5,169
02,82.5,143
02,79.5,155
02,76.5,148
02,73.5,140
02,70.5,118
02,67.5,101
02,64.5,91
02,61.5,79
02,58.5,53
02,55.5,57
02,52.5,49
02,49.5,47
02,46.5,28
02,43.5,23
02,40.5,16
02,37.5,12
02,34.5,6
02,31.5,9
02,28.5,8
02,25.5,7
02,22.5,5
02,19.5,9
02,16.5,10
02,13.5,4
02,10.5,2
02,7.5,2
02,4.5,0
02,1.5,792
03,398,0
03,394,0
03,390,2
03,386,6
03,382,9
03,378,30
03,374,41
03,370,70
03,366,93
03,362,132
03,358,160
03,354,160
03,350,196
03,346,222
03,342,220
03,338,233
03,334,203
03,330,242
03,326,250
03,322,231
03,318,226
03,314,222
03,310,231
03,306,244
03,302,227
03,298,228
03,294,234
03,290,269
03,286,231
03,282,260
03,278,272
03,274,265
03,270,246
03,266,260
03,262,247
03,258,239
03,254,275
03,250,262
03,246,235
03,242,267
03,238,246
03,234,239
03,230,240
03,226,215
03,222,250
03,218,235
03,214,212
03,210,229
03,206,237
03,202,232
03,198,232
03,194,231
03,190,206
03,186,204
03,182,197
03,178,206
03,174,212
03,170,198
03,166,206
03,162,204
03,158,186
03,154,213
03,150,218
03,146,202
03,142,191
03,138,182
03,134,186
03,130,177
03,126,191
03,122,164
03,118,158
03,114,163
03,110,147
03,106,133
03,102,154
03,98,120
03,94,109
03,90,116
03,86,85
03,82,85
03,78,78
03,74,55
03,70,38
03,66,40
03,62,26
03,58,16
03,54,15
03,50,10
03,46,8
03,42,10
03,38,9
03,34,5
03,30,6
03,26,6
03,22,6
03,18,7
03,14,6
03,10,4
03,6,0
03,2,712
04,298.5,0
04,295.5,0
04,292.5,1
04,289.5,2
04,286.5,3
04,283.5,9
04,280.5,14
04,277.5,31
04,274.5,44
04,271.5,67
04,268.5,73
04,265.5,102
04,262.5,119
04,259.5,134
04,256.5,175
04,253.5,172
04,250.5,215
04,247.5,255
04,244.5,243
04,241.5,297
04,238.5,284
04,235.5,329
04,232.5,328
04,229.5,353
04,226.5,349
04,223.5,363
04,220.5,387
04,217.5,417
04,214.5,430
04,211.5,436
04,208.5,462
04,205.5,441
04,202.5,406
04,199.5,444
04,196.5,453
04,193.5,431
04,190.5,444
04,187.5,455
04,184.5,449
04,181.5,430
04,178.5,423
04,175.5,434
04,172.5,437
04,169.5,434
04,166.5,412
04,163.5,451
04,160.5,406
04,157.5,372
04,154.5,414
04,151.5,365
04,148.5,360
04,145.5,397
04,142.5,365
04,139.5,364
04,136.5,363
04,133.5,376
04,130.5,373
04,127.5,325
04,124.5,352
04,121.5,367
04,118.5,352
04,115.5,345
04,112.5,331
04,109.5,324
04,106.5,329
04,103.5,315
04,100.5,303
04,97.5,321
04,94.5,280
04,91.5,270
04,88.5,257
04,85.5,275
04,82.5,252
04,79.5,278
04,76.5,271
04,73.5,221
04,70.5,230
04,67.5,212
04,64.5,216
04,61.5,169
04,58.5,172
04,55.5,178
04,52.5,145
04,49.5,132
04,46.5,99
04,43.5,95
04,40.5,60
04,37.5,51
04,34.5,23
04,31.5,33
04,28.5,19
04,25.5,16
04,22.5,13
04,19.5,16
04,16.5,10
04,13.5,2
04,10.5,3
04,7.5,2
04,4.5,0
04,1.5,1064
05,398,0
05,394,0
05,390,0
05,386,2
05,382,2
05,378,6
05,374,17
05,370,19
05,366,53
05,362,54
05,358,93
05,354,93
05,350,135
05,346,138
05,342,155
05,338,203
05,334,200
05,330,222
05,326,211
05,322,239
05,318,263
05,314,248
05,310,231
05,306,206
05,302,255
05,298,249
05,294,302
05,290,286
05,286,288
05,282,277
05,278,302
05,274,274
05,270,291
05,266,278
05,262,292
05,258,271
05,254,305
05,250,310
05,246,280
05,242,263
05,238,293
05,234,246
05,230,247
05,226,282
05,222,261
05,218,244
05,214,244
05,210,222
05,206,237
05,202,247
05,198,229
05,194,228
05,190,229
05,186,215
05,182,230
05,178,221
05,174,212
05,170,227
05,166,208
05,162,212
05,158,205
05,154,184
05,150,182
05,146,233
05,142,202
05,138,217
05,134,195
05,130,188
05,126,180
05,122,183
05,118,201
05,114,162
05,110,168
05,106,165
05,102,141
05,98,147
05,94,114
05,90,161
05,86,131
05,82,103
05,78,105
05,74,100
05,70,77
05,66,60
05,62,47
05,58,38
05,54,28
05,50,22
05,46,13
05,42,11
05,38,9
05,34,3
05,30,9
05,26,5
05,22,6
05,18,11
05,14,4
05,10,4
05,6,0
05,2,765
06,298.5,0
06,295.5,0
06,292.5,0
06,289.5,1
06,286.5,6
06,283.5,8
06,280.5,15
06,277.5,18
06,274.5,24
06,271.5,51
06,268.5,48
06,265.5,61
06,262.5,117
06,259.5,104
06,256.5,111
06,253.5,141
06,250.5,182
06,247.5,183
06,244.5,218
06,241.5,192
06,238.5,250
06,235.5,269
06,232.5,274
06,229.5,319
06,226.5,306
06,223.5,322
06,220.5,372
06,217.5,359
06,214.5,364
06,211.5,391
06,208.5,419
06,205.5,385
06,202.5,434
06,199.5,410
06,196.5,401
06,193.5,443
06,190.5,457
06,187.5,457
06,184.5,456
06,181.5,419
06,178.5,450
06,175.5,434
