組別,分數區間,人數
01,298.5,0
01,295.5,2
01,292.5,2
01,289.5,11
01,286.5,14
01,283.5,15
01,280.5,26
01,277.5,35
01,274.5,29
01,271.5,70
01,268.5,66
01,265.5,70
01,262.5,100
01,259.5,97
01,256.5,94
01,253.5,132
01,250.5,148
01,247.5,149
01,244.5,168
01,241.5,197
01,238.5,215
01,235.5,213
01,232.5,191
01,229.5,215
01,226.5,237
01,223.5,270
01,220.5,244
01,217.5,295
01,214.5,274
01,211.5,298
01,208.5,303
01,205.5,294
01,202.5,326
01,199.5,326
01,196.5,315
01,193.5,329
01,190.5,303
01,187.5,320
01,184.5,364
01,181.5,310
01,178.5,346
01,175.5,325
01,172.5,337
01,169.5,349
01,166.5,326
01,163.5,337
01,160.5,323
01,157.5,324
01,154.5,345
01,151.5,363
01,148.5,337
01,145.5,356
01,142.5,330
01,139.5,337
01,136.5,287
01,133.5,334
01,130.5,347
01,127.5,304
01,124.5,307
01,121.5,347
01,118.5,338
01,115.5,319
01,112.5,335
01,109.5,323
01,106.5,299
01,103.5,312
01,100.5,299
01,97.5,311
01,94.5,328
01,91.5,304
01,88.5,328
01,85.5,319
01,82.5,266
01,79.5,240
01,76.5,256
01,73.5,259
01,70.5,240
01,67.5,222
01,64.5,213
01,61.5,224
01,58.5,207
01,55.5,161
01,52.5,167
01,49.5,166
01,46.5,132
01,43.5,87
01,40.5,80
01,37.5,55
01,34.5,52
01,31.5,42
01,28.5,31
01,25.5,19
01,22.5,9
01,19.5,8
01,16.5,8
01,13.5,4
01,10.5,3
01,7.5,1
01,4.5,1
01,1.5,825
02,298.5,0
02,295.5,0
02,292.5,0
02,289.5,3
02,286.5,6
02,283.5,8
02,280.5,25
02,277.5,38
02,274.5,41
02,271.5,67
02,268.5,93
02,265.5,101
02,262.5,131
02,259.5,150
02,256.5,168
02,253.5,202
02,250.5,216
02,247.5,245
02,244.5,208
02,241.5,222
02,238.5,246
02,235.5,252
02,232.5,234
02,229.5,239
02,226.5,270
02,223.5,256
02,220.5,251
02,217.5,229
02,214.5,229
02,211.5,254
02,208.5,255
02,205.5,253
02,202.5,250
02,199.5,239
02,196.5,236
02,193.5,234
02,190.5,253
02,187.5,234
02,184.5,255
02,181.5,221
02,178.5,237
02,175.5,268
02,172.5,254
02,169.5,241
02,166.5,217
02,163.5,228
02,160.5,232
02,157.5,209
02,154.5,227
02,151.5,215
02,148.5,219
02,145.5,227
02,142.5,220
02,139.5,218
02,136.5,211
02,133.5,195
02,130.5,190
02,127.5,213
02,124.5,190
02,121.5,190
02,118.5,170
02,115.5,182
02,112.5,176
02,109.5,188
02,106.5,162
02,103.5,156
02,100.5,191
02,97.5,198
02,94.5,174
02,91.5,188
02,88.5,172
02,85.5,173
02,82.5,167
02,79.5,180
02,76.5,158
02,73.5,143
02,70.5,147
02,67.5,127
02,64.5,92
02,61.5,118
02,58.5,84
02,55.5,69
02,52.5,42
02,49.5,47
02,46.5,37
02,43.5,28
02,40.5,13
02,37.5,12
02,34.5,11
02,31.5,5
02,28.5,8
02,25.5,10
02,22.5,5
02,19.5,7
02,16.5,10
02,13.5,3
02,10.5,2
02,7.5,0
02,4.5,0
02,1.5,639
03,298.5,0
03,295.5,0
03,292.5,2
03,289.5,7
03,286.5,12
03,283.5,19
03,280.5,40
03,277.5,50
03,274.5,61
03,271.5,80
03,268.5,100
03,265.5,141
03,262.5,144
03,259.5,162
03,256.5,164
03,253.5,184
03,250.5,247
03,247.5,205
03,244.5,241
03,241.5,251
03,238.5,261
03,235.5,262
03,232.5,301
03,229.5,271
03,226.5,265
03,223.5,287
03,220.5,298
03,217.5,309
03,214.5,291
03,211.5,300
03,208.5,281
03,205.5,298
03,202.5,339
03,199.5,308
03,196.5,346
03,193.5,311
03,190.5,331
03,187.5,354
03,184.5,282
03,181.5,338
03,178.5,309
03,175.5,344
03,172.5,334
03,169.5,353
03,166.5,311
03,163.5,320
03,160.5,324
03,157.5,313
03,154.5,331
03,151.5,339
03,148.5,315
03,145.5,288
03,142.5,304
03,139.5,322
03,136.5,289
03,133.5,303
03,130.5,317
03,127.5,328
03,124.5,274
03,121.5,316
03,118.5,305
03,115.5,293
03,112.5,264
03,109.5,290
03,106.5,286
03,103.5,295
03,100.5,304
03,97.5,309
03,94.5,290
03,91.5,281
03,88.5,303
03,85.5,260
03,82.5,305
03,79.5,274
03,76.5,272
03,73.5,235
03,70.5,241
03,67.5,245
03,64.5,220
03,61.5,201
03,58.5,167
03,55.5,147
