國,英,數甲,數乙,歷,地,公,物,化,生
0,1,26,1657,1,0,0,11,2,0
0,2,0,0,0,0,0,25,0,0
0,5,13,52,3,1,3,40,11,0
0,13,0,0,2,0,3,87,8,1
0,23,39,1306,12,12,20,85,11,1
0,42,0,2,22,2,23,132,18,3
0,64,38,394,26,38,54,139,34,4
0,82,24,497,62,0,37,164,39,23
0,119,59,879,90,102,124,192,67,31
0,142,21,37,113,3,104,207,73,55
0,200,63,599,153,163,204,258,103,66
0,238,35,24,207,11,139,253,108,106
0,295,69,1097,238,307,250,256,121,112
0,361,49,289,300,23,183,275,159,153
8,350,72,369,355,389,333,268,153,205
2,437,71,685,406,33,207,286,164,224
8,491,86,501,429,538,386,319,197,218
16,524,100,75,521,39,288,301,220,248
29,529,108,832,545,683,451,324,263,285
37,557,120,116,556,43,317,267,253,280
51,575,144,573,646,824,490,283,250,281
107,598,143,569,692,60,405,279,268,294
107,646,144,251,656,949,570,290,298,278
139,624,151,460,693,57,343,246,287,265
189,657,187,540,681,1023,579,297,313,310
262,665,198,114,681,72,415,274,346,329
343,648,194,650,702,1094,632,269,346,278
402,644,226,279,718,67,449,286,295,298
478,657,192,312,727,1210,678,259,315,294
539,624,216,529,685,78,463,264,360,282
608,622,224,270,690,1263,716,244,338,250
707,656,272,362,681,91,483,243,336,281
835,659,254,453,637,1332,701,243,323,274
949,630,241,172,668,58,475,258,343,247
949,585,254,429,614,1291,696,243,322,257
1059,651,247,370,596,66,450,254,316,271
1139,677,256,275,590,1251,656,227,318,282
1135,620,316,414,555,70,441,271,333,234
1209,588,315,310,559,1251,661,253,305,231
1301,616,288,244,561,57,395,212,334,224
1384,600,296,408,502,1166,648,238,304,264
1384,630,283,223,485,64,382,236,317,252
1313,608,284,365,445,1094,595,209,332,209
1374,613,328,338,459,43,374,224,302,231
1330,610,299,249,442,1066,512,224,268,239
1366,646,306,343,406,31,331,249,304,206
1328,612,317,295,407,968,484,223,298,224
1343,623,349,243,349,28,298,218,291,203
1349,619,311,353,305,839,429,255,281,192
1309,559,334,272,335,27,270,230,264,195
1238,626,294,320,298,775,346,214,273,193
1258,641,315,325,320,22,234,245,262,197
1250,624,333,266,262,637,281,212,287,202
1179,600,325,317,264,11,179,204,275,180
1099,603,342,304,267,529,260,227,272,198
1059,625,332,252,207,11,146,237,252,172
988,596,313,363,227,496,213,250,295,188
984,634,325,235,192,8,134,223,282,171
884,631,326,327,169,436,189,214,268,171
817,625,302,329,198,7,95,246,321,175
761,651,318,238,145,333,136,219,305,159
733,629,325,354,152,3,79,215,315,153
717,600,337,264,135,262,111,252,268,145
650,624,297,281,120,3,62,228,292,144
630,617,331,356,131,228,92,209,281,136
493,669,343,261,88,1,51,253,289,150
486,603,301,298,100,175,61,225,282,128
444,659,304,362,89,0,54,237,257,130
385,628,289,242,71,140,46,250,268,126
338,630,309,346,71,3,31,249,298,124
339,611,275,286,80,106,38,233,268,137
256,596,317,288,56,0,28,215,256,109
230,648,327,387,62,76,26,218,247,105
187,603,322,225,47,0,14,231,268,90
161,593,286,320,44,71,24,181,235,83
152,586,264,327,40,1,12,224,257,86
144,533,264,233,34,54,14,206,227,71
93,552,272,418,39,0,13,189,183,81
95,561,301,349,29,35,14,164,226,53
86,545,309,226,22,0,8,176,203,53
65,531,294,437,23,30,6,159,157,52
59,512,264,182,18,0,4,155,189,36
43,464,262,341,16,23,1,127,142,35
39,427,217,375,12,0,3,120,116,32
31,393,249,215,9,9,5,106,112,20
28,360,271,338,7,0,2,92,96,15
23,288,314,425,6,7,3,74,71,14
21,216,223,85,1,0,0,62,88,16
11,169,317,389,2,4,1,50,59,9
17,140,100,175,3,0,1,36,34,7
7,77,192,188,2,1,0,29,32,5
5,54,263,344,1,0,0,19,27,1
5,31,130,168,0,3,0,20,15,2
5,20,275,168,0,0,0,14,8,0
4,9,236,271,0,1,1,6,15,1
4,8,6,2,0,0,0,3,5,0
3,3,92,127,1,1,0,4,4,1
0,2,97,160,0,0,0,2,1,0
0,0,1,0,0,1,0,3,0,1
0,0,178,155,0,0,0,1,0,1
8,6,67,50,3,3,3,3,3,1
