組別,分數區間,人數
01,298.5,0
01,295.5,0
01,292.5,0
01,289.5,2
01,286.5,5
01,283.5,13
01,280.5,15
01,277.5,33
01,274.5,56
01,271.5,75
01,268.5,110
01,265.5,145
01,262.5,165
01,259.5,214
01,256.5,191
01,253.5,226
01,250.5,236
01,247.5,254
01,244.5,239
01,241.5,238
01,238.5,228
01,235.5,243
01,232.5,241
01,229.5,245
01,226.5,246
01,223.5,229
01,220.5,246
01,217.5,240
01,214.5,268
01,211.5,255
01,208.5,218
01,205.5,239
01,202.5,228
01,199.5,241
01,196.5,261
01,193.5,234
01,190.5,251
01,187.5,247
01,184.5,244
01,181.5,231
01,178.5,222
01,175.5,246
01,172.5,262
01,169.5,234
01,166.5,244
01,163.5,206
01,160.5,222
01,157.5,218
01,154.5,234
01,151.5,221
01,148.5,204
01,145.5,233
01,142.5,204
01,139.5,228
01,136.5,174
01,133.5,185
01,130.5,173
01,127.5,181
01,124.5,190
01,121.5,198
01,118.5,178
01,115.5,191
01,112.5,187
01,109.5,200
01,106.5,180
01,103.5,170
01,100.5,161
01,97.5,171
01,94.5,165
01,91.5,148
01,88.5,144
01,85.5,133
01,82.5,137
01,79.5,101
01,76.5,95
01,73.5,97
01,70.5,98
01,67.5,88
01,64.5,82
01,61.5,67
01,58.5,66
01,55.5,43
01,52.5,38
01,49.5,17
01,46.5,27
01,43.5,25
01,40.5,18
01,37.5,12
01,34.5,18
01,31.5,12
01,28.5,6
01,25.5,8
01,22.5,8
01,19.5,6
01,16.5,13
01,13.5,6
01,10.5,4
01,7.5,1
01,4.5,0
01,1.5,600
02,298.5,0
02,295.5,0
02,292.5,0
02,289.5,2
02,286.5,5
02,283.5,11
02,280.5,30
02,277.5,32
02,274.5,49
02,271.5,81
02,268.5,101
02,265.5,136
02,262.5,157
02,259.5,156
02,256.5,203
02,253.5,179
02,250.5,189
02,247.5,186
02,244.5,193
02,241.5,223
02,238.5,217
02,235.5,227
02,232.5,224
02,229.5,200
02,226.5,214
02,223.5,216
02,220.5,210
02,217.5,223
02,214.5,202
02,211.5,208
02,208.5,239
02,205.5,184
02,202.5,175
02,199.5,216
02,196.5,229
02,193.5,210
02,190.5,213
02,187.5,222
02,184.5,218
02,181.5,218
02,178.5,236
02,175.5,220
02,172.5,215
02,169.5,225
02,166.5,199
02,163.5,209
02,160.5,212
02,157.5,209
02,154.5,211
02,151.5,182
02,148.5,188
02,145.5,190
02,142.5,201
02,139.5,186
02,136.5,168
02,133.5,162
02,130.5,171
02,127.5,174
02,124.5,147
02,121.5,182
02,118.5,145
02,115.5,158
02,112.5,160
02,109.5,167
02,106.5,170
02,103.5,154
02,100.5,145
02,97.5,140
02,94.5,136
02,91.5,138
02,88.5,123
02,85.5,128
02,82.5,110
02,79.5,116
02,76.5,93
02,73.5,86
02,70.5,82
02,67.5,87
02,64.5,64
02,61.5,58
02,58.5,58
02,55.5,36
02,52.5,30
02,49.5,26
02,46.5,31
02,43.5,21
02,40.5,17
02,37.5,13
02,34.5,16
02,31.5,6
02,28.5,14
02,25.5,6
02,22.5,8
02,19.5,5
02,16.5,6
02,13.5,8
02,10.5,3
02,7.5,1
02,4.5,1
02,1.5,533
03,298.5,0
03,295.5,2
03,292.5,1
03,289.5,5
03,286.5,9
03,283.5,36
03,280.5,53
03,277.5,54
03,274.5,90
03,271.5,108
03,268.5,166
03,265.5,186
03,262.5,198
03,259.5,194
03,256.5,208
03,253.5,202
03,250.5,251
03,247.5,259
03,244.5,245
03,241.5,290
03,238.5,255
03,235.5,283
03,232.5,306
03,229.5,285
03,226.5,285
03,223.5,274
03,220.5,298
03,217.5,272
03,214.5,276
03,211.5,294
03,208.5,269
03,205.5,290
03,202.5,290
03,199.5,313
03,196.5,297
03,193.5,295
03,190.5,277
03,187.5,298
03,184.5,286
03,181.5,303
03,178.5,303
03,175.5,319
03,172.5,333
03,169.5,310
03,166.5,302
03,163.5,286
03,160.5,305
03,157.5,316
03,154.5,305
03,151.5,258
03,148.5,319
03,145.5,293
03,142.5,283
03,139.5,295
03,136.5,261
03,133.5,304
03,130.5,306
03,127.5,280
03,124.5,272
03,121.5,273
03,118.5,265
03,115.5,297
03,112.5,280
03,109.5,273
03,106.5,255
03,103.5,295
03,100.5,284
03,97.5,257
03,94.5,250
03,91.5,256
03,88.5,242
03,85.5,230
03,82.5,211
03,79.5,216
03,76.5,225
03,73.5,185
03,70.5,179
03,67.5,152
03,64.5,145
03,61.5,139
03,58.5,113
03,55.5,82
03,52.5,85
03,49.5,66
03,46.5,40
03,43.5,41
03,40.5,19
03,37.5,25
03,34.5,21
03,31.5,20
03,28.5,11
03,25.5,12
03,22.5,10
03,19.5,6
03,16.5,13
03,13.5,7
03,10.5,6
03,7.5,1
03,4.5,0
03,1.5,756
04,398,0
04,394,0
04,390,1
04,386,0
04,382,8
04,378,16
04,374,24
04,370,40
04,366,54
04,362,102
04,358,115
04,354,148
04,350,158
04,346,190
04,342,210
04,338,168
04,334,165
04,330,199
04,326,213
04,322,229
04,318,209
04,314,228
04,310,215
04,306,216
04,302,199
04,298,195
04,294,217
04,290,187
04,286,199
04,282,177
04,278,202
04,274,210
04,270,219
04,266,188
04,262,236
04,258,182
04,254,211
04,250,224
04,246,189
04,242,203
04,238,204
04,234,247
04,230,190
04,226,232
04,222,193
04,218,229
04,214,190
04,210,206
04,206,177
04,202,205
04,198,202
04,194,180
04,190,204
04,186,180
04,182,157
04,178,178
04,174,165
04,170,154
04,166,164
04,162,161
04,158,156
04,154,167
04,150,164
04,146,140
04,142,157
04,138,155
04,134,161
04,130,158
04,126,141
04,122,131
04,118,142
04,114,112
04,110,122
04,106,101
04,102,98
04,98,94
04,94,76
04,90,57
04,86,78
04,82,69
04,78,62
04,74,45
04,70,43
04,66,19
04,62,21
04,58,26
04,54,20
04,50,14
04,46,15
04,42,8
04,38,6
04,34,9
04,30,8
04,26,5
04,22,6
04,18,8
04,14,7
04,10,3
04,6,1
04,2,527
05,298.5,0
05,295.5,0
05,292.5,0
05,289.5,0
05,286.5,0
05,283.5,0
05,280.5,1
05,277.5,0
05,274.5,1
05,271.5,3
05,268.5,3
05,265.5,5
05,262.5,12
05,259.5,26
05,256.5,43
05,253.5,78
05,250.5,79
05,247.5,106
05,244.5,142
05,241.5,194
05,238.5,212
05,235.5,266
05,232.5,301
05,229.5,350
05,226.5,358
05,223.5,424
05,220.5,426
05,217.5,432
05,214.5,470
05,211.5,501
05,208.5,497
05,205.5,498
05,202.5,546
05,199.5,536
05,196.5,559
05,193.5,551
05,190.5,551
05,187.5,582
05,184.5,525
05,181.5,609
05,178.5,582
05,175.5,629
05,172.5,619
05,169.5,652
05,166.5,631
05,163.5,667
05,160.5,633
05,157.5,685
05,154.5,707
05,151.5,690
05,148.5,669
05,145.5,680
05,142.5,660
05,139.5,642
05,136.5,637
05,133.5,672
05,130.5,611
05,127.5,599
05,124.5,579
05,121.5,544
05,118.5,514
05,115.5,451
05,112.5,383
05,109.5,420
05,106.5,368
05,103.5,354
05,100.5,290
05,97.5,311
05,94.5,254
05,91.5,246
05,88.5,213
05,85.5,207
05,82.5,175
05,79.5,159
05,76.5,131
05,73.5,100
05,70.5,108
05,67.5,75
05,64.5,62
05,61.5,77
05,58.5,43
05,55.5,35
05,52.5,24
05,49.5,23
05,46.5,14
05,43.5,12
05,40.5,11
05,37.5,3
05,34.5,12
05,31.5,9
05,28.5,5
05,25.5,12
05,22.5,19
05,19.5,23
05,16.5,17
05,13.5,10
05,10.5,3
05,7.5,1
05,4.5,0
05,1.5,1286
06,298.5,0
06,295.5,0
06,292.5,0
06,289.5,0
06,286.5,0
06,283.5,0
06,280.5,1
06,277.5,9
06,274.5,8
06,271.5,19
06,268.5,27
06,265.5,43
06,262.5,60
06,259.5,88
06,256.5,113
06,253.5,121
06,250.5,159
