"校系
代碼",校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,術科,"錄取名額
(含外加)","普通生
錄取分數"
1,國立臺灣大學,中國文學系,1.5,1.25,0,1,1.25,1,0,0,0,0,0,32,464.48
2,國立臺灣大學,外國語文學系,1.25,2,0,1,1,0,1,0,0,0,0,58,500.2
3,國立臺灣大學,歷史學系,1,1,0,0,1,1,1,0,0,0,0,22,412.4
4,國立臺灣大學,哲學系,1,1,0,1,1,0,1,0,0,0,0,17,388
5,國立臺灣大學,人類學系,1,1.25,0,0,1,1,1,0,0,0,0,23,428.45
6,國立臺灣大學,圖書資訊學系,1.25,1.25,0,1,1,0,1,0,0,0,0,23,432.13
7,國立臺灣大學,日本語文學系,1.5,1.5,0,1,1,1,0,0,0,0,0,33,466.1
10,國立臺灣大學,戲劇學系(男),1.5,1.5,0,1,1,1,0,0,0,0,0,11,458
11,國立臺灣大學,戲劇學系(女),1.5,1.5,0,1,1,1,0,0,0,0,0,11,463.8
12,國立臺灣大學,數學系,1,1,1.5,0,0,0,0,1,1,0,0,16,428.1
13,國立臺灣大學,物理學系,1,1,1,0,0,0,0,1,1,0,0,20,399.5
14,國立臺灣大學,化學系,1,1,1,0,0,0,0,1,1,0,0,20,391.4
15,國立臺灣大學,地質科學系,1,1,1,0,0,0,0,1,1,0,0,15,373.2
16,國立臺灣大學,心理學系,1,1,1,0,0,0,0,0,1,1,0,53,375.7
17,國立臺灣大學,地理環境資源學系A組,1,1,1,0,0,0,0,1,1,0,0,10,370.4
20,國立臺灣大學,地理環境資源學系B組,1,1,0,1,1,1,0,0,0,0,0,10,396.3
21,國立臺灣大學,大氣科學系,1,1,1,0,0,0,0,1,1,0,0,17,377.7
22,國立臺灣大學,政治學系政治理論組,1.25,1.25,0,1,1,1,0,0,0,0,0,30,431.38
23,國立臺灣大學,政治學系國際關係組,1.25,1.25,0,1,1,1,0,0,0,0,0,31,440.6
24,國立臺灣大學,政治學系公共行政組,1.25,1.25,0,1,1,1,0,0,0,0,0,35,433.35
25,國立臺灣大學,經濟學系,1.5,1.5,0,2,0,0,0,0,0,0,0,58,401.85
26,國立臺灣大學,社會學系,1.5,1.5,0,1.5,1,0,1,0,0,0,0,29,505.05
27,國立臺灣大學,社會工作學系,1.25,1.25,0,1,1,0,1,0,0,0,0,24,427.25
30,國立臺灣大學,醫學系,0,1,1,0,0,0,0,1,1,1,0,79,450.7
31,國立臺灣大學,牙醫學系,1,1,1,0,0,0,0,0,1,1,0,21,426.1
32,國立臺灣大學,藥學系,0,1,1,0,0,0,0,1,1,1,0,21,418.6
33,國立臺灣大學,醫學檢驗暨生物技術學系,1,1,1,0,0,0,0,0,1,1,0,35,381.2
34,國立臺灣大學,護理學系,1,1,1,0,0,0,0,0,1,1,0,32,364.7
35,國立臺灣大學,物理治療學系,0,1,1,0,0,0,0,1,1,1,0,16,405.2
36,國立臺灣大學,職能治療學系,1.25,1.5,1,0,0,0,0,0,0,1,0,27,363.65
37,國立臺灣大學,土木工程學系,1,1,1,0,0,0,0,1,1,0,0,19,388.9
40,國立臺灣大學,機械工程學系,1,1,1,0,0,0,0,1,1,0,0,23,399.4
41,國立臺灣大學,化學工程學系,1,1,1,0,0,0,0,1,1,0,0,26,397.9
42,國立臺灣大學,工程科學及海洋工程學系,1,1,1,0,0,0,0,1,1,0,0,14,390.9
43,國立臺灣大學,材料科學與工程學系,1,1,1,0,0,0,0,1,1,0,0,12,409.2
44,國立臺灣大學,農藝學系,1,1,1,0,0,0,0,0,1.25,1.25,0,15,409
45,國立臺灣大學,生物環境系統工程學系,1,1,1,0,0,0,0,1,1,0,0,24,378.2
46,國立臺灣大學,農業化學系,1,0,1,0,0,0,0,1,1,1,0,26,379.1
47,國立臺灣大學,森林環境暨資源學系,0,1,1,0,0,0,0,1.5,1.5,2,0,38,529.85
50,國立臺灣大學,動物科學技術學系,0,1,1,0,0,0,0,1,1,1,0,28,378.5
51,國立臺灣大學,農業經濟學系,1.5,2,2,0,0,0,0,0,0,1,0,26,471.75
52,國立臺灣大學,園藝暨景觀學系,1,1,0,0,0,0,0,1,1.5,1.5,0,23,466.1
53,國立臺灣大學,獸醫學系,1,1,1,0,0,0,0,0,1,1,0,32,395.6
54,國立臺灣大學,生物產業傳播暨發展學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,30,508.45
55,國立臺灣大學,生物產業機電工程學系,1,1,1,0,0,0,0,1,1,0,0,22,383.4
56,國立臺灣大學,昆蟲學系,0,1,1,0,0,0,0,1,1,1,0,27,367.2
57,國立臺灣大學,植物病理與微生物學系,1,1,1,0,0,0,0,0,1,1,0,24,367.3
60,國立臺灣大學,工商管理學系企業管理組,1,2,0,2,1,1,0,0,0,0,0,45,573.1
61,國立臺灣大學,工商管理學系科技管理組,1,2,2,0,0,0,0,1,1,0,0,28,535.7
62,國立臺灣大學,會計學系,1.25,2,0,1.25,1,1,0,0,0,0,0,69,524.25
63,國立臺灣大學,財務金融學系,1,1.5,0,2,0,0,0,0,0,0,0,65,377.2
64,國立臺灣大學,國際企業學系,1,2,0,2,1,1,0,0,0,0,0,48,584.2
65,國立臺灣大學,資訊管理學系,1,1,1,0,0,0,0,1,1,0,0,11,395.7
66,國立臺灣大學,公共衛生學系,1,1,1,0,0,0,0,0,1,1,0,21,372.7
67,國立臺灣大學,電機工程學系,1,1,1,0,0,0,0,1,1,0,0,44,416.4
70,國立臺灣大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,0,25,405.2
71,國立臺灣大學,法律學系法學組,1,1,0,1,1,0,1,0,0,0,0,39,406.1
72,國立臺灣大學,法律學系司法組,1,1,0,1,1,0,1,0,0,0,0,36,410.1
73,國立臺灣大學,法律學系財經法學組,1,1,0,1,1,0,1,0,0,0,0,36,415.5
74,國立臺灣大學,生命科學系,0,1,1,0,0,0,0,1,1,1,0,37,387.9
75,國立臺灣大學,生化科技學系,0,1,1,0,0,0,0,1,1,1,0,25,407.7
76,國立臺灣師範大學,教育學系,1.5,1.5,0,1,1,1,0,0,0,0,0,26,429.65
77,國立臺灣師範大學,教育心理與輔導學系,1,1.25,0,1.25,1,0,1,0,0,0,0,20,410.98
100,國立臺灣師範大學,社會教育學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,31,459.5
101,國立臺灣師範大學,健康促進與衛生教育學系,1,2,1.75,0,0,0,0,0,0,2,0,23,430.25
102,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,2,2,0,1.75,0,0,0,0,0,0,0,12,394
103,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,1.75,2,0,1.75,0,0,0,0,0,0,0,8,375
104,國立臺灣師範大學,人類發展與家庭學系營養科學與教育組,1,1.5,1,0,0,0,0,0,1.5,1.5,0,14,430.75
105,國立臺灣師範大學,公民教育與活動領導學系(自費),1.25,1.25,0,1,0,0,2,0,0,0,0,44,394.28
106,國立臺灣師範大學,公民教育與活動領導學系(公費)-桃園市,1.25,1.25,0,1,0,0,2,0,0,0,0,1,436.5
