"系組
代碼",校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,術科,"錄取人數
(含外加)","普通生
錄取分數"
2540,銘傳大學                ,生物科技學系(桃園校區),1.5,2,0,2,0,0,0,0,0,0,0,30,286.90
2541,銘傳大學                ,生物醫學工程學系專利醫材組,2,1.75,0,1.75,0,0,0,0,0,0,0,3,327.41
2542,銘傳大學                ,生物醫學工程學系智慧醫療組,2,1.75,0,0,0,0,0,0,1.75,0,0,4,320.31
2543,世新大學                ,新聞學系,2,2,0,0,2,0,1,0,0,0,0,37,467.30
2544,世新大學                ,廣播電視電影學系廣播組,2,2,0,0,1,1,1,0,0,0,0,4,495.60
2545,世新大學                ,廣播電視電影學系電視組,2,2,0,0,1,1,1,0,0,0,0,18,497.80
2546,世新大學                ,廣播電視電影學系電影組,2,2,0,0,1,1,1,0,0,0,0,19,500.50
2547,世新大學                ,圖文傳播暨數位出版學系,2,2,0,1,1,0,1,0,0,0,0,32,413.20
2550,世新大學                ,公共關係暨廣告學系,2,2,0,0,2,0,1,0,0,0,0,39,451.40
2551,世新大學                ,口語傳播學系,2,2,0,0,2,0,1,0,0,0,0,31,443.80
2552,世新大學                ,資訊傳播學系,2,1,0,1,0,0,2,0,0,0,0,10,404.65
2553,世新大學                ,數位多媒體設計系動畫設計組,2,2,0,0,1,0,0,0,0,0,0,25,295.90
2554,世新大學                ,數位多媒體設計系遊戲設計組,2,1,0,0,2,1,1,0,0,0,0,26,425.60
2555,世新大學                ,傳播管理學系,2,2,0,1,2,0,1,0,0,0,0,36,475.50
2556,世新大學                ,資訊管理學系資訊管理組,1.75,2,0,2,0,0,0,0,0,0,0,39,312.80
2557,世新大學                ,資訊管理學系資訊科技組,1.75,2,0,2,0,0,0,0,0,0,0,25,308.14
2560,世新大學                ,資訊管理學系網路科技組,1.75,2,0,2,0,0,0,0,0,0,0,23,308.10
2561,世新大學                ,財務金融學系,1,1,0,1,1,1,0,0,0,0,0,61,279.07
2562,世新大學                ,行政管理學系,2,1.5,0,0,0,0,1.75,0,0,0,0,37,335.48
2563,世新大學                ,觀光學系餐旅經營管理組,1,2,0,1,2,2,0,0,0,0,0,25,425.40
2564,世新大學                ,觀光系旅遊暨休閒事業管理組,1,2,0,1,2,2,0,0,0,0,0,29,416.20
2565,世新大學                ,觀光系觀光規劃暨資源管理組,1,2,0,1,2,2,0,0,0,0,0,23,409.90
2566,世新大學                ,經濟學系,1.75,2,0,2,1,1,0,0,0,0,0,51,412.00
2567,世新大學                ,企業管理學系,2,1,0,0,1.75,0,1.75,0,0,0,0,27,417.23
2570,世新大學                ,社會心理學系,1.5,1.5,0,1.5,0,0,1,0,0,0,0,69,308.33
2571,世新大學                ,英語學系,2,2,0,0,1,0,0,0,0,0,0,74,288.20
2572,世新大學                ,中國文學系,2,1,0,0,1,0,0,0,0,0,0,28,248.80
2573,世新大學                ,日本語文學系,2,2,0,0,1,2,0,0,0,0,0,42,410.10
2574,世新大學                ,法律學系,2,1,0,1,1,0,1,0,0,0,0,42,412.05
2575,實踐大學                ,家庭研究與兒童發展系(臺北),2,2,0,1,0,0,0,0,0,0,0,15,277.20
2576,實踐大學                ,餐飲管理學系(臺北校區),1,1.5,0,1,0,0,0,0,0,0,0,14,187.20
2577,實踐大學                ,食品營養與保健生技系(臺北),1,2,0,0,0,0,0,0,2,2,0,33,363.10
2600,實踐大學                ,社會工作學系(臺北校區),2,2,0,0,0,0,1.5,0,0,0,0,43,325.40
2601,實踐大學                ,音樂學系(臺北校區)-鋼琴,1,1,0,0,0,0,0,0,0,0,2,2,213.62
2602,實踐大學                ,音樂學系(臺北校區)-聲樂,1,1,0,0,0,0,0,0,0,0,2,0,----- 
2603,實踐大學                ,音樂學系(臺北校區)-弦樂,1,1,0,0,0,0,0,0,0,0,2,5,170.54
2604,實踐大學                ,音樂學系(臺北校區)-銅管樂,1,1,0,0,0,0,0,0,0,0,2,0,----- 
2605,實踐大學                ,音樂學系(臺北校區)-木管樂,1,1,0,0,0,0,0,0,0,0,2,3,248.43
2606,實踐大學                ,服裝設計學系(臺北校區),2,2,0,1,0,0,0,0,0,0,0,10,358.60
2607,實踐大學                ,工業產品設計學系(臺北校區),1,2,0,2,0,0,0,0,0,0,0,17,345.20
2610,實踐大學                ,建築設計學系(臺北校區),1,2,0,2,0,0,0,0,0,0,0,17,332.00
2611,實踐大學                ,媒體傳達設計系數位3D動畫組,2,2,0,1,0,0,0,0,0,0,0,13,327.60
2612,實踐大學                ,媒體傳達設計系創意媒體組,2,2,0,1,0,0,0,0,0,0,0,13,332.80
2613,實踐大學                ,會計學系(臺北校區),2,2,0,2,1,1,0,0,0,0,0,35,430.30
2614,實踐大學                ,國際經營與貿易學系(臺北),2,2,0,1.5,1,1,0,0,0,0,0,34,404.30
2615,實踐大學                ,企業管理學系(臺北校區),2,2,0,1.5,1,1,0,0,0,0,0,18,404.30
2616,實踐大學                ,財務金融學系(臺北校區),1.5,1.5,0,1,1,1,0,0,0,0,0,27,331.20
2617,實踐大學                ,風險管理與保險學系(臺北),2,0,0,0,1,1,0,0,0,0,0,29,259.90
2620,實踐大學                ,應用外語學系(臺北校區),1.5,2,0,0,1,0,0,0,0,0,0,31,258.40
2621,實踐大學                ,資訊科技與管理學系(臺北),1.75,2,0,2,0,0,0,0,0,0,0,33,308.90
2622,實踐大學                ,管理學院國際企業學位學程,1,2,0,1,0,0,0,0,0,0,0,10,229.30
2623,實踐大學                ,國際貿易學系(高雄校區),2,2,0,0,1,1,0,0,0,0,0,27,304.60
2624,實踐大學                ,會計暨稅務學系財富管理組,2,1,0,0,1,0,0,0,0,0,0,12,218.45
2625,實踐大學                ,會計暨稅務學系科技應用組,2,1,0,1,0,0,0,0,0,0,0,12,212.80
2626,實踐大學                ,金融管理系投資操作組(高雄),2,0,0,0,2,1.75,0,0,0,0,0,5,354.90
2627,實踐大學                ,金融管理系金融科技組(高雄),2,0,0,0,2,1.75,0,0,0,0,0,5,334.80
2630,實踐大學                ,金融管理系數位行銷組(高雄),2,0,0,0,2,1.75,0,0,0,0,0,4,340.90
2631,實踐大學                ,國際企業管理學系(高雄校區),2,0,0,0,1,0,1,0,0,0,0,9,259.80
2632,實踐大學                ,國際企業管理學系日韓商務組,2,0,0,0,1,0,1,0,0,0,0,10,254.80
2633,實踐大學                ,行銷管理學系(高雄校區),2,1,0,0,2,2,0,0,0,0,0,20,375.10
2634,實踐大學                ,電腦動畫學士學位學程(高雄),2,2,0,1.75,0,0,0,0,0,0,0,10,289.55
2635,實踐大學                ,資訊管理系數位金融組(高雄),2,1.75,0,2,0,0,0,0,0,0,0,16,293.78
2636,實踐大學                ,資訊管理系資訊應用組(高雄),2,1.75,2,0,0,0,0,0,0,0,0,17,256.30
2637,實踐大學                ,資訊科技與通訊系App設計組,2,2,0,1.75,0,0,0,0,0,0,0,14,289.70
2640,實踐大學                ,資訊科技與通訊系人工智慧組,2,2,1.75,0,0,0,0,0,0,0,0,14,272.20
2641,實踐大學                ,資訊科技與通訊系無人機組,2,2,1.75,0,0,0,0,0,0,0,0,14,259.70
2642,實踐大學                ,資訊模擬與設計系電腦動畫組,2,0,0,0,1.75,1.75,0,0,0,0,0,11,311.93
2643,實踐大學                ,資訊模擬與設計系互動遊戲組,2,0,0,0,1.75,1.75,0,0,0,0,0,10,306.85
2644,實踐大學                ,資訊模擬設計系AR/VR科技組,2,1,0,1,0,0,0,0,0,0,0,10,213.00
2645,實踐大學                ,觀光管理學系(高雄校區),2,1,0,0,2,0,0,0,0,0,0,51,249.50
2646,實踐大學                ,休閒產業管理學系(高雄校區),2,1.75,0,0,0,0,2,0,0,0,0,14,307.28
2647,實踐大學                ,應用中文系文創設計組(高雄),2,0,0,0,1.5,1.5,1,0,0,0,0,8,346.90
2650,實踐大學                ,應用中文系劇本創作組(高雄),2,0,0,0,1.5,1.5,1,0,0,0,0,7,344.55
2651,實踐大學                ,應用中文系文化傳播組(高雄),2,0,0,0,1.5,1.5,0,0,0,0,0,8,297.20
2652,實踐大學                ,應用英語學系(高雄校區),0,1,0,0,2,0,2,0,0,0,0,27,265.00
2653,實踐大學                ,應用日文學系(高雄校區),1,0,0,0,2,0,2,0,0,0,0,18,311.40
2654,實踐大學                ,服飾設計與經營學系(高雄),2,1,0,0,1,0,0,0,0,0,0,41,201.65
2655,實踐大學                ,時尚設計學系(高雄校區),2,1.5,0,0,1,0,0,0,0,0,0,36,222.30
2656,長榮大學                ,企業管理學系,2,1,0,1,2,2,0,0,0,0,0,25,386.90
2657,長榮大學                ,國際企業學系,2,1,0,1,2,2,0,0,0,0,0,29,386.10
2660,長榮大學                ,會計資訊學系,2,1,0,1,2,2,0,0,0,0,0,14,398.35
2661,長榮大學                ,航運管理學系,2,2,0,1,1,2,0,0,0,0,0,32,397.30
2662,長榮大學                ,土地管理與開發學系,2,1,0,1,2,2,0,0,0,0,0,19,383.90
2663,長榮大學                ,財務金融學系,2,1,0,1,0,0,0,0,0,0,0,17,220.20
2664,長榮大學                ,創新應用管理學系,2,1,0,0,2,2,0,0,0,0,0,18,322.50
2665,長榮大學                ,觀光與餐飲管理學系,2,1,0,1,0,0,0,0,0,0,0,35,192.75
2666,長榮大學                ,國際會展管理學士學位學程,2,1,0,1,2,2,0,0,0,0,0,22,330.45
2667,長榮大學                ,不動產財務金融學士學位學程,2,1,0,1,2,2,0,0,0,0,0,13,355.60
2670,長榮大學                ,醫務管理系(醫院經營管理組),2,2,0,0,2,1,0,0,0,0,0,7,356.60
2671,長榮大學                ,醫務管理系(長照機構管理組),2,2,0,2,0,1,0,0,0,0,0,10,305.80
2672,長榮大學                ,醫務管理系(健康資訊管理組),1.5,1.5,0,2,0,0,0,0,0,0,0,5,264.28
2673,長榮大學                ,護理學系,1,2,0,0,0,0,0,0,0,2,0,58,257.70
2674,長榮大學                ,生物科技學系,2,1,1,0,0,0,0,0,2,2,0,21,370.75
2675,長榮大學                ,健康心理學系,2,2,1,0,0,0,0,0,1,2,0,17,387.50
2676,長榮大學                ,保健營養學系,2,1,1,0,0,0,0,0,2,2,0,24,378.80
2677,長榮大學                ,醫藥科學產業學系,2,1.75,1.5,0,0,0,0,0,0,0,0,18,245.64
2700,長榮大學                ,醫社暨康照學程(健康照護組),2,2,0,0,0,0,0,0,0,1,0,8,252.90
2701,長榮大學                ,醫社暨康照學程(社會工作組),2,2,0,0,1,1,0,0,0,0,0,16,271.00
2702,長榮大學                ,蘭花產業應用學程(行銷組),2,2,0,0,2,1,0,0,0,0,0,10,280.10
2703,長榮大學                ,蘭花產業應用學程(創意組),2,2,0,0,0,0,0,0,0,1,0,9,221.10
2704,長榮大學                ,職業安全與衛生學系(自然組),2,2,1,0,0,0,0,0,2,0,0,10,301.00
2705,長榮大學                ,職業安全與衛生學系(社會組),2,1,0,0,2,2,0,0,0,0,0,27,319.40
2706,長榮大學                ,環境與食安檢驗學程(環檢組),2,1,2,0,0,0,0,0,2,0,0,7,309.20
2707,長榮大學                ,環境與食安檢驗學程(食檢組),2,1,2,0,0,0,0,0,0,2,0,9,333.05
2710,長榮大學                ,環境與食安檢驗學程(安管組),2,1,0,0,2,2,0,0,0,0,0,13,335.20
2711,長榮大學                ,消防安全學位學程(自然組),2,2,1,0,0,0,0,0,2,0,0,7,290.00
2712,長榮大學                ,消防安全學位學程(社會組),2,1,0,0,2,2,0,0,0,0,0,5,341.80
2713,長榮大學                ,綠能與環境資源學系(自然組),2,2,2,0,0,0,0,1,0,0,0,8,287.90
2714,長榮大學                ,綠能與環境資源學系(社會組),2,1,0,0,2,2,0,0,0,0,0,5,362.00
2715,長榮大學                ,大眾傳播學系,2,1,0,0,2,1,0,0,0,0,0,33,309.30
2716,長榮大學                ,翻譯學系,2,2,0,0,2,1,0,0,0,0,0,16,334.00
2717,長榮大學                ,社會工作學系,2,1,0,0,1.5,1,2,0,0,0,0,10,450.40
2720,長榮大學                ,社會工作系(高齡福利服務組),2,1,0,0,1.5,1,2,0,0,0,0,5,432.65
2721,長榮大學                ,社會工作系(兒少家庭服務組),2,1,0,0,1.5,1,2,0,0,0,0,6,435.45
2722,長榮大學                ,應用日語學系,2,2,0,0,2,1,1,0,0,0,0,15,415.90
2723,長榮大學                ,應用哲學系(公共參與組),2,1,0,1,1,0,1,0,0,0,0,9,274.55
2724,長榮大學                ,應用哲學系(社會關懷組),1,1,0,1,1,0,2,0,0,0,0,5,281.75
2725,長榮大學                ,東南亞文化產業學士學位學程,1,1,0,0,2,2,0,0,0,0,0,14,281.60
2726,長榮大學                ,運動競技學系,2,0,0,0,2,1,0,0,0,0,0,14,236.60
2727,長榮大學                ,美術學系,2,1,0,0,1.5,1,0,0,0,0,0,17,246.40
2730,長榮大學                ,書畫藝術學系(甲組),2,1,0,0,0,0,0,0,0,0,2,6,269.75
2731,長榮大學                ,書畫藝術學系(乙組),2,1,0,0,1,0,0,0,0,0,0,9,188.45
2732,長榮大學                ,台灣文創產業學士學位學程,1.5,0,0,0,2,2,0,0,0,0,0,13,263.60
2733,長榮大學                ,媒體設計科技學系,2,2,0,1,2,0,0,0,0,0,0,9,311.60
2734,長榮大學                ,資訊暨設計學院資訊管理組,2,0,0,1,2,2,0,0,0,0,0,27,304.80
2735,長榮大學                ,資訊暨設計學院資訊工程組,2,1.75,2,0,0,0,0,0,0,0,0,35,244.21
2736,長榮大學                ,資訊暨設計學院數位設計組,2,1,0,1,2,2,0,0,0,0,0,17,330.15
2737,長榮大學                ,資訊暨設計學院互動設計組,2,1,0,1,2,2,0,0,0,0,0,17,313.50
2740,長榮大學                ,資訊暨設計學院學士班,2,1,2,0,0,0,0,0,0,0,0,15,214.60
2741,國立臺灣藝術大學        ,美術學系,1,1,0,0,0,0,0,0,0,0,2,9,238.40
2742,國立臺灣藝術大學        ,書畫藝術學系,1,1,0,0,1,0,0,0,0,0,2,12,317.15
2743,國立臺灣藝術大學        ,雕塑學系(男),2,1.5,0,0,1,0,0,0,0,0,2,9,368.85
2744,國立臺灣藝術大學        ,雕塑學系(女),2,1.5,0,0,1,0,0,0,0,0,2,8,398.90
2745,國立臺灣藝術大學        ,古蹟藝術修護學系,1.5,0,0,0,2,0,0,0,0,0,1.75,15,338.81
2746,國立臺灣藝術大學        ,視覺傳達設計學系,2,2,0,1,1,0,0,0,0,0,2,15,516.60
2747,國立臺灣藝術大學        ,工藝設計學系(男),2,2,0,1,1,0,0,0,0,0,2,9,418.10
2750,國立臺灣藝術大學        ,工藝設計學系(女),2,2,0,1,1,0,0,0,0,0,2,8,498.60
2751,國立臺灣藝術大學        ,多媒體動畫藝術學系,2,2,0,1,1,0,0,0,0,0,2,14,548.30
2752,國立臺灣藝術大學        ,圖文傳播藝術學系,1.5,2,0,2,0,0,0,0,0,0,0,20,431.10
2753,國立臺灣藝術大學        ,廣播電視學系,1.5,1.5,0,1,1,0,1,0,0,0,0,21,454.98
2754,國立臺灣藝術大學        ,電影學系,2,2,0,1,1,0,1,0,0,0,0,22,534.80
2755,國立臺灣藝術大學        ,戲劇學系(男),2,2,0,1,1,1,0,0,0,0,0,9,498.10
2756,國立臺灣藝術大學        ,戲劇學系(女),2,2,0,1,1,1,0,0,0,0,0,8,516.70
2757,國立臺灣藝術大學        ,音樂學系,1,1,0,0,0,0,0,0,0,0,2,10,273.78
2760,國立暨南國際大學        ,中國語文學系,2,1.25,0,0,1.75,1,0,0,0,0,0,18,407.20
2761,國立暨南國際大學        ,外國語文學系,1,1.5,0,0,1,1,0,0,0,0,0,28,303.48
2762,國立暨南國際大學        ,社會政策與社會工作學系,1.5,1.5,0,1,1,0,1.5,0,0,0,0,12,437.08
2763,國立暨南國際大學        ,公共行政與政策學系,1,1.25,0,1,1,0,1,0,0,0,0,26,354.44
2764,國立暨南國際大學        ,歷史學系,1,1.25,0,1,1,1,0,0,0,0,0,34,316.46
2765,國立暨南國際大學        ,東南亞學系,0,1.5,0,0,1.25,1,1,0,0,0,0,15,314.15
2766,國立暨南國際大學        ,國際企業學系,1,2,0,1.5,0,0,0,0,0,0,0,21,315.20
2767,國立暨南國際大學        ,經濟學系,1,2,0,2,0,0,0,0,0,0,0,17,346.30
2770,國立暨南國際大學        ,資訊管理學系,1.75,2,0,2,0,0,0,0,0,0,0,31,402.60
2771,國立暨南國際大學        ,財務金融學系,1,2,0,2,0,0,0,0,0,0,0,23,361.80
2772,國立暨南國際大學        ,觀光休閒與餐旅管理系觀光組,2,2,0,1.5,0,0,0,0,0,0,0,8,350.50
2773,國立暨南國際大學        ,觀光休閒與餐旅管理系餐旅組,2,2,0,1.5,0,0,0,0,0,0,0,8,351.90
2774,國立暨南國際大學        ,管理學院學士班,1,1,0,1.5,0,0,0,0,0,0,0,13,241.60
2775,國立暨南國際大學        ,國際文教與比較教育學系,1.5,2,0,1,0,0,0,0,0,0,0,12,297.70
2776,國立暨南國際大學        ,教育政策與行政學系,1.5,2,0,0,0,0,1.5,0,0,0,0,10,358.00
2777,國立暨南國際大學        ,諮商心理與人資發展系諮商組,1.5,1.5,0,1.5,0,0,1,0,0,0,0,6,391.13
3000,國立暨南國際大學        ,諮商與人資發展系人資發展組,1.25,1.5,0,1.25,0,0,1,0,0,0,0,8,336.83
3001,國立暨南國際大學        ,資訊工程學系,1,2,2,0,0,0,0,1,1,0,0,21,413.90
3002,國立暨南國際大學        ,土木工程學系,1,2,2,0,0,0,0,2,1,0,0,29,415.60
3003,國立暨南國際大學        ,電機工程學系,1,1,1,0,0,0,0,1.5,1,0,0,25,333.65
3004,國立暨南國際大學        ,應用化學系,1,2,2,0,0,0,0,1,2,0,0,25,449.70
3005,國立暨南國際大學        ,應用材料及光電工程學系,1,2,2,0,0,0,0,2,1,0,0,22,454.50
3006,南華大學                ,財務金融學系,2,2,0,1.75,0,0,0,0,0,0,0,19,275.20
3007,南華大學                ,企業管理學系經營管理組,2,1.75,0,0,2,0,0,0,0,0,0,8,291.14
3010,南華大學                ,企業管理學系行銷與創業組,2,1.75,0,0,2,0,0,0,0,0,0,8,282.25
3011,南華大學                ,文化創意事業管理學系,2,0,0,0,2,1.75,0,0,0,0,0,7,292.15
3012,南華大學                ,旅遊管理學系,2,0,0,0,2,1.75,0,0,0,0,0,10,290.30
3013,南華大學                ,生死學系社會工作組,2,2,0,1.75,0,0,0,0,0,0,0,12,234.80
3014,南華大學                ,生死學系殯葬服務組,2,2,0,1.75,0,0,0,0,0,0,0,8,255.75
3015,南華大學                ,生死學系諮商組,2,2,0,1.75,0,0,0,0,0,0,0,4,269.65
3016,南華大學                ,幼兒教育學系,2,2,0,0,1.75,0,0,0,0,0,0,14,262.55
3017,南華大學                ,文學系,2,0,0,0,2,1.75,0,0,0,0,0,13,283.10
3020,南華大學                ,外國語文學系,2,2,0,1.75,0,0,0,0,0,0,0,15,257.30
3021,南華大學                ,應用社會學系社會學組,2,2,0,0,1.75,0,0,0,0,0,0,3,266.25
3022,南華大學                ,應用社會學系社會工作組,2,2,0,0,1.75,0,0,0,0,0,0,5,271.93
3023,南華大學                ,傳播學系,2,1.75,0,0,2,0,0,0,0,0,0,6,276.71
3024,南華大學                ,國際事務與企業學系,2,1.75,0,0,2,0,0,0,0,0,0,21,263.80
3025,南華大學                ,建築與景觀學系社會組,2,2,0,1.75,0,0,0,0,0,0,0,2,296.60
3026,南華大學                ,建築與景觀學系自然組,2,2,1.75,0,0,0,0,0,0,0,0,3,297.60
3027,南華大學                ,資訊工程學系社會組,2,1.75,0,2,0,0,0,0,0,0,0,5,290.95
3030,南華大學                ,資訊工程學系自然組,2,1.75,2,0,0,0,0,0,0,0,0,18,261.29
3031,南華大學                ,資訊工程學系智慧產業樂齡組,2,1.75,0,2,0,0,0,0,0,0,0,5,257.14
3032,南華大學                ,自然生物科技學系,2,1.75,0,0,0,0,0,0,0,2,0,30,276.18
3033,南華大學                ,資訊管理學系資訊管理組,2,0,0,0,2,1.75,0,0,0,0,0,10,282.30
3034,南華大學                ,資訊管理系多媒體行動商務組,2,0,0,0,2,1.75,0,0,0,0,0,9,287.60
3035,國立臺灣體育運動大學    ,體育學系,2,1.75,0,0,0,0,0,0,0,0,2,17,325.52
3036,國立臺灣體育運動大學    ,休閒運動學系,2,1.75,0,0,1,1,0,0,0,0,2,6,413.59
3037,國立臺灣體育運動大學    ,運動事業管理學系,2,2,0,1.75,1,1,0,0,0,0,0,14,454.30
3040,國立臺灣體育運動大學    ,運動健康科學系,1,2,0,0,0,0,0,1,1.5,2,0,16,374.70
3041,國立臺灣體育運動大學    ,運動資訊與傳播學系(傳播組),2,2,0,0,1.75,1,0,0,0,0,0,4,489.63
3042,國立臺灣體育運動大學    ,運動資訊與傳播學系(資訊組),2,1.75,1,0,0,0,0,1.5,0,0,0,7,335.38
3043,國立臺南藝術大學        ,藝術史學系,1,1.5,0,0,1,1,1,0,0,0,0,21,342.18
3044,國立臺南藝術大學        ,應用音樂學系,1.5,1.5,0,0,1,1,0,0,0,0,0,11,340.13
3045,國立臺南藝術大學        ,材質創作與設計系,1.5,1.5,0,0,1,0,0,0,0,0,2,11,355.13
3046,玄奘大學                ,社會工作學系,2,0,0,0,2,1.75,0,0,0,0,0,34,271.00
3047,玄奘大學                ,應用心理學系,2,0,0,0,2,1.75,0,0,0,0,0,20,288.30
3050,玄奘大學                ,法律學系,2,0,0,0,2,1.75,0,0,0,0,0,31,288.70
3051,玄奘大學                ,大眾傳播學系,2,1,0,0,2,2,0,0,0,0,0,37,293.30
3052,玄奘大學                ,視覺傳達設計學系廣告設計組,2,1,0,0,2,2,0,0,0,0,0,19,285.10
3053,玄奘大學                ,視覺傳達設計學系數位媒體組,2,1,0,0,2,2,0,0,0,0,0,20,269.60
3054,玄奘大學                ,時尚設計學系,2,1,0,0,2,2,0,0,0,0,0,17,274.40
3055,玄奘大學                ,應用日語學系,2,1,0,0,2,2,0,0,0,0,0,21,289.20
3056,玄奘大學                ,餐旅管理學系,2,1,0,0,2,2,0,0,0,0,0,30,273.42
3057,真理大學                ,工業管理與經營資訊學系,2,1,0,1,2,2,0,0,0,0,0,61,329.60
3060,真理大學                ,企業管理學系,2,1,0,1,2,2,0,0,0,0,0,29,377.90
3061,真理大學                ,資訊管理學系資管應用組,2,1,0,1,2,2,0,0,0,0,0,20,354.85
3062,真理大學                ,資訊管理學系創新實務組,2,1,0,1,2,2,0,0,0,0,0,10,354.45
3063,真理大學                ,資訊管理學系電子商務組,2,1,0,1,2,2,0,0,0,0,0,11,350.80
3064,真理大學                ,法律學系,2,0,0,0,1.5,0,2,0,0,0,0,55,342.20
3065,真理大學                ,會計資訊學系,2,1,0,1,2,2,0,0,0,0,0,39,360.60
3066,真理大學                ,財務金融學系,2,1,0,1,2,2,0,0,0,0,0,38,369.30
3067,真理大學                ,國際貿易學系,2,1,0,1,2,2,0,0,0,0,0,41,360.95
3070,真理大學                ,理財與稅務規劃學系,2,1,0,1,2,2,0,0,0,0,0,19,354.40
3071,真理大學                ,經濟學系,2,1,0,1,2,2,0,0,0,0,0,44,355.00
3072,真理大學                ,觀光事業學系,1,1,0,0,2,2,0,0,0,0,0,31,285.85
3073,真理大學                ,觀光數位知識學系,2,1.75,0,2,0,0,0,0,0,0,0,35,237.23
3074,真理大學                ,人文與資訊學系,2,1,0,0,2,0,0,0,0,0,0,13,253.50
3075,真理大學                ,英美語文學系,2,2,0,0,1,2,0,0,0,0,0,43,319.40
3076,真理大學                ,應用日語學系,2,1,0,0,1,0,0,0,0,0,0,29,209.65
3077,真理大學                ,台灣文學系,2,0,0,0,1.5,1.5,0,0,0,0,0,28,261.20
3100,真理大學                ,音樂應用學系-演奏教學組,1.5,1.5,0,0,0,0,0,0,0,0,2,5,177.02
3101,真理大學                ,音樂應用學系-行政管理組,2,1.5,0,0,1,0,0,0,0,0,0,13,219.70
3102,真理大學                ,統計資訊與精算系統計精算組,2,2,0,1.75,0,0,0,0,0,0,0,23,253.15
3103,真理大學                ,統計資訊與精算系大數據組,2,1.75,0,2,0,0,0,0,0,0,0,22,251.10
3104,真理大學                ,資訊工程學系乙組,2,0,0,1,2,0,2,0,0,0,0,26,349.00
3105,真理大學                ,資訊工程學系甲組,2,0,0,1,2,2,0,0,0,0,0,10,329.80
3106,真理大學                ,運動管理學系,2,2,0,1.5,0,0,0,0,0,0,0,38,224.80
3107,真理大學                ,運動資訊傳播學系,2,2,0,1,2,0,0,0,0,0,0,28,288.80
3110,真理大學                ,航空事業學系,2,2,0,1,0,1,0,0,0,0,0,20,263.30
3111,國立臺北大學            ,法律學系法學組,1.5,1.5,0,1,1,0,1,0,0,0,0,27,488.30
3112,國立臺北大學            ,法律學系司法組,1.5,1.5,0,1,1,0,1,0,0,0,0,29,492.20
3113,國立臺北大學            ,法律學系財經法組,1.5,1.5,0,1,1,0,1,0,0,0,0,26,495.63
3114,國立臺北大學            ,企業管理學系,1.5,2,0,2,0,0,0,0,0,0,0,35,451.00
3115,國立臺北大學            ,金融與合作經營學系,1,2,0,2,0,0,0,0,0,0,0,14,425.70
3116,國立臺北大學            ,會計學系,1,2,0,1.5,0,0,0,0,0,0,0,63,371.90
3117,國立臺北大學            ,統計學系,1,1.25,0,1.5,0,0,0,0,0,0,0,32,310.85
3120,國立臺北大學            ,休閒運動管理學系,1.5,2,0,2,0,0,0,0,0,0,0,4,446.90
3121,國立臺北大學            ,公共行政暨政策學系,1.5,1.5,0,1,0,0,1.5,0,0,0,0,44,441.75
3122,國立臺北大學            ,財政學系,1.25,1.5,0,1.5,1,1,0,0,0,0,0,29,498.33
3123,國立臺北大學            ,不動產與城鄉環境學系,1,1.5,0,1.5,0,1,0,0,0,0,0,38,394.63
3124,國立臺北大學            ,經濟學系,1,1.5,0,1.5,0,0,0,0,0,0,0,63,328.25
3125,國立臺北大學            ,社會學系,1,1.5,0,1,0,0,0,0,0,0,0,21,280.15
3126,國立臺北大學            ,社會工作學系,1.5,1.25,0,1,1,0,1.25,0,0,0,0,29,465.09
3127,國立臺北大學            ,中國文學系,2,1.5,0,0,1.25,1,0,0,0,0,0,27,450.33
3130,國立臺北大學            ,應用外語學系,1.5,2,0,0,1,1,0,0,0,0,0,20,441.10
3131,國立臺北大學            ,歷史學系,1.25,1.25,0,0,1.5,1,1,0,0,0,0,14,477.76
3132,國立臺北大學            ,資訊工程學系,1,1.25,1.5,0,0,0,0,1.25,1,0,0,23,413.44
3133,國立臺北大學            ,通訊工程學系,1,1.25,1.5,0,0,0,0,1.25,1,0,0,3,411.41
3134,國立臺北大學            ,電機工程學系,1,1,1,0,0,0,0,1,1,0,0,8,352.80
3135,國立嘉義大學            ,教育學系,1.5,1.5,0,1.5,1,0,1,0,0,0,0,26,424.38
3136,國立嘉義大學            ,輔導與諮商學系,1.5,1.5,0,1.5,1,0,1,0,0,0,0,25,449.30
3137,國立嘉義大學            ,體育與健康休閒學系,2,2,0,2,0,0,0,0,0,0,1,12,316.58
3140,國立嘉義大學            ,特殊教育學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,14,400.13
3141,國立嘉義大學            ,幼兒教育學系,1.5,1.5,0,1,1,1,0,0,0,0,0,19,374.18
3142,國立嘉義大學            ,數位學習設計管理系(社會組),1.5,1.5,0,1.5,1,1,0,0,0,0,0,8,441.75
3143,國立嘉義大學            ,數位學習設計管理系(自然組),2,2,1.5,0,0,0,0,0,0,0,0,8,344.60
3144,國立嘉義大學            ,中國文學系,2,1,0,1,1.5,1,0,0,0,0,0,25,426.10
3145,國立嘉義大學            ,視覺藝術學系,2,1.5,0,0,1,1,0,0,0,0,2,32,401.85
3146,國立嘉義大學            ,應用歷史學系,1.25,1,0,0,1.5,1.25,0,0,0,0,0,27,342.70
3147,國立嘉義大學            ,外國語言學系英語教學組,1.5,1.5,0,1,1,1,0,0,0,0,0,26,391.48
