"校系
代碼",校名,系組名,國文,英文,數學甲,數學乙,歷史,地理,公民與社會,物理,化學,生物,術科,"錄取人數
(含外加)","普通生
錄取分數"
660,國立交通大學,生物科技學系,0,1.25,1,0,0,0,0,1,1.5,1.5,0,30,465.08
661,國立交通大學,資訊管理與財務金融學系資訊管理組,1,2,2,0,0,0,0,0,0,0,0,7,381.2
662,國立交通大學,資訊管理與財務金融學系財務金融組,1,2,0,2,0,0,0,0,0,0,0,5,423.3
663,國立交通大學,管理科學系,1,2,0,2,0,0,0,0,0,0,0,23,409.4
664,國立交通大學,運輸與物流管理學系,1,1.5,1.5,0,0,0,0,1,0,0,0,17,359.6
665,國立交通大學,工業工程與管理學系,1,1.5,1.5,0,0,0,0,1,1,0,0,36,432.25
666,國立交通大學,外國語文學系,1.5,2,0,1,1,1,0,0,0,0,0,22,490.15
667,國立交通大學,傳播與科技學系,1.5,1.5,0,1,1,1,0,0,0,0,0,15,452.4
670,國立交通大學,人文社會學系,1,1,0,1,1,0,1,0,0,0,0,24,372.1
671,淡江大學,中國文學學系,2,1,0,0,1.5,0,0,0,0,0,0,68,242.85
672,淡江大學,歷史學系,1.5,1,0,0,1.5,0,0,0,0,0,0,86,211.45
673,淡江大學,資訊與圖書館學系,2,2,0,1.5,1,0,0,0,0,0,0,50,324.3
674,淡江大學,大眾傳播學系,1.5,1.5,0,0,1,1,1,0,0,0,0,25,365.1
675,淡江大學,資訊傳播學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,41,365.7
676,淡江大學,教育科技學系,2,2,0,1.5,0,0,0,0,0,0,0,48,264
677,淡江大學,英文學系,1,2,0,0,1,0,0,0,0,0,0,86,236.9
700,淡江大學,法國語文學系,2,2,0,0,1,1,0,0,0,0,0,60,332.9
701,淡江大學,德國語文學系,1.5,2,0,0,1,1,0,0,0,0,0,33,323.95
702,淡江大學,西班牙語文學系,1,2,0,0,1,1,0,0,0,0,0,61,278.7
703,淡江大學,日本語文學系,1.5,1.5,0,1,1.5,1,0,0,0,0,0,74,379.9
704,淡江大學,俄國語文學系,2,2,0,0,1,0,0,0,0,0,0,36,270.7
705,淡江大學,"商管學院全球財務管理全英語學士學位學
程",1,2,0,2,0,0,0,0,0,0,0,17,345.2
706,淡江大學,財務金融學系,1.5,2,0,2,0,0,0,0,0,0,0,52,359.1
707,淡江大學,產業經濟學系,1.5,2,0,2,0,0,0,0,0,0,0,31,325.5
710,淡江大學,國際企業學系經貿管理組,1.5,2,0,2,0,0,0,0,0,0,0,38,352.95
711,淡江大學,國際企業學系國際商學全英語組,1,2,0,1.5,0,0,0,0,0,0,0,5,311.7
712,淡江大學,保險學系,1.5,2,0,2,0,0,0,0,0,0,0,48,283.35
713,淡江大學,經濟學系,1.5,2,0,2,0,0,0,0,0,0,0,69,331.65
714,淡江大學,會計學系,1.5,2,0,2,0,0,0,0,0,0,0,55,350.2
715,淡江大學,企業管理學系,1.5,2,0,2,0,0,0,0,0,0,0,60,339.2
716,淡江大學,統計學系,1.5,2,0,2,0,0,0,0,0,0,0,61,303.5
717,淡江大學,資訊管理學系,1.5,2,0,2,0,0,0,0,0,0,0,63,312.5
720,淡江大學,運輸管理學系,1.5,2,0,2,0,0,0,0,0,0,0,37,304.4
721,淡江大學,公共行政學系,1.5,2,0,0,1,0,1,0,0,0,0,31,312.95
722,淡江大學,管理科學學系,1.5,2,0,2,0,0,0,0,0,0,0,38,291.7
723,淡江大學,外交與國際關係學系全英語學士班,1.5,2,0,0,1.5,0,0,0,0,0,0,9,341.3
724,淡江大學,理學院尖端材料科學學士學位學程,1,1,2,0,0,0,0,1.5,1.5,0,0,26,207.1
725,淡江大學,數學學系數學組,1.5,1,2,0,0,0,0,2,0,0,0,33,184.95
726,淡江大學,數學學系資料科學與數理統計組,1.5,1,2,0,0,0,0,2,0,0,0,25,186.75
727,淡江大學,化學學系化學與生物化學組,1,1,2,0,0,0,0,2,2,0,0,32,271.5
730,淡江大學,化學學系材料化學組,1,1,2,0,0,0,0,2,2,0,0,32,307
731,淡江大學,物理學系光電物理組,1,1,1.5,0,0,0,0,1.5,1,0,0,32,180.75
732,淡江大學,物理學系應用物理組,1,1,1.5,0,0,0,0,1.5,1,0,0,40,172.3
733,淡江大學,建築學系,1.5,2,1.5,0,0,0,0,1,1,0,0,26,398.65
734,淡江大學,土木工程學系工程設施組,1,1.5,1.5,0,0,0,0,1.5,0,0,0,49,161.15
735,淡江大學,土木工程學系營建企業組,1,1.5,1.5,0,0,0,0,1.5,0,0,0,41,172.3
736,淡江大學,資訊工程學系,2,2,2,0,0,0,0,1,1,0,0,68,336.2
737,淡江大學,機械與機電工程學系光機電整合組,1.5,1,2,0,0,0,0,2,1,0,0,22,289.15
740,淡江大學,機械與機電工程學系精密機械組,1.5,1,2,0,0,0,0,2,1,0,0,28,265.9
741,淡江大學,電機工程學系電機資訊組,1.5,1,2,0,0,0,0,2,1,0,0,16,368.2
742,淡江大學,電機工程學系電機通訊組,1.5,1,2,0,0,0,0,2,1,0,0,21,337.7
743,淡江大學,電機工程學系電機與系統組,1.5,1,2,0,0,0,0,2,1,0,0,15,392.55
744,淡江大學,化學工程與材料工程學系,2,1,1.5,0,0,0,0,1,2,0,0,42,293.8
745,淡江大學,航空太空工程學系,1,2,2,0,0,0,0,2,1,0,0,35,322.2
746,淡江大學,水資源及環境工程學系水資源工程組,2,0,1.5,0,0,0,0,1,0,0,0,25,152.9
747,淡江大學,水資源及環境工程學系環境工程組,2,0,1.5,0,0,0,0,0,1,0,0,31,157.5
750,淡江大學,"資訊創新與科技學系軟體工程全英語組(蘭
陽校園)",1,2,2,0,0,0,0,0,0,0,0,11,157.7
751,淡江大學,"資訊創新與科技學系應用資訊全英語組(蘭
陽校園)",1,2,0,2,0,0,0,0,0,0,0,10,231.5
752,淡江大學,"國際觀光管理學系全英語學士班(蘭陽校
園)",1,2,0,1,0,0,0,0,0,0,0,49,169.7
753,淡江大學,"英美語言文化學系全英語學士班(蘭陽校
園)",1,2,0,0,1,0,0,0,0,0,0,26,190.3
754,淡江大學,"全球政治經濟學系全英語學士班(蘭陽校
園)",1,2,0,0,1,0,0,0,0,0,0,10,213.9
755,逢甲大學,中國文學系,2,1,0,0,2,0,0,0,0,0,0,8,191.4
756,逢甲大學,外國語文學系,1.5,2,0,0,1.25,0,0,0,0,0,0,52,247.75
757,逢甲大學,會計學系,2,2,0,2,1,1,0,0,0,0,0,46,416.4
760,逢甲大學,國際經營與貿易學系,1.25,2,0,1.5,1,1,0,0,0,0,0,29,347.1
761,逢甲大學,"國際經營與貿易學系國際企業管理全英語
學士班",1.5,2,0,1.5,1,1,0,0,0,0,0,6,405.15
762,逢甲大學,財稅學系,1.5,2,0,2,1,1,0,0,0,0,0,28,370.3
763,逢甲大學,合作經濟暨社會事業經營學系,1.5,2,0,2,1,1,0,0,0,0,0,25,353.45
764,逢甲大學,統計學系,1.5,1.75,0,2,0,0,0,0,0,0,0,62,228.38
765,逢甲大學,經濟學系,1.5,2,0,2,1,1,0,0,0,0,0,33,362.3
766,逢甲大學,企業管理學系,2,2,0,1.75,1,1,0,0,0,0,0,47,379.8
767,逢甲大學,行銷學系,2,2,0,1.75,0,0,0,0,0,0,0,12,327.8
770,逢甲大學,財務金融學系,1,1.5,0,1.5,0,0,0,0,0,0,0,49,209.4
771,逢甲大學,風險管理與保險學系,2,2,0,2,1,1,0,0,0,0,0,57,358.3
772,逢甲大學,財務工程與精算學士學位學程,1,1.5,0,2,0,0,0,0,0,0,0,30,208.6
773,逢甲大學,機械與電腦輔助工程學系,2,1,1.75,0,0,0,0,2,0,0,0,35,228.2
774,逢甲大學,纖維與複合材料學系,2,1,2,0,0,0,0,1,2,0,0,21,255.8
775,逢甲大學,工業工程與系統管理學系A組,2,1,2,0,0,0,0,2,0,0,0,18,220.2
776,逢甲大學,工業工程與系統管理學系B組,2,2,0,1.5,0,0,0,0,0,0,0,19,239.6
777,逢甲大學,化學工程學系,2,1,2,0,0,0,0,1,2,0,0,22,313.2
1000,逢甲大學,航太與系統工程學系,2,1,2,0,0,0,0,2,1,0,0,16,357.9
1001,逢甲大學,精密系統設計學士學位學程,2,1,2,0,0,0,0,2,0,0,0,19,212.8
1002,逢甲大學,應用數學系A組,1.75,1.75,2,0,0,0,0,0,0,0,0,11,191.3
1003,逢甲大學,應用數學系B組,1.75,1.75,0,2,0,0,0,0,0,0,0,11,237.68
1004,逢甲大學,材料科學與工程學系,2,1,1.5,0,0,0,0,1,1.25,0,0,41,233.43
1005,逢甲大學,環境工程與科學學系,2,0,1.75,0,0,0,0,0,2,0,0,24,211.2
1006,逢甲大學,光電學系,1,1,1.25,0,0,0,0,1.25,0,0,0,45,134.3
1007,逢甲大學,資訊工程學系甲組,2,1,1.75,0,0,0,0,1.75,0,0,0,17,292.5
1010,逢甲大學,資訊工程學系乙組,2,2,0,1.5,0,0,0,0,0,0,0,18,278.4
1011,逢甲大學,電子工程學系,2,1,1.75,0,0,0,0,1.75,0,0,0,13,265.8
1012,逢甲大學,電機工程學系,1.5,1,1.75,0,0,0,0,1.5,0,0,0,46,250.95
1013,逢甲大學,自動控制工程學系,2,1,1.75,0,0,0,0,1.75,0,0,0,14,233.45
1014,逢甲大學,資訊電機學院不分系榮譽班甲組,1,1,1,0,0,0,0,1.25,0,0,0,11,180.5
1015,逢甲大學,資訊電機學院不分系榮譽班乙組,1,1.25,0,1.5,0,0,0,0,0,0,0,10,188.4
1016,逢甲大學,通訊工程學系,2,1,1,0,0,0,0,1,0,0,0,12,189
1017,逢甲大學,土木工程學系,2,0,1.75,0,0,0,0,1.75,0,0,0,17,222.75
1020,逢甲大學,水利工程與資源保育學系,2,0,1.75,0,0,0,0,2,0,0,0,19,193.7
1021,逢甲大學,都市計畫與空間資訊學系都市計畫組,2,1,0,1,1,2,0,0,0,0,0,15,378.8
1022,逢甲大學,都市計畫與空間資訊學系空間資訊組,2,1,0,1,1,2,0,0,0,0,0,15,356.9
1023,逢甲大學,運輸科技與管理學系,2,2,0,1.75,0,0,0,0,0,0,0,25,276.8
1024,逢甲大學,土地管理學系,1.5,1,0,1,1,1.5,0,0,0,0,0,31,304
1025,逢甲大學,建築專業學院學士班,2,2,1.75,0,0,0,0,1,0,0,0,35,318.4
1026,國立中央大學,中國文學系,2,1.5,0,0,1.5,1,0,0,0,0,0,29,425.85
1027,國立中央大學,英美語文學系,1.5,2,0,0,1.25,1,0,0,0,0,0,41,420.8
1030,國立中央大學,法國語文學系,1.5,2,0,0,1.25,1,1,0,0,0,0,36,486.4
1031,國立中央大學,企業管理學系,1.5,2,0,2,0,0,0,0,0,0,0,71,420.75
1032,國立中央大學,財務金融學系,1,1.5,0,1.5,0,0,0,0,0,0,0,27,319.2
1033,國立中央大學,經濟學系,1.25,2,0,2,0,0,0,0,0,0,0,20,412.53
1034,國立中央大學,數學系,1,1.25,1.5,0,0,0,0,1.25,1,0,0,33,386.15
1035,國立中央大學,物理學系,1,1,1.5,0,0,0,0,1.5,1,0,0,28,412.85
1036,國立中央大學,化學學系,1,1,1.25,0,0,0,0,1.25,1.5,0,0,19,419.45
1037,國立中央大學,生命科學系,1,1,1,0,0,0,0,0,1.25,1.5,0,32,386.25
1040,國立中央大學,光電科學與工程學系,1,2,2,0,0,0,0,2,1,0,0,24,555.1
1041,國立中央大學,大氣科學學系大氣組,1,1,2,0,0,0,0,2,1,0,0,20,469.3
1042,國立中央大學,大氣科學學系太空組,1,1,2,0,0,0,0,2,1,0,0,21,467.4
1043,國立中央大學,地球科學學系,1,1.5,2,0,0,0,0,2,1,0,0,24,483
1044,國立中央大學,化學工程與材料工程學系,1,1,1,0,0,0,0,1,1,0,0,26,355
1045,國立中央大學,土木工程學系,1,1.5,2,0,0,0,0,2,1,0,0,62,490.95
1046,國立中央大學,機械工程學系光機電工程組,1,1.5,2,0,0,0,0,2,1,0,0,35,528.2
1047,國立中央大學,機械工程學系先進材料與精密製造組,1,1.5,2,0,0,0,0,2,1,0,0,26,520.4
1050,國立中央大學,機械工程學系設計與分析組,1,1.5,2,0,0,0,0,2,1,0,0,20,515.75
1051,國立中央大學,資訊管理學系,1.5,2,2,0,0,0,0,0,0,0,0,50,375.9
1052,國立中央大學,電機工程學系,1,1,1,0,0,0,0,1,1,0,0,25,364
1053,國立中央大學,資訊工程學系,1,1,1,0,0,0,0,1,1,0,0,45,356.6
1054,國立中央大學,通訊工程學系,1,1,1,0,0,0,0,1,1,0,0,16,350.6
1055,國立中央大學,理學院學士班,1,1,1.5,0,0,0,0,1.25,1.25,0,0,10,417.03
1056,國立中央大學,客家語文暨社會科學學系,1.5,1,0,1,1,0,1.5,0,0,0,0,10,426.65
1057,國立中央大學,生醫科學與工程學系,0,1,0,0,0,0,0,1.25,1.25,0,0,15,265.75
1060,中國文化大學,哲學系,2,1.5,0,0,2,0,0,0,0,0,0,34,232.6
1061,中國文化大學,中國文學系中國文學組,2,2,0,0,2,1,0,0,0,0,0,88,278.8
1062,中國文化大學,中國文學系文藝創作組,2,2,0,0,2,1,0,0,0,0,0,35,281.5
1063,中國文化大學,史學系,2,2,0,0,2,1,1,0,0,0,0,42,356.8
1064,中國文化大學,日本語文學系,2,1.5,0,0,2,1,0,0,0,0,0,77,311.5
1065,中國文化大學,韓國語文學系,2,2,0,0,1,1,0,0,0,0,0,32,290.9
1066,中國文化大學,俄國語文學系,2,2,0,0,1,1,0,0,0,0,0,25,246
1067,中國文化大學,英國語文學系,1.5,2,0,0,1,1,0,0,0,0,0,70,196.9
1070,中國文化大學,法國語文學系,2,2,0,0,1,1,0,0,0,0,0,43,253.4
1071,中國文化大學,德國語文學系,2,2,0,1,1,1,0,0,0,0,0,38,278.3
1072,中國文化大學,應用數學系,1,1.5,2,0,0,0,0,1.5,1,0,0,43,136.05
1073,中國文化大學,光電物理學系,1,1.5,2,0,0,0,0,2,1,0,0,26,163.1
1074,中國文化大學,化學系,1.5,1,1.5,0,0,0,0,1,2,0,0,33,184.6
1075,中國文化大學,地理學系A組,1,2,1,0,0,0,0,1,1,0,0,6,147.2
1076,中國文化大學,地理學系B組,1,2,0,1,1,2,0,0,0,0,0,5,330.2
1077,中國文化大學,大氣科學系,1,1.5,2,0,0,0,0,1.5,1,0,0,15,180.35
1100,中國文化大學,地質學系,1,1.5,1,0,0,0,0,1.75,2,0,0,29,169.23
1101,中國文化大學,生命科學系,1,1.5,1,0,0,0,0,0,1.5,2,0,24,259.55
1102,中國文化大學,法律學系法學組,1.5,1.5,0,0,1,1,1,0,0,0,0,107,278.2
1103,中國文化大學,法律學系財經法律組,1.5,1.5,0,0,1,1,1,0,0,0,0,78,274.3
1104,中國文化大學,政治學系,1.5,1,0,0,1.5,0,0,0,0,0,0,44,171.35
1105,中國文化大學,經濟學系,1.75,2,0,2,1,1,0,0,0,0,0,83,285.13
1106,中國文化大學,勞工關係學系勞資關係組,2,1.5,0,0,2,0,0,0,0,0,0,23,235
1107,中國文化大學,勞工關係學系人力資源組,2,1.5,0,0,2,0,0,0,0,0,0,22,232.25
1110,中國文化大學,社會福利學系,1.5,1.5,0,1.5,1,0,1,0,0,0,0,65,265
1111,中國文化大學,行政管理學系,1.5,1.5,0,0,1,0,1.5,0,0,0,0,79,240.75
1112,中國文化大學,園藝暨生物技術學系,1,2,1,0,0,0,0,0,2,2,0,20,259.6
1113,中國文化大學,動物科學系,1,2,0,0,0,0,0,0,2,2,0,23,259.6
1114,中國文化大學,森林暨自然保育學系,2,2,0,1,0,2,0,0,0,0,0,18,277.6
1115,中國文化大學,土地資源學系,2,2,0,1.75,0,0,0,0,0,0,0,20,205.2
1116,中國文化大學,生活應用科學系,2,2,0,1,2,1,0,0,0,0,0,20,334.8
1117,中國文化大學,保健營養學系,2,1,0,0,0,0,0,0,2,2,0,19,293.6
1120,中國文化大學,化學工程與材料工程學系,2,1,2,0,0,0,0,1,2,0,0,27,230.3
1121,中國文化大學,電機工程學系A組,2,2,2,0,0,0,0,1,1,0,0,23,221.2
1122,中國文化大學,電機工程學系B組,2,2,1,0,0,0,0,2,1,0,0,22,224.8
1123,中國文化大學,機械工程學系,2,1,2,0,0,0,0,2,1,0,0,39,211.4
1124,中國文化大學,紡織工程學系A組,2,2,1,0,0,0,0,1,2,0,0,9,202.2
1125,中國文化大學,紡織工程學系B組,2,2,0,1,2,1,0,0,0,0,0,5,371.9
1126,中國文化大學,資訊工程學系A組,2,1,2,0,0,0,0,2,1,0,0,18,264.6
1127,中國文化大學,資訊工程學系B組,2,1,0,2,2,1,0,0,0,0,0,17,350
1130,中國文化大學,國際貿易學系,2,2,0,2,1,1,0,0,0,0,0,79,307.6
1131,中國文化大學,國際企業管理學系,1,2,0,1,1,1,0,0,0,0,0,115,224.5
1132,中國文化大學,會計學系,2,2,0,1,2,1,0,0,0,0,0,70,314.2
1133,中國文化大學,觀光事業學系,1.5,2,0,2,1,1,0,0,0,0,0,66,304
1134,中國文化大學,資訊管理學系,1,1.5,0,1.5,1,2,0,0,0,0,0,76,277.75
1135,中國文化大學,財務金融學系金融行銷組,1,2,0,0,2,2,0,0,0,0,0,27,308.7
1136,中國文化大學,財務金融學系財務金融組,1.5,2,0,2,1,1,0,0,0,0,0,56,297.6
1137,中國文化大學,全球商務學士學位學程,1,2,0,1,1,1,0,0,0,0,0,12,150.9
1140,中國文化大學,新聞學系,2,2,0,1,1,0,2,0,0,0,0,60,350.4
1141,中國文化大學,廣告學系,2,2,0,1,0,0,1,0,0,0,0,61,258
1142,中國文化大學,資訊傳播學系,1.5,2,0,2,0,0,0,0,0,0,0,48,210.85
1143,中國文化大學,大眾傳播學系,2,1,0,1,2,0,2,0,0,0,0,69,388.1
1144,中國文化大學,美術學系,2,1,0,0,1,1,0,0,0,0,2,23,345.62
1145,中國文化大學,音樂學系A組,1,1,0,0,0,0,0,0,0,0,2,10,197.3
1146,中國文化大學,音樂學系B組,2,1.5,0,0,1,0,0,0,0,0,0,3,230.7
1147,中國文化大學,戲劇學系,2,1,0,0,1,1,0,0,0,0,0,4,304.7
1150,中國文化大學,市政暨環境規劃學系,1.5,2,0,1,1,1.5,0,0,0,0,0,29,278.45
1151,中國文化大學,建築及都市設計學系,2,2,0,1.5,0,0,0,0,0,0,0,22,237
1152,中國文化大學,景觀學系,2,2,0,1,0,0,0,0,0,0,0,30,191.6
1153,中國文化大學,教育學系,2,1.5,0,0,0,0,1.5,0,0,0,0,22,229.65
1154,中國文化大學,體育學系,1.5,2,0,0,0,0,0,0,0,1,0,2,186.55
1155,中國文化大學,心理輔導學系,2,2,0,1.75,0,0,0,0,0,0,0,46,243.7
1156,中國文化大學,運動與健康促進學系,2,2,0,0,0,0,0,0,0,1.5,0,4,236.7
1157,靜宜大學,英國語文學系(外貿英文組),1.5,2,0,0,1.5,0,0,0,0,0,0,19,232
1160,靜宜大學,英國語文學系(口筆譯組),1.5,2,0,0,1.5,0,0,0,0,0,0,17,218.95
1161,靜宜大學,英國語文學系(中小學英語師資組),1.5,2,0,0,1.5,0,0,0,0,0,0,17,208.05
1162,靜宜大學,西班牙語文學系,2,1.5,0,0,1,1,0,0,0,0,0,25,256.4
1163,靜宜大學,日本語文學系,2,1,0,0,1.5,1.5,0,0,0,0,0,45,300.5
1164,靜宜大學,中國文學系,2,0,0,0,2,1,0,0,0,0,0,34,265.2
1165,靜宜大學,社會工作與兒童少年福利學系,2,1,0,0,2,1,0,0,0,0,0,26,298.7
1166,靜宜大學,台灣文學系,2,0,0,0,1.25,1.25,0,0,0,0,0,11,231
1167,靜宜大學,法律學系,2,1,0,1,0,0,1,0,0,0,0,39,246.1
1170,靜宜大學,生態人文學系(自然組),2,2,0,0,0,0,0,0,0,1.5,0,8,227.2
1171,靜宜大學,生態人文學系(人文組),2,2,0,0,1.5,0,0,0,0,0,0,8,238.85
1172,靜宜大學,大眾傳播學系,2,1.75,0,1,0,0,1.75,0,0,0,0,15,302.33
1173,靜宜大學,財務與計算數學系計算數學組,2,1.5,0,2,0,0,0,0,0,0,0,18,206.45
1174,靜宜大學,財務與計算數學系財務工程組,2,1.5,0,2,0,0,0,0,0,0,0,8,209.6
1175,靜宜大學,應用化學系(綠色能源組),2,1.5,0,0,0,0,0,0,2,0,0,12,197.45
1176,靜宜大學,應用化學系(應用化學組),2,1.5,0,0,0,0,0,0,2,0,0,13,205.9
1177,靜宜大學,食品營養學系營養與保健組,2,1,0,0,0,0,0,0,2,2,0,14,325.9
1200,靜宜大學,食品營養學系食品與生物技術組,2,1,0,0,0,0,0,0,2,2,0,13,312.2
1201,靜宜大學,化粧品科學系,2,1,0,0,0,0,0,0,2,0,0,21,200.7
1202,靜宜大學,統計資訊學系,1.5,1.5,0,2,0,0,0,0,0,0,0,38,175.7
1203,靜宜大學,企業管理學系(行銷運籌與創新管理組),0,2,0,0,1.5,2,0,0,0,0,0,18,263.95
1204,靜宜大學,企業管理學系(人力資源與創意管理組),1.5,2,0,0,0,0,2,0,0,0,0,18,253.5
1205,靜宜大學,企業管理學系(事業經營與創業管理組),2,0,0,2,1,1,0,0,0,0,0,17,290
1206,靜宜大學,國際企業學系(國際經營與行銷組),1.5,1.5,0,0,1,0,1,0,0,0,0,20,227.8
1207,靜宜大學,國際企業學系(國際貿易與運籌組),1.5,1.5,0,0,1,1,0,0,0,0,0,15,224.85
1210,靜宜大學,會計學系,2,1.5,0,1.5,1,1,0,0,0,0,0,49,302.7
1211,靜宜大學,觀光事業學系(甲組),2,0,0,0,1,2,2,0,0,0,0,12,388.8
1212,靜宜大學,觀光事業學系(乙組),2,0,0,1,2,2,0,0,0,0,0,13,360.2
1213,靜宜大學,觀光事業學系(丙組),2,1,0,0,2,2,0,0,0,0,0,9,347.2
1214,靜宜大學,財務金融學系(金融行銷組),1.5,1.25,0,1,1.5,0,0,0,0,0,0,17,234.5
1215,靜宜大學,財務金融學系(投資管理組),1.5,1,0,1.25,0,1.5,0,0,0,0,0,15,238.7
1216,靜宜大學,資訊管理學系(應用軟體開發組),2,2,0,1.75,0,0,0,0,0,0,0,19,221.8
1217,靜宜大學,資訊管理學系(行動與雲端商務組),2,0,0,2,1,1,0,0,0,0,0,20,274.1
1220,靜宜大學,資訊管理學系(商業智慧組),2,2,0,0,1,1,0,0,0,0,0,20,250.6
1221,靜宜大學,"資訊工程學系(智慧電子與數位系統設計
組)",2,1.5,0,2,0,0,0,0,0,0,0,13,217.1
1222,靜宜大學,資訊工程學系(網路技術與雲端運算組),2,1.5,0,2,0,0,0,0,0,0,0,11,210.5
1223,靜宜大學,資訊工程學系(智慧生活與服務設計組),2,0,0,2,0,0,1.5,0,0,0,0,11,245.4
1224,靜宜大學,資訊傳播工程學系(網路與多媒體應用組),2,1,0,2,0,0,0,0,0,0,0,4,223.8
1225,靜宜大學,資訊傳播工程學系(遊戲設計組),2,1,0,2,0,0,0,0,0,0,0,25,195.4
1226,靜宜大學,資訊傳播工程學系(互動藝術組),2,0,0,1,0,0,2,0,0,0,0,4,262.4
1227,靜宜大學,寰宇管理學士學位學程,1.25,2,0,1,0,0,0,0,0,0,0,13,159.85
1230,靜宜大學,寰宇外語教育學士學位學程,1,2,0,0,1,0,0,0,0,0,0,8,174.6
1231,大同大學,機械工程學系電子機械組,2,1.75,2,0,0,0,0,0,0,0,0,15,176.98
1232,大同大學,機械工程學系精密機械組,2,1.75,2,0,0,0,0,0,0,0,0,17,173.33
1233,大同大學,電機工程學系電機與系統組,2,1,2,0,0,0,0,2,0,0,0,30,223.3
1234,大同大學,電機工程學系電子與通訊組,2,1,2,0,0,0,0,2,0,0,0,10,223.1
1235,大同大學,化學工程學系,2,1.75,0,0,0,0,0,0,2,0,0,14,222.45
1236,大同大學,工業設計學系(社會組),2,2,0,1,0,0,0,0,0,0,0,31,262.6
1237,大同大學,工業設計學系(自然一組),2,2,1,0,0,0,0,0,0,0,0,18,218.2
1240,大同大學,工業設計學系(自然二組),0,1,0,0,0,0,0,0,2,2,0,10,200.6
1241,大同大學,事業經營學系(甲組),1,2,0,0,1.5,0,0,0,0,0,0,27,203.65
1242,大同大學,事業經營學系(乙組),1,2,0,1.5,0,0,0,0,0,0,0,21,182
1243,大同大學,資訊工程學系(甲組),2,1.5,1,0,0,0,0,0,0,0,0,25,169.25
1244,大同大學,資訊工程學系(乙組),2,1.5,0,1,0,0,0,0,0,0,0,13,202.4
1245,大同大學,材料工程學系(甲組),2,1,2,0,0,0,0,0,0,0,0,15,158.8
1246,大同大學,材料工程學系(乙組),2,1,0,2,0,0,0,0,0,0,0,8,239.4
1247,大同大學,生物工程學系,2,1.75,0,0,0,0,0,0,0,2,0,23,259.55
1250,大同大學,資訊經營學系,1.75,2,0,2,0,0,0,0,0,0,0,33,236.5
1251,大同大學,媒體設計學系互動媒體設計組(社會組一),1.75,2,0,2,0,0,0,0,0,0,0,16,281.38
1252,大同大學,媒體設計學系互動媒體設計組(社會組二),0,1,0,0,2,1.5,0,0,0,0,0,13,266.6
1253,大同大學,媒體設計學系數位遊戲設計組(社會組一),1.75,2,0,2,0,0,0,0,0,0,0,16,277.5
1254,大同大學,媒體設計學系數位遊戲設計組(社會組二),0,1,0,0,2,1.5,0,0,0,0,0,14,252.6
1255,大同大學,應用外語學系,2,2,0,0,1.75,0,0,0,0,0,0,31,282.9
1256,輔仁大學,中國文學系,2,1.25,0,0,2,0,0,0,0,0,0,45,317.95
1257,輔仁大學,歷史學系,2,1.75,0,0,2,0,0,0,0,0,0,54,338.1
1260,輔仁大學,哲學系,1.5,1.5,0,1,1,1,0,0,0,0,0,51,318.75
1261,輔仁大學,音樂學系-鋼琴,1,1,0,0,0,0,0,0,0,0,2,2,254.04
1262,輔仁大學,音樂學系-弦樂,1,1,0,0,0,0,0,0,0,0,2,5,207.04
1263,輔仁大學,音樂學系-銅管樂、木管樂、擊樂,1,1,0,0,0,0,0,0,0,0,2,3,241.7
1264,輔仁大學,應用美術學系,1,1,0,1,1,1,0,0,0,0,0,26,309.8
1265,輔仁大學,景觀設計學系(社會組),1,1,0,1,1,1,0,0,0,0,0,17,313.5
1266,輔仁大學,景觀設計學系(自然組),1,1,1,0,0,0,0,0,0,2,0,14,254
1267,輔仁大學,影像傳播學系,1.5,2,0,1,1,1,0,0,0,0,0,29,425.75
1270,輔仁大學,新聞傳播學系,2,2,0,1,1,0,1,0,0,0,0,33,461.6
1271,輔仁大學,廣告傳播學系,1.5,1.5,0,1.5,1,1,0,0,0,0,0,28,441.95
1272,輔仁大學,圖書資訊學系,2,2,0,2,1,1,0,0,0,0,0,19,488.7
1273,輔仁大學,體育學系體育學組,1,1,1,0,0,0,0,0,0,1,2,9,277.06
1274,輔仁大學,體育學系運動健康管理組,2,2,2,0,0,0,0,0,0,1,0,23,268.1
1275,輔仁大學,教育領導與科技發展學士學位學程,2,2,0,1,1,1,0,0,0,0,0,9,418.8
1276,輔仁大學,護理學系,1.5,1.5,1,0,0,0,0,0,0,1.25,0,41,296.28
1277,輔仁大學,公共衛生學系,1.5,1.5,1,0,0,0,0,0,1,1.25,0,22,328.48
1300,輔仁大學,醫學系,0,1.25,1,0,0,0,0,1,1,1.25,0,23,478.65
1301,輔仁大學,臨床心理學系,1.25,1.5,1,0,0,0,0,0,0,1.25,0,20,310.7
1302,輔仁大學,職能治療學系,1.25,2,1,0,0,0,0,1,0,2,0,20,473.43
1303,輔仁大學,呼吸治療學系,1,1.25,0,0,0,0,0,1,0,1.25,0,11,286.73
1304,輔仁大學,數學系純數學組,1.25,1.25,2,0,0,0,0,0,0,0,0,28,155.78
1305,輔仁大學,數學系應用數學組,1.25,1.25,2,0,0,0,0,0,0,0,0,28,185.23
1306,輔仁大學,化學系,0,1.5,1.5,0,0,0,0,0,2,0,0,30,226.05
